NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	58.403	21.703	14.952	13.537	0.131	0.986	20000.0
2	62.739	23.165	16.465	15.039	0.139	0.982	50000.0
3	57.159	21.751	14.045	13.018	0.134	0.988	20000.0
4	60.674	22.827	15.442	13.968	0.138	0.987	50000.0
5	61.124	22.71	15.84	14.485	0.138	0.983	20000.0
6	57.046	21.47	14.073	13.032	0.131	0.988	20000.0
7	61.992	23.341	15.948	14.781	0.139	0.983	30000.0
8	61.355	22.814	15.704	14.469	0.141	0.984	30000.0
9	65.982	24.203	17.972	15.716	0.138	0.983	60000.0
10	68.539	24.936	19.575	16.584	0.139	0.98	20000.0
