Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V1	10	0	22	64	0	52	34	0	28	32	0	0	0	0	0
V2	44	21	0	7	25	45	40	12	0	0	2	0	4	0	0
V3	4	25	11	16	0	27	91	0	0	25	0	0	1	0	0
V4	5	30	9	40	0	1	27	0	30	0	0	0	13	0	0
V5	63	22	0	41	40	0	5	0	15	1	15	0	0	3	0
V6	56	0	43	1	0	0	4	10	5	21	0	0	0	0	0
V7	30	23	103	70	8	0	0	94	6	3	0	0	3	0	0
V8	2	0	2	14	15	38	2	0	98	0	12	0	0	0	0
V9	44	52	138	4	0	123	37	0	33	73	0	0	0	0	0
V10	45	4	2	4	0	0	1	0	4	0	10	0	3	0	0
V11	17	0	13	2	22	0	0	2	8	5	15	5	0	0	0
V12	0	70	0	13	2	1	0	0	0	0	2	19	0	4	0
V13	9	0	53	116	0	33	115	32	5	16	0	0	17	0	0
V14	152	66	36	7	24	15	62	34	3	4	0	0	2	0	0
V15	152	35	32	27	0	65	0	0	62	0	19	5	0	1	33
V16	70	0	15	4	13	0	6	0	3	13	15	0	0	0	0
V17	140	0	74	107	8	0	1	0	4	8	27	0	14	0	0
V18	31	4	74	5	0	10	43	8	21	0	0	0	1	0	0
V19	5	31	28	53	0	0	6	48	0	16	0	9	9	13	0
V20	12	0	58	21	0	29	33	0	10	17	29	21	4	0	0
V21	8	23	242	34	19	0	0	0	0	37	0	0	0	0	0
V22	11	2	11	130	3	0	14	0	2	4	0	0	0	0	0
V23	8	148	33	0	51	0	46	40	0	14	95	61	4	0	0
V24	77	7	10	0	43	0	0	26	0	5	6	0	1	16	0
V25	29	12	8	75	37	0	21	245	1	12	18	13	6	0	9
V26	69	0	12	71	34	0	15	2	63	14	0	0	13	2	0
V27	16	0	174	0	125	0	17	0	87	108	9	49	0	0	0
V28	61	13	4	39	3	0	0	43	0	0	0	0	9	0	0
