MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
1:Del:C:0	7.29E-04	2.35E-03	4.64E-04	0.00E+00	4.19E-02	1.64E-02	1.32E-02	2.46E-02	2.52E-46	2.09E-02	1.87E-46	1.06E-03	2.54E-02	9.11E-03	3.83E-02	6.95E-02
1:Del:C:1	4.23E-03	2.34E-03	1.79E-04	4.65E-08	1.33E-02	1.09E-02	1.09E-06	3.88E-02	1.22E-02	6.30E-02	1.00E-36	1.10E-02	1.20E-02	1.54E-02	8.86E-02	8.27E-03
1:Del:C:2	5.96E-04	1.89E-08	4.25E-04	9.65E-05	2.35E-04	8.85E-05	6.99E-04	3.84E-04	4.26E-07	6.50E-04	5.28E-04	8.96E-04	0.00E+00	1.55E-04	1.65E-03	6.64E-03
1:Del:C:3	1.09E-04	4.28E-04	2.70E-04	3.39E-04	1.40E-46	3.72E-03	1.36E-03	2.90E-03	3.29E-03	1.06E-02	2.01E-03	2.06E-03	9.37E-03	3.70E-04	2.89E-03	1.97E-02
1:Del:C:4	0.00E+00	0.00E+00	2.79E-04	5.35E-05	5.02E-03	1.37E-03	5.05E-03	5.31E-03	8.47E-08	7.00E-03	3.28E-03	7.63E-04	3.82E-03	6.51E-03	8.48E-04	8.03E-03
1:Del:C:5	4.20E-05	3.92E-04	2.26E-03	2.36E-04	3.62E-04	3.27E-07	1.03E-03	0.00E+00	1.43E-03	0.00E+00	1.58E-02	2.85E-03	3.95E-03	2.80E-46	3.15E-03	5.06E-03
1:Del:T:0	8.21E-03	5.81E-04	3.02E-03	8.26E-04	1.34E-02	3.21E-03	4.05E-03	4.25E-02	1.92E-02	3.57E-02	2.91E-03	1.20E-02	4.15E-02	8.18E-03	6.55E-03	1.79E-02
1:Del:T:1	1.30E-04	4.54E-04	1.40E-04	1.54E-04	1.04E-02	9.33E-04	2.68E-02	4.22E-03	4.73E-04	8.35E-03	3.18E-03	2.44E-03	4.50E-02	1.47E-03	3.25E-03	2.37E-02
1:Del:T:2	6.24E-05	1.36E-03	2.30E-03	4.34E-08	1.66E-02	1.93E-02	4.69E-03	2.66E-02	2.42E-03	4.01E-02	1.05E-02	1.29E-03	2.60E-02	2.10E-03	2.64E-03	1.22E-02
1:Del:T:3	1.38E-04	1.79E-03	2.11E-03	4.49E-04	2.07E-02	1.21E-02	2.11E-03	2.30E-02	4.77E-04	4.67E-02	3.37E-02	4.89E-03	4.60E-02	3.22E-02	1.83E-02	2.20E-02
1:Del:T:4	2.44E-03	4.47E-03	3.85E-03	8.16E-04	7.73E-03	1.12E-02	2.55E-03	7.43E-02	2.80E-46	8.02E-03	4.86E-02	1.02E-07	2.74E-02	1.20E-02	3.03E-02	1.17E-02
1:Del:T:5	2.04E-07	4.27E-07	3.81E-02	1.08E-03	9.97E-46	4.61E-03	5.89E-03	1.28E-06	4.51E-09	1.01E-02	4.96E-02	8.76E-03	2.09E-03	1.68E-02	1.26E-01	4.15E-02
1:Ins:C:0	5.90E-08	5.21E-08	2.16E-07	3.86E-08	0.00E+00	3.72E-08	1.66E-04	4.20E-08	7.50E-04	2.50E-07	8.48E-04	3.33E-03	2.22E-03	8.19E-07	1.02E-07	8.21E-04
1:Ins:C:1	1.58E-02	1.96E-07	3.58E-02	1.21E-07	1.68E-07	2.57E-07	1.22E-02	2.55E-07	1.24E-07	7.86E-02	6.51E-03	4.59E-07	6.83E-07	9.38E-02	1.79E-07	4.18E-07
1:Ins:C:2	8.15E-08	0.00E+00	2.95E-04	2.07E-08	5.41E-04	2.69E-04	2.90E-04	4.01E-08	2.13E-07	1.67E-04	3.25E-04	1.38E-04	7.13E-04	4.83E-08	1.08E-03	4.27E-04
1:Ins:C:3	9.68E-09	8.52E-04	2.29E-04	1.16E-04	0.00E+00	1.02E-03	1.23E-03	3.87E-04	4.48E-04	6.77E-04	1.76E-05	6.77E-08	6.13E-04	1.43E-07	2.46E-04	1.38E-04
1:Ins:C:4	8.88E-05	6.35E-04	6.89E-04	1.68E-03	0.00E+00	2.31E-03	6.67E-08	1.31E-07	2.53E-07	1.49E-02	1.19E-02	2.25E-04	1.61E-03	2.85E-03	5.13E-04	1.86E-02
1:Ins:C:5	9.34E-05	1.60E-03	7.17E-04	3.03E-08	1.08E-03	2.26E-02	6.87E-07	4.84E-04	2.39E-03	8.22E-07	5.90E-03	3.94E-04	5.60E-04	3.45E-08	8.41E-02	1.57E-03
1:Ins:T:0	3.23E-05	1.10E-03	3.13E-04	1.13E-04	2.09E-03	3.11E-03	3.17E-03	5.18E-03	3.86E-04	2.66E-03	3.58E-03	8.34E-03	1.83E-02	5.52E-03	8.28E-03	3.97E-03
1:Ins:T:1	1.40E-46	2.56E-04	0.00E+00	2.04E-04	2.81E-03	6.34E-04	1.58E-03	2.55E-03	1.73E-03	2.19E-03	1.96E-03	5.04E-03	3.06E-03	2.61E-03	0.00E+00	3.75E-03
1:Ins:T:2	0.00E+00	3.01E-04	5.86E-04	0.00E+00	5.35E-04	1.11E-03	1.17E-06	4.35E-04	4.97E-04	5.68E-04	5.80E-04	2.15E-04	2.57E-03	1.48E-04	1.74E-03	1.34E-03
1:Ins:T:3	2.80E-05	5.76E-04	1.08E-03	0.00E+00	8.81E-04	1.33E-03	8.04E-03	2.00E-03	1.50E-03	2.52E-03	5.96E-03	1.36E-07	1.39E-02	1.29E-03	2.54E-03	9.63E-04
1:Ins:T:4	2.07E-04	2.73E-03	4.14E-04	6.85E-05	0.00E+00	5.52E-03	3.42E-03	9.11E-04	1.11E-03	0.00E+00	8.48E-04	2.78E-07	4.43E-03	2.75E-03	1.55E-02	7.19E-03
1:Ins:T:5	9.76E-04	1.18E-02	4.99E-04	3.19E-06	7.03E-08	6.17E-02	1.96E-02	6.55E-39	3.64E-03	2.42E-06	2.14E-02	3.82E-07	7.31E-03	2.73E-02	1.37E-05	6.09E-02
2:Del:R:0	4.52E-04	3.75E-07	9.89E-04	1.07E-03	2.96E-03	2.50E-03	1.20E-03	4.31E-03	0.00E+00	8.53E-03	1.24E-02	1.39E-02	1.13E-02	8.22E-04	9.05E-04	1.98E-02
