Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	5.75E+00	4.86E+00	6.07E+00	1.48E+00	5.91E+00
V2	4.26E+00	3.10E+00	0.00E+00	2.60E+00	3.91E+00
V3	4.10E+00	6.88E+00	3.79E+00	1.91E+00	8.75E-01
V4	7.21E+00	6.16E+00	2.19E+00	2.31E+00	1.22E+00
V5	2.52E+00	6.25E+00	5.95E+00	8.44E-01	3.06E+00
V6	9.32E-01	1.57E+00	9.32E-01	3.24E+00	2.91E+00
V7	8.94E+00	6.69E+00	8.40E+00	1.11E+00	8.80E+00
V8	1.21E+01	1.21E+01	2.91E+00	1.25E+00	1.54E+00
V9	1.40E+00	3.73E+00	2.40E+00	8.06E-01	2.49E+00
V10	1.21E+01	7.46E+00	1.00E+01	1.66E+00	1.19E+01
V11	1.26E+01	1.50E+01	7.49E+00	1.08E+00	6.67E-01
V12	2.00E-01	9.17E-01	2.66E+00	8.51E+00	7.64E+00
V13	2.04E+01	2.16E+01	4.79E+00	6.63E-01	1.02E+00
V14	8.27E+00	1.51E+01	8.98E+00	7.12E-01	1.44E+00
V15	6.30E+00	7.73E+00	4.71E+00	2.24E-01	4.81E+00
V16	4.34E+00	2.99E+00	3.34E+00	3.23E+00	2.56E+00
V17	5.99E+00	2.94E+00	7.32E+00	1.27E+00	3.05E+00
V18	4.22E+00	2.92E+00	3.95E+00	1.17E+00	5.37E+00
V19	8.16E+00	3.95E+00	8.85E+00	5.59E-01	8.69E+00
V20	1.53E-01	2.31E+00	2.80E+00	2.81E+00	2.66E+00
V21	1.43E+01	1.58E+01	4.99E+00	1.12E+00	5.12E+00
V22	1.37E+00	1.46E+00	3.21E+00	5.54E-01	3.34E+00
V23	3.49E+01	2.63E+01	3.07E+01	1.16E+00	3.39E+01
V24	1.36E+00	2.50E+00	2.08E+00	6.84E-01	1.49E+00
V25	6.25E+00	2.72E+00	5.49E+00	5.47E-01	6.45E+00
V26	2.21E+01	2.47E+01	3.58E+00	7.75E-01	6.03E+00
V27	8.87E+00	1.07E+01	5.98E+00	3.14E-01	6.05E+00
V28	2.60E+00	1.98E+00	1.14E+00	2.35E+00	1.18E+00
V29	8.14E+00	2.49E+01	2.00E+01	4.35E+00	2.98E+00
V30	5.60E+00	1.60E+01	1.46E+01	3.67E+00	1.11E+01
V31	9.80E+00	3.05E+00	9.72E+00	7.00E-01	9.25E+00
V32	4.80E+00	1.56E+00	4.38E+00	1.43E+00	4.46E+00
V33	1.46E+01	6.39E+00	1.29E+01	1.60E+00	1.40E+01
V34	9.87E+00	1.32E+01	5.33E+00	1.67E+00	2.48E+00
V35	1.51E+01	1.55E+01	0.00E+00	9.87E-01	2.81E+00
V36	3.19E+00	1.66E+00	3.76E+00	1.43E+00	2.87E+00
V37	9.00E+00	1.27E+01	7.65E+00	1.97E+00	8.83E-01
V38	4.07E+00	2.39E+00	6.00E-01	3.31E+00	2.47E+00
V39	6.43E+00	5.99E+00	1.63E+00	7.31E-01	0.00E+00
V40	1.46E+01	1.69E+01	1.31E+01	8.97E-01	1.55E+01
V41	4.34E+00	2.24E+00	3.35E+00	7.77E-01	4.77E+00
V42	1.20E+01	1.02E+01	3.45E+00	6.18E-01	0.00E+00
V43	5.11E+00	6.30E+00	2.28E+00	4.00E-01	1.16E+00
V44	2.22E+00	4.75E+00	4.95E+00	0.00E+00	2.83E+00
V45	1.18E+01	3.84E+00	7.46E+00	2.22E+00	1.01E+01
V46	4.09E+00	5.28E+00	3.95E+00	1.99E+00	3.39E+00
V47	5.52E+00	1.44E+01	1.04E+01	2.68E+00	2.84E+00
V48	4.26E+00	3.92E+00	2.73E+00	4.07E-01	3.78E+00
V49	3.30E+00	1.16E+01	9.33E+00	1.20E+00	2.20E+00
V50	6.56E+00	9.86E+00	6.68E+00	1.49E+00	2.32E+00
V51	1.22E+01	1.05E+01	3.11E+00	3.37E+00	1.39E+00
V52	1.52E+01	1.38E+01	1.40E+01	5.26E-01	1.39E+01
V53	5.95E+00	6.63E+00	9.68E-01	2.71E+00	3.76E+00
V54	5.04E-01	3.65E-01	1.10E+00	1.72E+00	1.98E+00
V55	4.51E+00	4.14E+00	1.07E+00	8.94E-01	2.88E+00
V56	6.91E+00	1.00E+01	7.99E+00	1.13E+00	5.89E+00
V57	2.25E+01	3.27E+01	1.49E+01	4.43E+00	4.71E+00
V58	3.65E+00	1.97E+00	2.57E+00	1.93E+00	5.86E-01
V59	2.74E+00	1.90E+00	2.68E+00	2.50E+00	2.09E+00
V60	3.52E+01	1.50E+01	2.34E+01	9.22E-01	3.18E+01
V61	3.31E+00	1.01E+01	1.15E+01	2.18E+00	1.84E+00
V62	1.16E+00	7.90E-01	7.92E-01	8.33E-01	1.32E+00
