Samples	ID1	ID2	ID8	ID9	ID83C	ID83F
V1	0	0	0	125	44	73
V2	46	34	33	79	0	8
V3	0	27	0	131	25	17
V4	0	34	0	63	11	47
V5	69	24	69	0	0	43
V6	66	11	0	0	63	0
V7	33	116	0	0	115	76
V8	0	0	53	116	0	14
V9	49	60	0	199	196	0
V10	73	0	0	0	0	0
V11	20	0	50	0	19	0
V12	0	94	0	0	0	17
V13	0	30	0	173	67	126
V14	170	108	0	89	38	0
V15	175	62	0	129	34	31
V16	80	0	35	0	24	0
V17	166	0	0	0	89	128
V18	34	0	0	79	84	0
V19	0	98	0	0	49	71
V20	13	0	35	83	78	25
V21	0	0	0	0	322	41
V22	0	0	0	0	0	177
V23	0	216	176	57	51	0
V24	87	31	60	0	13	0
V25	33	275	88	0	0	90
V26	71	0	56	71	19	78
V27	0	0	209	112	264	0
V28	67	59	0	0	0	46
V29	0	0	227	0	170	0
V30	0	114	0	222	0	0
V31	32	20	0	28	61	80
V32	0	138	159	0	0	48
V33	30	75	71	62	33	83
V34	32	121	0	0	0	0
V35	154	53	0	170	0	0
V36	0	15	31	0	7	37
V37	43	13	0	54	0	0
V38	0	204	0	0	136	27
V39	49	119	79	0	44	0
V40	0	0	0	481	0	0
V41	0	28	57	0	99	244
V42	0	0	0	0	0	362
V43	99	0	0	232	39	77
V44	34	124	155	102	0	0
V45	0	154	73	333	81	0
V46	0	0	0	296	55	91
V47	20	18	0	50	51	25
V48	0	115	0	229	58	106
V49	82	0	0	0	13	20
V50	0	50	204	0	0	0
V51	112	172	94	0	0	0
V52	63	0	218	0	0	261
V53	186	42	0	118	126	240
V54	0	0	71	0	0	94
V55	0	62	37	0	0	0
V56	51	27	67	0	190	0
V57	0	12	0	75	0	36
V58	83	317	259	75	142	0
V59	0	55	0	0	17	31
V60	73	41	41	85	43	0
V61	39	82	0	0	13	0
V62	0	91	31	65	57	29
V63	10	13	48	0	39	17
V64	25	250	116	0	34	0
V65	0	0	8	0	4	18
V66	38	29	52	30	10	0
V67	0	15	25	0	26	0
V68	0	463	0	412	0	0
V69	381	0	87	0	0	0
V70	0	122	142	128	88	0
V71	0	31	199	171	65	16
V72	0	139	65	0	120	0
V73	0	0	0	0	166	0
V74	194	27	54	0	17	44
V75	9	15	0	24	0	30
V76	86	0	0	79	69	0
V77	0	0	285	144	181	52
V78	85	0	0	0	140	0
V79	0	10	0	0	82	10
V80	0	0	0	231	74	23
V81	98	22	212	0	0	0
V82	0	203	0	0	0	0
V83	85	47	0	96	43	0
V84	31	85	0	0	0	118
V85	117	304	0	243	52	0
V86	0	112	0	0	0	282
V87	0	42	0	0	22	17
V88	37	48	22	0	20	0
V89	38	78	0	318	0	0
V90	0	67	69	270	52	64
V91	51	65	0	0	77	15
V92	0	173	79	0	0	0
V93	101	89	35	0	0	0
V94	81	147	164	83	29	38
V95	173	152	0	53	43	121
V96	0	0	0	73	70	76
V97	0	65	163	0	61	0
V98	0	398	0	197	0	0
V99	0	55	0	0	122	0
V100	0	53	0	16	0	0
