Sample Names	MutationType	ID1	ID2	ID8	ID9	ID83C	ID83F
V1	1:Del:C:0	0.0	0.0	0.0	0.9954828382573582	0.0031825302294384724	0.0013346315132033478
V1	1:Del:C:1	0.0	0.0	0.0	0.9778403780483996	0.010878050026302944	0.011281571925297485
V1	1:Del:C:2	0.0	0.0	0.0	0.9793292989178525	0.0	0.020670701082147514
V1	1:Del:C:3	0.0	0.0	0.0	0.9600616485062264	0.02193105237952506	0.018007299114248452
V1	1:Del:C:4	0.0	0.0	0.0	0.999997438263082	7.455140839867214e-07	1.8162228340543483e-06
V1	1:Del:C:5	0.0	0.0	0.0	0.04789473198995135	0.9521052680100486	0.0
V1	1:Del:T:0	0.0	0.0	0.0	0.9989858020101416	0.0005790503229095739	0.0004351476669488539
V1	1:Del:T:1	0.0	0.0	0.0	0.9787622408073468	0.009656883291230071	0.011580875901423192
V1	1:Del:T:2	0.0	0.0	0.0	0.9878120419459564	0.004298565713109434	0.007889392340934094
V1	1:Del:T:3	0.0	0.0	0.0	0.980124482109363	0.001563853840737366	0.01831166404989972
V1	1:Del:T:4	0.0	0.0	0.0	0.9995667082470426	0.0004332917529573075	0.0
V1	1:Del:T:5	0.0	0.0	0.0	0.9984160368840099	0.00032264368491775777	0.0012613194310724047
V1	1:Ins:C:0	0.0	0.0	0.0	2.7112047509245508e-14	6.11698878555594e-05	0.9999388301121174
V1	1:Ins:C:1	0.0	0.0	0.0	0.39100303925719865	0.6089969607428013	0.0
V1	1:Ins:C:2	0.0	0.0	0.0	0.9999512169580337	4.398963937384685e-05	4.793402592517985e-06
V1	1:Ins:C:3	0.0	0.0	0.0	1.5007669825766545e-13	0.10726181208236463	0.8927381879174853
V1	1:Ins:C:4	0.0	0.0	0.0	0.0035897472503675313	0.9141671901235623	0.0822430626260703
V1	1:Ins:C:5	0.0	0.0	0.0	0.00023970893095399894	0.9749705845459489	0.02478970652309724
V1	1:Ins:T:0	0.0	0.0	0.0	0.997926142750779	0.0019609421033749256	0.00011291514584613668
V1	1:Ins:T:1	0.0	0.0	0.0	0.795688542612344	0.1904731325211676	0.013838324866488375
V1	1:Ins:T:2	0.0	0.0	0.0	0.8790206099732739	0.0	0.12097939002672622
V1	1:Ins:T:3	0.0	0.0	0.0	0.6889236974193605	0.00419607642685818	0.30688022615378124
