MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
1:Del:C:0	7.65E-04	2.86E-03	5.53E-03	7.74E-03	1.89E-03	1.44E-04	1.16E-03	5.57E-03	1.15E-02	1.02E-02	3.58E-03	9.79E-03	1.25E-02	6.52E-03	5.12E-03
1:Del:C:1	1.74E-04	1.85E-03	1.26E-03	4.72E-03	9.54E-04	7.56E-05	1.67E-03	4.60E-03	4.12E-03	7.56E-03	3.49E-03	7.44E-03	5.67E-03	3.89E-03	2.02E-03
1:Del:C:2	2.36E-04	1.50E-03	3.73E-03	2.49E-03	7.20E-04	4.88E-05	1.85E-03	2.67E-03	4.01E-03	3.44E-03	2.69E-03	3.01E-03	2.61E-03	3.49E-03	1.82E-03
1:Del:C:3	5.83E-04	4.03E-04	8.54E-04	7.67E-04	4.69E-04	9.86E-10	2.57E-03	1.75E-03	3.22E-03	3.30E-03	1.99E-03	4.16E-03	1.13E-03	2.19E-03	1.79E-03
1:Del:C:4	1.87E-03	6.48E-09	3.59E-03	2.96E-03	3.10E-04	5.61E-47	1.55E-03	2.32E-03	3.73E-03	1.60E-03	7.41E-04	3.58E-03	7.52E-04	6.25E-04	4.69E-04
1:Del:C:5	6.39E-03	4.34E-04	1.30E-02	6.27E-04	2.48E-04	4.71E-05	8.73E-04	8.18E-04	5.09E-03	4.58E-04	0.00E+00	7.44E-03	1.24E-03	4.18E-03	2.08E-03
1:Del:T:0	1.52E-04	3.11E-03	2.51E-03	4.00E-03	1.04E-03	9.53E-05	1.96E-03	7.70E-03	2.73E-03	7.07E-03	6.02E-03	8.98E-03	6.15E-03	5.25E-03	3.71E-03
1:Del:T:1	2.03E-04	1.36E-03	1.01E-03	2.85E-03	3.90E-04	7.00E-05	3.56E-03	6.73E-03	2.92E-03	5.26E-03	2.86E-03	7.76E-03	5.13E-03	2.63E-03	5.36E-04
1:Del:T:2	8.63E-04	2.16E-03	2.34E-03	4.23E-03	9.68E-04	4.85E-05	2.95E-03	5.68E-03	8.65E-03	6.66E-03	3.99E-03	7.15E-03	4.80E-03	4.52E-03	1.02E-03
1:Del:T:3	2.19E-03	6.05E-04	2.56E-03	2.03E-03	9.90E-04	9.27E-05	1.74E-03	2.83E-03	1.07E-02	8.68E-03	1.79E-03	4.70E-03	6.83E-03	4.01E-03	2.99E-03
1:Del:T:4	5.27E-03	1.38E-03	5.65E-03	1.33E-03	1.45E-03	2.14E-04	2.01E-03	3.58E-04	2.60E-02	1.17E-02	2.82E-03	7.36E-03	8.13E-03	3.31E-03	5.31E-03
1:Del:T:5	1.56E-02	2.70E-02	3.59E-02	1.04E-02	2.15E-03	1.01E-03	2.05E-03	4.74E-03	1.33E-02	1.08E-02	2.44E-03	5.88E-03	1.52E-02	2.82E-02	2.41E-07
