Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
V1	95	0	39	11	0	66	0	31
V2	78	34	0	48	27	8	0	5
V3	89	25	19	4	0	13	0	50
V4	45	32	8	5	2	42	0	21
V5	10	23	0	66	53	41	0	12
V6	8	9	56	59	0	1	0	7
V7	3	108	112	31	10	71	0	5
V8	118	0	2	3	45	15	0	0
V9	175	32	179	48	0	4	66	0
V10	3	2	0	49	7	4	7	1
V11	8	2	18	19	40	2	0	0
V12	4	77	0	1	6	15	8	0
V13	98	28	54	9	0	110	0	97
V14	55	96	34	156	20	5	0	39
V15	101	30	19	158	27	28	68	0
V16	11	0	24	75	25	4	0	0
V17	0	0	81	148	28	111	0	15
V18	58	11	76	31	0	4	0	17
V19	5	76	39	11	0	58	12	17
V20	73	0	75	14	28	24	7	13
V21	0	17	269	8	18	34	17	0
V22	13	2	11	12	2	129	0	8
V23	20	195	37	9	132	0	33	74
V24	0	26	11	88	49	0	16	1
V25	20	247	18	32	61	80	0	28
V26	62	2	19	72	46	75	0	19
V27	119	6	262	18	172	0	0	8
V28	0	54	4	65	4	42	0	3
V29	0	0	141	20	159	0	28	49
V30	202	105	5	0	6	15	3	0
V31	20	19	60	31	1	80	0	10
V32	0	119	0	6	119	44	32	25
V33	48	74	31	31	57	80	0	33
V34	3	100	3	27	4	7	0	9
V35	134	33	11	134	25	7	33	0
V36	0	16	8	2	27	37	0	0
V37	37	12	0	40	0	0	0	21
V38	0	169	119	7	0	25	47	0
V39	35	109	43	47	57	0	0	0
V40	378	9	0	8	4	2	0	80
V41	0	17	92	5	43	235	26	10
V42	0	4	4	23	30	301	0	0
V43	162	0	27	93	0	68	23	74
V44	85	119	12	36	121	0	0	42
V45	278	105	51	11	43	3	113	37
V46	235	4	47	14	2	82	0	58
V47	39	5	40	18	10	22	30	0
V48	190	110	53	12	1	100	0	42
V49	8	0	11	66	0	16	1	13
V50	23	38	0	13	149	8	21	2
V51	9	162	0	113	75	3	16	0
V52	11	0	11	60	155	229	4	72
V53	87	27	115	177	26	223	33	24
V54	0	0	0	1	51	85	13	15
V55	14	57	0	2	26	0	0	0
V56	18	26	183	49	51	8	0	0
V57	58	7	1	8	11	30	8	0
V58	73	277	123	88	200	8	89	18
V59	0	52	18	1	1	31	0	0
V60	67	1	20	71	21	1	102	0
V61	0	60	7	34	2	4	27	0
V62	30	88	51	0	20	24	0	60
V63	9	13	37	11	37	15	0	5
V64	0	233	28	28	92	5	39	0
V65	4	1	3	0	6	16	0	0
V66	9	14	0	37	35	0	36	28
V67	0	12	26	0	20	0	8	0
V68	369	416	0	21	33	11	25	0
V69	6	0	4	358	65	14	3	18
V70	101	119	81	17	109	0	0	53
V71	133	0	39	6	148	14	88	54
V72	9	136	121	4	52	0	2	0
V73	10	0	134	0	0	0	0	22
V74	0	27	21	196	46	45	0	1
V75	19	15	0	9	0	28	0	7
V76	71	0	67	82	9	3	2	0
V77	126	0	164	11	223	49	42	47
V78	19	5	111	66	15	0	0	9
V79	0	8	76	1	0	9	5	3
V80	210	0	68	11	0	23	16	0
V81	39	23	0	98	168	0	0	4
V82	9	181	8	1	0	4	0	0
V83	77	42	40	81	2	9	5	15
V84	9	71	0	27	18	98	0	11
V85	195	252	32	111	0	14	86	26
V86	23	99	4	1	12	252	0	3
V87	0	26	14	4	4	14	19	0
V88	0	27	11	34	12	3	40	0
V89	311	77	0	39	0	7	0	0
V90	231	21	24	12	40	63	117	14
V91	14	56	72	45	8	13	0	0
V92	27	131	14	7	45	8	3	17
V93	0	74	8	95	24	0	24	0
V94	72	104	7	83	121	37	108	10
V95	49	143	45	172	5	118	9	1
V96	67	7	67	1	6	71	0	0
V97	12	64	60	13	133	7	0	0
V98	81	269	4	3	24	9	116	89
V99	2	49	113	0	6	7	0	0
V100	12	48	4	0	0	0	0	5
