Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V1	3.55E+00	1.66E+00	3.90E+00	1.03E+00	1.06E+00	2.00E-01
V2	0.00E+00	2.11E+00	2.25E+00	1.97E+00	1.06E+00	1.01E+00
V3	3.78E+00	2.61E+00	2.69E+00	3.09E+00	1.28E+00	1.61E+00
V4	1.83E+00	5.75E+00	4.77E+00	1.57E+00	5.93E-01	1.44E+00
V5	1.01E+00	2.33E+00	2.22E+00	2.83E+00	1.49E+00	6.53E-01
V6	8.97E-01	4.82E+00	3.01E+00	1.29E+00	2.99E+00	1.44E+00
V7	3.27E+00	5.41E+00	3.69E+00	1.10E+00	5.34E+00	1.36E+00
V8	9.66E-01	1.58E+00	2.16E+00	3.06E+00	2.13E+00	1.93E+00
V9	0.00E+00	9.45E-01	3.67E+00	3.05E+00	2.15E+00	4.27E-01
V10	2.61E+00	1.54E+00	1.88E+00	1.99E+00	1.31E+00	8.84E-01
V11	3.36E+00	3.11E+00	1.28E+00	1.71E+00	1.38E+00	0.00E+00
V12	2.57E+00	1.16E+00	2.00E+00	1.78E+00	7.46E-01	8.79E-01
V13	1.34E+00	4.99E-01	2.78E+00	2.49E+00	1.78E+00	1.49E+00
V14	1.26E+00	2.13E+00	1.46E+00	3.41E+00	1.64E+00	9.43E-01
V15	3.17E+00	7.19E-01	4.31E+00	2.71E+00	2.25E+00	2.17E+00
V16	2.61E+00	1.12E+00	3.95E+00	2.21E+00	1.96E+00	0.00E+00
V17	2.77E-01	6.05E-01	9.22E-01	1.70E+00	1.49E+00	1.11E+00
V18	1.03E+00	8.57E-01	1.71E+00	8.46E-01	1.54E+00	0.00E+00
V19	1.27E+00	4.07E+00	2.58E+00	9.12E-01	1.34E+00	8.46E-01
V20	2.17E+00	8.57E-01	3.91E+00	1.07E+00	1.80E+00	3.70E+00
V21	2.34E+00	3.33E+00	3.79E+00	2.10E+00	8.36E-01	2.75E+00
V22	2.37E+00	3.65E+00	2.75E+00	2.08E+00	2.95E+00	7.16E-01
V23	1.34E+00	9.19E-01	1.63E+00	6.70E-01	3.15E+00	1.85E+00
V24	2.09E+00	1.11E+00	1.14E+00	1.92E+00	1.37E+00	6.16E-01
V25	2.48E+00	3.95E+00	1.06E+00	3.00E+00	3.31E+00	1.60E+00
V26	1.71E+00	1.14E+00	0.00E+00	1.33E+00	6.11E-01	7.92E-01
V27	2.95E+00	2.67E+00	1.28E+00	3.44E+00	7.42E-01	1.86E+00
V28	1.70E+00	2.60E+00	3.40E+00	2.84E+00	2.60E+00	3.17E+00
V29	2.30E+00	2.62E+00	1.00E+00	5.21E-01	2.21E-01	8.00E-01
V30	2.10E+00	2.41E+00	1.97E+00	8.33E-01	7.30E-01	5.54E-01
V31	1.23E+00	1.13E+00	9.07E-01	2.04E+00	8.67E-01	1.54E+00
V32	1.43E+00	1.83E+00	2.45E+00	1.41E+00	9.75E-01	2.60E+00
V33	3.96E-01	2.46E+00	5.05E+00	1.37E+00	2.25E+00	4.17E+00
V34	1.32E+00	1.23E+00	1.19E+00	7.42E-01	1.33E+00	1.36E+00
V35	1.42E+00	1.41E+00	4.82E-01	1.76E+00	9.43E-01	6.70E-01
V36	0.00E+00	4.77E-01	2.10E+00	6.11E-01	2.02E+00	8.19E-01
V37	1.02E+00	2.09E+00	3.84E+00	3.00E+00	2.24E+00	2.82E+00
V38	4.29E+00	2.53E+00	9.17E-01	2.86E+00	1.78E+00	1.00E+00
V39	3.30E+00	1.58E+00	2.57E+00	2.69E-01	1.15E+00	1.14E+00
V40	1.24E+00	1.12E+00	3.46E+00	7.81E-01	2.64E+00	1.96E+00
V41	1.53E+00	2.13E+00	1.51E+00	1.38E+00	0.00E+00	0.00E+00
V42	1.40E+00	4.59E+00	3.28E+00	2.45E+00	2.26E+00	7.63E-01
V43	3.67E-01	5.59E-01	1.77E+00	2.67E-01	1.93E+00	1.06E+00
V44	3.66E+00	2.66E+00	3.05E+00	3.36E+00	9.21E-01	0.00E+00
V45	1.49E+00	1.41E+00	1.57E+00	2.38E+00	3.96E-01	1.45E+00
V46	1.12E+00	1.75E+00	8.59E-01	1.69E+00	7.02E-01	1.39E+00
V47	7.67E-01	1.27E+00	3.53E+00	1.15E+00	1.78E+00	3.10E+00
V48	0.00E+00	3.48E-01	2.41E+00	9.24E-01	1.73E+00	1.47E+00
V49	0.00E+00	2.43E+00	2.23E+00	2.55E+00	1.38E+00	1.46E+00
V50	8.06E-01	1.22E+00	1.41E+00	1.43E+00	0.00E+00	6.51E-01
V51	2.30E+00	4.40E+00	2.65E+00	7.92E-01	1.68E+00	4.12E+00
V52	1.98E+00	3.49E+00	0.00E+00	1.99E+00	2.54E+00	2.13E+00
V53	1.03E+00	2.91E+00	1.74E+00	2.26E+00	2.48E+00	1.51E+00
V54	5.77E-01	2.64E+00	6.16E-01	1.18E+00	2.74E+00	8.95E-01
V55	1.40E+00	1.13E+00	4.81E+00	0.00E+00	2.39E+00	3.81E+00
V56	8.41E-01	9.98E-01	8.95E-01	1.13E+00	0.00E+00	2.13E-01
V57	0.00E+00	3.63E+00	3.12E+00	2.01E+00	6.15E-01	2.77E-01
V58	1.19E+00	8.95E-01	7.06E-01	6.70E-01	0.00E+00	8.31E-01
V59	7.77E-01	9.45E-01	1.02E+00	1.91E+00	1.52E+00	9.21E-01
V60	1.68E+00	1.19E+00	3.06E-01	1.43E+00	7.52E-01	1.63E+00
V61	3.93E+00	1.59E+00	2.45E+00	2.68E+00	2.21E-01	1.12E+00
V62	1.21E+00	2.41E+00	2.54E+00	1.56E+00	2.69E+00	2.80E+00
V63	3.78E+00	3.26E+00	2.95E+00	7.18E-01	7.72E-01	2.15E+00
V64	0.00E+00	1.25E+00	2.54E+00	1.89E+00	1.72E+00	1.48E+00
V65	0.00E+00	1.28E+00	1.33E-01	5.86E-01	5.39E-01	1.24E+00
V66	4.05E+00	2.05E+00	2.75E+00	7.45E-01	6.96E-01	1.98E+00
V67	2.06E+00	1.52E+00	3.06E-01	8.46E-01	2.00E+00	8.95E-01
V68	1.54E+00	1.43E+00	1.97E+00	2.52E+00	0.00E+00	8.30E-01
V69	3.63E+00	1.57E+00	0.00E+00	4.03E+00	1.37E+00	5.63E-01
V70	1.61E+00	3.36E+00	1.02E+00	1.61E+00	2.17E+00	0.00E+00
V71	8.85E-01	2.21E+00	2.02E+00	4.02E+00	5.58E+00	1.27E+00
V72	1.09E+00	1.41E+00	0.00E+00	4.41E+00	3.86E+00	3.27E-01
V73	1.36E+00	3.31E+00	3.44E+00	1.27E+00	7.72E-01	1.09E+00
V74	2.00E+00	4.41E+00	1.56E+00	1.17E+00	1.33E+00	3.19E+00
V75	2.36E+00	1.37E+00	2.07E+00	1.80E+00	1.21E+00	1.11E+00
V76	1.25E+00	1.85E+00	2.74E+00	3.45E+00	2.98E+00	1.92E+00
V77	1.76E+00	3.43E+00	1.80E+00	5.73E-01	2.59E+00	3.90E+00
V78	1.87E+00	3.40E-01	1.30E+00	6.29E-01	1.78E+00	1.19E+00
V79	1.29E+00	2.02E+00	1.19E+00	1.92E+00	9.19E-01	9.87E-01
V80	2.10E+00	2.81E+00	0.00E+00	4.76E-01	1.96E+00	0.00E+00
V81	2.21E+00	2.45E+00	6.90E-01	2.05E+00	3.67E+00	1.48E+00
V82	3.36E+00	1.56E+00	2.97E+00	8.30E-01	2.73E+00	1.63E+00
V83	3.63E+00	0.00E+00	4.93E+00	1.62E+00	2.39E+00	4.73E-01
V84	0.00E+00	1.76E+00	3.49E+00	2.85E+00	1.90E+00	3.71E-01
V85	1.01E+00	1.56E+00	2.91E+00	2.51E+00	8.70E-01	9.48E-01
V86	7.16E-01	3.25E+00	1.48E+00	3.20E+00	4.16E-01	5.93E-01
V87	6.23E-01	1.43E+00	4.68E+00	2.61E+00	3.66E+00	5.68E+00
V88	1.06E+00	2.07E+00	5.86E-01	3.30E+00	2.03E+00	6.40E-01
V89	1.26E+00	1.06E+00	2.13E+00	1.56E+00	1.42E+00	1.96E+00
V90	4.36E+00	2.80E+00	1.16E+00	6.67E-01	2.78E+00	2.17E+00
V91	2.74E+00	2.69E+00	1.57E+00	2.13E-01	2.27E+00	1.02E+00
V92	4.90E+00	4.15E+00	1.88E+00	4.17E+00	2.91E+00	0.00E+00
V93	8.97E-01	1.75E+00	0.00E+00	1.06E+00	1.31E+00	6.05E-01
V94	2.21E+00	3.46E+00	2.27E+00	3.06E-01	2.00E+00	0.00E+00
V95	2.90E+00	1.62E+00	5.47E-01	2.44E+00	0.00E+00	8.17E-01
V96	1.70E+00	1.33E-01	1.49E+00	5.47E-01	1.11E+00	1.55E+00
V97	1.58E+00	1.02E+00	2.00E+00	2.34E+00	1.19E+00	2.22E+00
V98	1.78E+00	1.39E+00	2.90E+00	3.80E+00	2.96E+00	5.54E-01
V99	0.00E+00	1.46E+00	1.52E+00	2.24E+00	1.95E+00	0.00E+00
V100	2.24E+00	1.58E+00	3.63E+00	1.40E+00	1.93E+00	2.27E+00
