MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
1:Del:C:0	0.002432536566630006	0.00026085753440197035	0.0019359526626431035	0.013990072428441636	0.0	0.367278927564621	0.0006388394627720118	0.250044921785593	0.21236027926206588	0.017055078463454266	0.016620707890251652	0.08549890875437996	0.0378946516158976
1:Del:C:1	1.3887653835809032e-07	2.0493106092089875e-07	2.672349182830658e-07	0.0021376117086902013	0.0001980058616027236	0.07016450617593364	0.007996068019077285	0.19969217255711555	0.09626662079244852	0.008971087111942921	0.0074193316001810675	0.01962100814207588	0.008612781264713477
1:Del:C:2	0.0002582055781225279	5.886122451670417e-08	6.665334080651064e-05	0.0016580198357701193	2.341393051388252e-05	0.0013128013320965692	0.014763622364989714	0.008454527925209732	0.021082376455888154	0.007546453668607	0.0009219289126917829	0.0005687414980911854	0.0005154607061228945
1:Del:C:3	0.0006057535426830185	0.0015066415129695089	0.0012930558121297508	0.0011510028736665845	0.0006095985896536149	0.004268487775698304	0.01072765477001667	0.031182640977203847	0.004402174428105354	0.0057696758810210635	0.0009072732413187623	0.008391478820703924	0.012425515963695944
1:Del:C:4	7.192797113475535e-09	0.0010530170749376566	0.0021028087592128487	2.2701311763739796e-08	5.9524807147681714e-05	0.006408886425197125	0.0	0.006246368138039316	0.01518047934603146	0.001257101548196715	0.008385876007378102	0.007114393420494025	0.008713506444030373
1:Del:C:5	0.0002134561997138462	0.000997845563711053	0.011654957523569464	0.0003114508915032843	1.715646590128017e-07	0.0	0.0006201106305297799	0.003868164206505753	5.452509867609479e-07	0.0022724510113420137	0.022771991056288243	0.002349963504821062	0.03499121311106137
1:Del:T:0	7.50359205994755e-05	0.00021277426276355982	0.007392721623182297	0.01620557704009116	0.00013783458853140474	0.06096772141754627	0.0008162328507751226	0.07424601903185249	0.17475326359272003	0.026305834716185927	0.0696328453719616	0.0832024922594428	0.024518199637532233
1:Del:T:1	0.0012234234774950892	0.0	0.001162775605916977	0.004836206621985184	0.0003417502506636083	0.04274382553994656	0.017221043608878973	0.02739583272486925	0.051929594948887825	0.025795481353998184	0.0016475480981171132	0.006614037044346333	0.005940166674554348
1:Del:T:2	0.00545665778122455	0.00041637490017762955	0.004217768547459855	0.0	0.00016631190714520017	0.06369811818003654	0.00015043518299080462	0.08315553888678551	0.06575106792151927	1.8867295921154436e-07	0.020172119386620578	0.008808507079913852	0.024870073702186347
1:Del:T:3	0.00010438663380796243	0.0005294289789162576	0.009966163922217674	0.0010692056268453598	0.0003687245916808024	0.11486850380897522	0.0036172602325677873	0.1088190658017993	0.056983426585793494	0.008714335784316064	0.03223999794572592	0.07216767615173011	0.03949711602181196
1:Del:T:4	0.0016418615356087684	0.0012263243139159386	0.0349799832329154	0.0	7.985231604834553e-08	0.1576112113893032	2.397100843154476e-07	0.03737877871608362	0.07275097761303187	0.01149520161561668	0.058783798036165534	0.0027372824028134347	0.04493261426687241
1:Del:T:5	1.2497561066133766e-07	8.389001067143909e-07	0.8855518937110901	1.409912820804493e-06	3.180913275002695e-08	8.117067196167227e-08	2.175502459067502e-07	1.0055785395479689e-07	3.2080420657676323e-07	1.5444558528088237e-06	0.4468079566909694	3.5286086358610192e-06	0.03083904964284514
1:Ins:C:0	3.569602888831014e-08	1.4463444628631805e-07	1.2432016646357625e-06	0.0018898049994447775	2.844219744488896e-05	5.157144071787911e-08	1.5616438673760058e-06	6.129273870669749e-08	3.2925335631261986e-07	0.010392113897700029	0.0035772014561047173	0.005356103135682133	0.0001079537804400843
1:Ins:C:1	5.413955482369559e-07	7.080941202275426e-08	3.158136649972221e-08	0.002901710570147387	0.0	1.5740844077072325e-06	2.7475306154656207e-07	0.0010939025377759038	0.00036838024808787394	0.0007462201660644041	0.0020204202423791174	0.002201577524147069	0.0011704201112024749
1:Ins:C:2	0.00011524630476174025	6.014718145763709e-08	9.915024534734584e-09	0.0009811671992991933	8.259074338639039e-05	0.00029367492659559957	0.0023261577397157398	0.0017265655439430815	0.002598497866502214	0.0043633108958601955	1.3786358223910611e-07	0.0018065019285472771	1.0847045462014649e-05
1:Ins:C:3	3.5785107144192804e-08	9.612647266976637e-05	0.0001317572796267541	1.469234717887957e-07	0.00013449434682097917	0.00043544440202509805	0.0007118152561645275	9.78877762747743e-05	0.004092623060569167	0.0021716845550884046	0.0004893471014412399	7.404951436313922e-05	7.015491405581998e-08
1:Ins:C:4	3.386800528915046e-09	0.0003755417487141699	0.0018165977438911796	7.093867936873721e-05	3.4573051648578713e-05	0.0	0.00038507439622819105	5.020576168135449e-08	1.6974369998479234e-08	0.0017565169288502602	0.008865414001047612	9.259999929724926e-05	0.0003713854460329458
1:Ins:C:5	0.00701874060391674	0.019589303294196725	0.005777614191174507	0.00034017560698202943	0.00018927474739030003	0.0	0.014570611141243717	2.8025969286496343e-46	0.006190639082342386	0.004140432784333825	0.012430683709681034	0.031463749893009665	0.029967108648270367
1:Ins:T:0	0.0005073885302408598	0.00019426788567216134	0.0018033204185485374	0.001462400550849452	0.000724210642511025	0.013328811712563038	0.004784606612520293	0.01249140566214919	0.029472533194348217	0.0016024968434066977	0.0025043931906111538	0.004039566405117512	0.005510696535930037
1:Ins:T:1	6.979214504099218e-08	0.0	0.00016111130389617756	0.0020406840539124007	0.00012220041843420405	0.0119804642861709	0.0005604777962759045	0.005863456055521965	0.014557649191101519	0.010179488576542894	0.001016782457008958	0.0077673991066035345	0.003970091003156995
1:Ins:T:2	0.0004948334997655124	0.001254027160644	0.0	0.0004780550756777302	0.0	0.0022782885818742214	0.0006727323459244872	0.00904496038457978	0.0015013834927231073	0.0022135624196380375	0.0028894711439946263	0.0019707567058503627	0.0
