Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
V1	6.86E-01	8.98E-01	4.16E+00	2.60E-01	3.78E+00	4.42E+00	2.66E+00	2.97E+00	7.00E-01	7.60E-01	8.00E-01	3.10E+00	2.70E+00	1.58E+00	1.06E+00	7.12E-01	5.96E-01
V2	2.42E+00	5.33E+00	0.00E+00	1.10E+00	3.79E-01	8.74E+00	4.87E+00	0.00E+00	4.04E+00	2.64E+00	1.50E+00	3.00E-01	5.22E+00	2.30E+00	4.50E+00	3.12E+00	2.73E+00
V3	1.62E+00	3.53E+00	8.00E-01	0.00E+00	0.00E+00	8.39E+00	1.03E+01	2.89E+00	2.51E+00	1.25E+00	0.00E+00	2.27E+00	8.23E+00	5.00E-01	3.80E+00	9.00E-01	2.10E+00
V4	1.68E+00	3.09E+00	1.22E+00	0.00E+00	1.18E+00	6.83E-01	1.15E+00	0.00E+00	2.79E+00	9.00E-01	2.13E-01	4.00E-01	0.00E+00	8.43E-01	9.45E-01	1.19E+00	9.00E-01
V5	2.35E+00	5.92E+00	2.02E+01	1.38E+00	1.36E+01	2.00E-01	4.16E-01	2.67E-01	4.05E+00	1.13E+00	9.75E+00	3.00E-01	4.67E-01	1.52E+00	6.86E-01	5.14E+00	1.04E+00
V6	2.36E+00	1.49E+01	2.29E+01	3.06E-01	1.69E+01	6.16E+00	7.61E+00	1.36E+00	1.28E+01	1.18E+01	1.08E+01	2.69E+00	6.76E+00	4.20E+00	2.42E+00	4.83E+00	0.00E+00
V7	0.00E+00	2.67E+01	1.18E+01	3.83E+00	9.93E+00	2.68E+00	3.47E+00	3.69E+00	2.15E+01	8.63E+00	2.73E+00	4.89E+00	1.95E+00	1.28E+01	2.30E+00	1.36E+01	5.16E+00
V8	6.51E-01	7.53E+00	1.07E+01	2.73E+00	7.48E+00	1.36E+00	2.95E+00	0.00E+00	7.62E+00	4.31E+00	5.20E+00	0.00E+00	1.53E+00	3.04E+00	1.20E+00	7.06E-01	2.59E+00
V9	2.60E-01	4.79E+00	2.25E+00	8.33E-01	2.09E+00	1.69E+00	1.62E+00	2.51E+00	3.31E+00	1.47E+00	7.48E-01	2.70E+00	2.62E+00	1.51E+00	6.11E-01	2.64E+00	1.33E-01
V10	8.95E-01	4.37E+00	2.87E+00	2.32E+00	3.50E+00	1.00E-01	7.90E-01	2.19E+00	3.68E+00	8.72E-01	4.95E+00	1.00E-01	0.00E+00	4.44E+00	2.13E-01	4.83E+00	1.68E+00
V11	1.69E+00	5.97E-01	3.45E+00	1.30E+00	3.95E+00	1.05E+00	1.20E+00	3.17E+00	6.05E-01	2.75E+00	2.05E+00	4.76E+00	2.49E+00	2.00E+00	1.22E+00	8.62E-01	2.37E+00
V12	4.92E+00	1.54E+01	2.69E+00	1.14E+01	2.50E+00	1.45E+00	4.24E+00	1.04E+01	1.52E+01	9.77E+00	8.81E+00	9.75E+00	6.57E+00	2.48E+00	3.50E+00	4.79E+00	1.47E+01
V13	3.59E-01	1.14E+01	2.72E+00	1.74E+00	1.81E+00	5.25E+00	4.53E+00	3.40E+00	4.20E+00	3.37E+00	1.09E+00	3.70E+00	2.37E+00	5.99E+00	2.02E+00	7.53E+00	0.00E+00
V14	2.76E+00	7.30E-01	3.38E+01	3.07E+00	2.73E+01	9.45E-01	3.52E+00	2.18E+00	3.83E+00	2.10E+00	1.43E+01	2.91E+00	3.12E+00	4.87E+00	2.80E+00	2.05E+00	2.16E+00
V15	2.78E+00	2.00E-01	0.00E+00	5.69E+00	2.13E-01	1.88E+00	1.83E+00	0.00E+00	1.00E-01	4.00E-01	2.00E-01	0.00E+00	1.87E+00	3.40E-01	1.69E+00	4.33E-01	4.36E+00
V16	6.13E+00	3.43E+00	1.36E+01	5.79E+00	7.67E+00	2.61E+00	4.39E+00	0.00E+00	2.75E+00	3.79E+00	3.33E+00	0.00E+00	1.10E+00	2.03E+00	1.99E+00	2.80E+00	8.73E+00
V17	2.85E+00	4.88E+00	6.00E-01	1.58E+00	5.16E-01	2.76E+00	2.10E+00	3.60E+00	5.11E+00	1.67E+00	2.09E+00	5.59E+00	2.87E+00	4.48E+00	7.16E-01	6.85E+00	6.55E+00
V18	2.51E+00	1.76E+01	0.00E+00	0.00E+00	0.00E+00	2.33E+00	1.40E+00	0.00E+00	1.09E+01	8.33E+00	0.00E+00	0.00E+00	5.00E-01	6.12E+00	3.40E-01	6.65E+00	1.40E+00
V19	2.00E+00	6.48E+00	2.04E+00	4.32E+00	1.96E+00	6.57E+00	8.09E+00	1.00E-01	7.97E+00	5.04E+00	2.68E+00	2.00E-01	7.06E+00	3.96E-01	3.64E+00	2.33E+00	4.75E+00
V20	1.57E+00	7.00E-01	7.26E+00	2.20E+00	4.87E+00	6.05E-01	0.00E+00	2.90E+00	1.19E+00	1.20E+00	4.03E+00	5.39E+00	9.45E-01	2.24E+00	8.43E-01	1.57E+00	2.92E+00
V21	1.41E+00	1.00E+00	2.45E+00	8.62E-01	1.85E+00	2.64E+00	1.62E+00	1.03E+01	1.45E+00	6.74E-01	1.61E+00	9.85E+00	1.93E+00	1.33E+00	2.61E+00	3.06E-01	5.97E-01
V22	1.39E+00	1.03E+00	0.00E+00	1.80E+00	0.00E+00	3.71E+00	5.86E+00	7.28E+00	1.73E+00	2.02E+00	2.00E-01	7.12E+00	3.99E+00	1.78E+00	2.30E+00	5.58E-01	1.51E+00
V23	9.78E-01	5.31E+00	6.51E-01	1.52E+00	1.33E-01	9.67E-01	9.33E-01	8.30E-01	5.13E+00	3.46E+00	2.26E+00	2.12E+00	7.81E-01	8.44E-01	2.69E-01	3.46E+00	1.20E+00
V24	2.80E+00	1.83E+01	1.85E+01	3.03E+00	1.20E+01	3.04E+00	2.15E+00	6.49E+00	1.78E+01	1.43E+01	7.66E+00	3.96E+00	3.55E+00	8.08E+00	3.88E+00	7.08E+00	3.85E+00
V25	1.60E+00	1.83E+01	4.01E+01	5.78E+00	3.06E+01	2.72E+00	1.10E+00	1.74E+01	1.56E+01	6.45E+00	1.20E+01	1.93E+01	2.96E+00	1.37E+01	3.23E+00	7.34E+00	5.68E+00
V26	1.04E+00	0.00E+00	8.00E-01	9.32E-01	7.72E-01	4.34E+00	3.91E+00	6.61E+00	1.00E-01	1.19E+00	9.80E-01	9.48E+00	3.25E+00	1.89E+00	8.14E-01	6.51E-01	1.58E+00
V27	1.16E+00	3.00E-01	3.45E+00	4.13E+00	3.96E+00	1.71E+00	7.31E-01	1.99E+00	0.00E+00	7.00E-01	1.66E+00	1.07E+00	2.40E+00	4.98E+00	2.17E+00	1.55E+00	7.08E+00
V28	6.96E-01	2.12E+00	1.47E+01	2.71E+00	1.10E+01	1.00E-01	2.00E-01	2.33E+00	2.28E+00	2.30E+00	4.79E+00	3.05E+00	8.23E-01	2.29E+00	1.32E+00	1.32E+00	2.73E+00
V29	7.52E-01	2.13E+00	4.76E+00	2.72E+00	5.26E+00	9.93E+00	8.12E+00	4.84E+00	2.50E+00	2.97E+00	1.59E+00	4.30E+00	8.20E+00	7.87E+00	2.95E+00	1.61E+00	4.68E+00
V30	1.25E+00	8.33E+00	1.92E+01	7.11E+00	1.22E+01	4.22E+00	4.27E+00	5.66E+00	6.70E+00	8.61E+00	1.22E+01	5.81E+00	3.81E+00	1.74E+01	4.39E+00	8.75E+00	1.20E+01
V31	2.78E+00	1.25E+00	5.34E+00	2.21E-01	4.69E+00	1.72E+01	1.67E+01	5.14E+00	2.54E+00	2.75E+00	3.04E+00	3.26E+00	2.21E+01	2.94E+00	9.18E+00	2.18E+00	4.61E+00
V32	5.54E+00	2.22E+01	1.18E+01	7.00E-01	8.04E+00	0.00E+00	0.00E+00	6.46E+00	2.57E+01	1.61E+01	5.37E+00	1.45E+01	1.54E+00	5.08E+00	0.00E+00	1.06E+01	5.73E+00
V33	4.64E+00	4.67E+00	2.21E+00	1.41E+01	1.85E+00	1.64E+00	6.91E+00	1.30E+00	4.38E+00	2.04E+01	1.10E+01	1.33E+00	4.03E+00	2.52E+00	2.83E+00	1.00E-01	1.37E+01
V34	2.09E+00	5.52E+00	1.28E+01	5.68E+00	6.78E+00	2.97E+00	3.72E+00	4.84E+00	1.08E+01	5.31E+00	1.07E+01	1.07E+01	3.30E+00	1.78E+00	2.17E+00	2.63E+00	3.07E+00
V35	3.36E+00	1.76E+01	4.55E+00	0.00E+00	3.51E+00	0.00E+00	1.36E+00	3.48E+00	1.30E+01	4.09E+00	2.53E+00	2.10E+00	8.14E-01	4.03E+00	2.37E+00	1.17E+01	1.15E+00
V36	4.76E+00	2.00E-01	1.51E+01	0.00E+00	1.02E+01	1.98E+01	2.04E+01	4.00E-01	1.52E+00	3.41E+00	7.93E+00	2.50E+00	1.99E+01	0.00E+00	6.11E+00	1.00E-01	5.25E+00
V37	2.21E-01	1.00E-01	1.04E+00	1.17E+00	8.46E-01	0.00E+00	0.00E+00	1.92E+00	4.00E-01	1.48E+00	4.23E-01	1.34E+00	0.00E+00	1.00E+00	1.00E-01	2.67E-01	0.00E+00
V38	1.18E+00	4.80E+00	9.82E+00	7.86E-01	7.71E+00	5.04E+00	2.44E+00	4.23E-01	4.11E+00	2.95E+00	5.86E+00	0.00E+00	2.81E+00	1.62E+00	2.24E+00	2.96E+00	9.98E-01
V39	1.39E+00	2.12E+00	7.62E+00	3.07E+00	5.10E+00	8.14E+00	8.21E+00	1.03E+00	3.33E+00	1.85E+00	3.79E+00	1.62E+00	5.85E+00	1.38E+00	4.72E+00	1.68E+00	1.81E+00
V40	2.98E+00	1.79E+00	7.00E-01	5.02E+00	1.13E+00	1.56E+01	1.49E+01	2.56E+00	1.96E+00	1.71E+00	1.73E+00	3.21E+00	1.96E+01	2.28E+00	3.11E+00	1.87E+00	2.42E+00
V41	2.01E+00	1.00E-01	7.72E-01	3.00E-01	4.33E-01	1.39E+00	6.83E-01	0.00E+00	0.00E+00	0.00E+00	7.57E-01	0.00E+00	9.22E-01	0.00E+00	1.33E+00	1.01E+00	2.77E+00
V42	3.27E-01	0.00E+00	4.67E-01	1.05E+00	4.23E-01	1.00E-01	5.58E-01	1.62E+00	7.00E-01	0.00E+00	3.96E-01	2.29E+00	7.34E-01	0.00E+00	8.00E-01	0.00E+00	1.00E-01
V43	1.33E+00	1.00E-01	0.00E+00	1.09E+00	0.00E+00	1.22E+00	6.67E-01	3.92E+00	1.26E+00	1.73E+00	1.10E+00	2.48E+00	1.80E+00	1.73E+00	4.00E-01	5.12E-01	1.84E+00
V44	1.24E+00	1.85E+00	5.32E+00	8.03E-01	5.53E+00	4.37E+00	3.90E+00	9.29E+00	3.90E+00	2.76E+00	1.88E+00	8.77E+00	5.48E+00	9.00E-01	1.54E+00	3.26E+00	1.50E+00
V45	3.73E+00	1.73E+01	3.17E+01	1.91E+00	2.85E+01	1.28E+00	3.00E-01	1.14E+00	1.45E+01	1.09E+01	1.40E+01	5.00E-01	9.33E-01	3.07E+00	3.42E-01	8.69E+00	2.86E+00
V46	1.32E+00	8.39E+00	7.77E-01	5.06E+00	9.68E-01	1.26E+00	3.08E+00	1.62E+00	1.26E+01	5.01E+00	5.85E+00	1.95E+00	2.26E+00	2.03E+00	1.50E+00	4.97E+00	4.16E+00
