MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	2.65E-02	1.82E-02	8.17E-07	1.92E-02
1:Del:C:1	7.95E-03	5.09E-03	5.23E-04	6.08E-03
1:Del:C:2	4.34E-04	1.97E-04	6.28E-05	3.06E-04
1:Del:C:3	9.85E-04	7.16E-04	2.62E-04	7.48E-04
1:Del:C:4	1.20E-03	6.41E-04	2.40E-04	7.66E-04
1:Del:C:5	2.18E-04	5.51E-05	4.59E-04	9.73E-04
1:Del:T:0	9.31E-03	5.99E-03	4.74E-04	7.01E-03
1:Del:T:1	3.32E-03	2.33E-03	1.07E-04	2.35E-03
1:Del:T:2	2.06E-02	2.59E-02	2.22E-02	2.81E-02
1:Del:T:3	8.63E-03	6.06E-03	8.18E-04	6.59E-03
1:Del:T:4	7.61E-03	5.16E-03	9.41E-04	6.55E-03
1:Del:T:5	6.25E-03	4.14E-03	7.16E-03	5.95E-02
1:Ins:C:0	9.87E-05	1.18E-04	3.07E-05	1.13E-04
1:Ins:C:1	2.08E-04	0.00E+00	1.53E-04	2.00E-04
1:Ins:C:2	1.93E-04	2.44E-08	2.34E-08	1.89E-04
1:Ins:C:3	3.71E-08	3.10E-05	4.92E-08	1.37E-04
1:Ins:C:4	1.98E-04	1.61E-04	1.28E-04	3.40E-04
1:Ins:C:5	1.29E-04	5.37E-04	1.14E-03	7.83E-04
1:Ins:T:0	9.61E-04	6.64E-04	2.36E-04	8.12E-04
1:Ins:T:1	1.01E-03	5.96E-04	3.43E-05	7.44E-04
1:Ins:T:2	1.98E-04	2.54E-04	1.95E-04	2.07E-04
1:Ins:T:3	3.36E-04	0.00E+00	4.94E-04	2.83E-04
1:Ins:T:4	2.80E-04	9.15E-05	1.32E-03	6.29E-04
1:Ins:T:5	1.99E-03	5.38E-03	5.31E-02	9.16E-04
2:Del:R:0	9.58E-04	7.00E-04	3.66E-04	5.60E-04
2:Del:R:1	1.03E-03	2.65E-04	2.02E-04	7.15E-04
2:Del:R:2	1.31E-04	1.79E-04	1.28E-09	3.08E-04
2:Del:R:3	7.19E-05	3.30E-05	1.04E-04	1.20E-04
2:Del:R:4	2.85E-09	6.80E-05	4.38E-05	2.27E-04
2:Del:R:5	9.81E-05	2.83E-05	2.98E-06	8.37E-05
3:Del:R:0	9.23E-04	1.98E-04	1.47E-04	1.05E-03
3:Del:R:1	2.94E-04	3.03E-04	7.16E-04	6.29E-04
3:Del:R:2	2.52E-04	1.29E-04	2.10E-04	3.31E-04
3:Del:R:3	6.28E-05	6.75E-05	9.90E-05	1.28E-04
