NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	45.7	18.087	10.829	10.796	0.11	0.992	40000.0
2	48.472	19.419	11.764	11.874	0.119	0.99	60000.0
3	48.202	19.451	11.21	11.371	0.116	0.992	30000.0
4	46.5	18.783	11.127	11.423	0.113	0.991	50000.0
5	48.264	19.088	11.786	11.675	0.111	0.991	30000.0
6	42.762	17.099	9.922	10.059	0.108	0.993	50000.0
7	44.738	18.227	10.569	10.91	0.11	0.992	70000.0
8	44.113	18.036	10.231	10.622	0.114	0.992	30000.0
9	50.895	20.625	12.58	12.834	0.118	0.989	40000.0
10	44.625	18.189	10.181	10.589	0.116	0.992	60000.0
