NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	43.472	19.965	10.211	11.61	0.118	0.985	70000.0
2	42.989	19.158	10.0	10.899	0.11	0.991	40000.0
3	41.125	18.352	9.619	10.736	0.106	0.99	70000.0
4	42.597	19.094	9.831	10.818	0.106	0.991	40000.0
5	44.292	19.657	10.667	11.488	0.105	0.99	40000.0
6	41.811	18.566	9.649	10.542	0.104	0.991	30000.0
7	42.185	18.724	9.875	10.72	0.102	0.991	40000.0
8	45.342	20.076	10.686	11.475	0.112	0.99	60000.0
9	41.601	18.332	9.923	10.772	0.1	0.992	60000.0
10	42.721	19.377	9.966	11.144	0.112	0.99	40000.0
