MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
1:Del:C:0	2.80E-46	3.33E-07	3.58E-08	4.21E-03	2.05E-07	2.63E-02	1.41E-03	1.67E-02	3.92E-07	5.82E-03	5.75E-03	3.66E-02	4.77E-02	2.74E-02	2.80E-46	7.33E-03	1.53E-02	7.72E-04
1:Del:C:1	4.45E-04	3.85E-08	0.00E+00	2.54E-03	4.34E-03	1.35E-02	4.55E-03	2.03E-02	2.58E-03	1.56E-02	2.72E-04	3.01E-02	1.45E-02	6.73E-02	2.84E-07	9.97E-03	4.35E-06	2.84E-02
1:Del:C:2	1.11E-04	3.40E-08	2.51E-04	7.20E-06	9.51E-05	2.71E-04	1.19E-03	3.27E-04	0.00E+00	1.91E-03	3.11E-04	7.20E-03	1.08E-03	1.68E-03	2.82E-03	1.81E-03	2.99E-04	1.02E-02
1:Del:C:3	8.17E-04	3.24E-08	5.68E-04	7.99E-08	3.12E-04	2.83E-04	8.76E-04	2.87E-02	9.95E-04	2.61E-03	3.55E-03	6.27E-03	1.81E-02	1.12E-02	1.31E-02	4.15E-03	2.42E-03	4.19E-03
1:Del:C:4	2.26E-08	1.70E-07	1.20E-03	2.53E-07	1.16E-03	4.15E-03	1.55E-04	7.11E-03	1.31E-02	2.69E-07	1.06E-03	6.23E-03	4.16E-03	1.51E-03	2.75E-03	1.72E-02	6.24E-03	4.54E-03
1:Del:C:5	9.85E-04	1.66E-03	2.19E-03	3.30E-03	0.00E+00	7.99E-09	6.83E-05	6.69E-25	4.79E-03	6.19E-04	3.24E-03	0.00E+00	1.02E-06	1.05E-06	1.06E-02	4.38E-03	6.61E-02	1.96E-02
1:Del:T:0	0.00E+00	6.02E-03	9.34E-04	8.87E-04	2.06E-08	1.32E-02	4.26E-03	1.62E-02	8.65E-03	7.76E-03	4.50E-03	7.08E-03	1.94E-02	4.83E-02	1.26E-02	1.12E-02	1.14E-02	1.21E-03
1:Del:T:1	1.82E-08	1.50E-07	2.47E-03	3.51E-03	7.78E-04	1.19E-02	1.33E-03	1.63E-02	4.48E-08	7.57E-04	2.32E-05	1.91E-02	9.42E-03	1.47E-02	6.27E-04	8.98E-04	5.43E-02	1.63E-03
1:Del:T:2	9.49E-05	4.79E-02	5.29E-04	1.68E-02	2.67E-03	2.23E-02	1.67E-04	1.35E-02	1.04E-01	5.24E-03	6.16E-03	2.07E-02	1.41E-02	4.11E-02	9.20E-04	4.34E-03	2.56E-02	1.67E-03
1:Del:T:3	2.03E-03	2.18E-08	7.85E-03	3.86E-03	2.62E-03	1.83E-02	0.00E+00	2.39E-02	1.45E-02	0.00E+00	1.38E-03	4.25E-02	8.15E-03	3.14E-03	6.50E-03	1.64E-02	1.49E-02	1.18E-03
