Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
V1	5	32	18	24	14	15	0	10	34	10	0	9	3	0	0	36	0	3	0
V2	63	31	0	127	0	109	0	0	0	0	0	0	0	0	12	0	0	0	0
V3	42	3	7	3	0	8	26	0	18	16	6	14	0	0	4	0	0	1	0
V4	63	4	14	0	26	10	31	25	0	16	0	0	0	0	0	0	6	11	0
V5	1	17	0	0	1	3	11	0	24	27	1	13	0	0	0	9	9	1	21
V6	55	0	9	66	5	43	0	0	6	2	0	0	0	0	0	0	0	0	0
V7	6	59	8	0	3	0	0	17	2	10	5	2	7	0	4	13	4	1	0
V8	12	12	10	2	14	0	30	46	0	20	0	0	25	0	3	0	0	3	0
V9	3	6	1	31	0	43	0	0	15	3	0	13	8	0	0	0	0	0	0
V10	13	54	1	4	0	3	0	0	7	0	0	0	0	21	0	4	3	1	0
V11	6	1	20	5	0	3	32	14	47	20	0	21	9	0	0	11	0	2	0
V12	307	1	66	36	20	34	0	0	5	0	0	0	0	0	17	0	6	0	0
V13	4	0	30	2	9	1	6	80	9	69	26	2	60	17	0	0	0	0	0
V14	3	0	42	5	23	12	60	0	41	0	13	35	8	2	0	0	0	1	0
V15	0	30	3	5	12	3	9	31	1	14	19	9	26	0	0	3	0	0	0
V16	95	23	0	45	3	20	0	10	0	0	0	0	8	7	16	0	8	0	0
V17	11	5	387	82	197	78	6	17	0	11	0	0	0	0	0	0	0	0	0
V18	7	26	35	32	52	33	0	0	2	8	0	2	0	0	0	1	0	4	0
V19	1	28	0	34	1	45	0	3	23	2	25	42	0	18	0	0	1	0	0
V20	77	0	22	34	4	32	0	0	1	1	6	10	0	0	0	0	0	0	0
V21	9	33	3	0	0	0	29	48	6	46	0	3	52	13	0	0	0	3	0
V22	2	5	42	57	23	30	0	0	0	13	0	0	0	0	0	0	0	4	0
V23	1	209	39	1	11	0	0	10	2	6	0	0	7	0	14	0	3	0	0
V24	18	0	66	9	34	14	0	4	13	0	0	0	0	0	0	0	7	7	0
V25	3	40	0	29	2	15	0	7	0	15	27	0	0	0	0	0	4	0	0
V26	0	27	20	51	5	35	59	63	0	96	0	0	24	0	5	0	0	0	0
V27	0	35	36	0	32	0	29	52	0	0	0	0	25	15	0	0	0	2	0
V28	47	5	0	0	0	0	0	15	1	0	0	0	1	0	3	10	13	0	0
V29	160	0	155	17	57	5	52	0	86	11	71	54	0	25	0	6	18	10	0
V30	159	67	11	0	23	0	3	80	68	0	55	30	0	0	20	27	16	3	22
V31	0	62	1	0	8	0	6	14	29	0	2	30	0	0	7	4	2	0	0
V32	17	26	22	0	30	1	10	0	14	3	22	7	0	0	1	0	0	0	0
V33	30	70	54	1	20	5	0	0	14	0	14	6	0	17	0	0	0	10	0
V34	45	0	2	15	11	26	0	0	34	49	20	7	17	0	0	29	7	0	4
V35	7	6	0	23	0	36	27	32	0	62	0	0	35	0	0	0	0	0	0
V36	26	16	72	46	32	35	3	0	4	4	0	5	0	7	0	0	0	0	0
V37	19	0	19	3	9	3	29	4	30	13	33	17	7	0	2	0	0	0	0
V38	106	0	0	7	0	10	4	0	3	0	0	0	23	0	4	11	5	0	2
V39	1	2	35	0	10	0	13	17	0	17	0	0	0	0	7	5	3	9	0
V40	4	87	80	12	92	12	0	46	0	0	0	0	2	0	8	0	0	10	0
V41	3	18	30	24	21	23	0	0	0	0	0	0	2	0	3	0	0	1	2
V42	0	0	121	0	50	0	42	0	0	46	0	0	31	0	2	2	0	0	0
V43	2	3	0	4	0	6	15	11	22	10	0	0	9	0	0	0	3	1	0
V44	0	15	5	0	0	0	10	4	15	0	13	24	3	2	0	0	0	0	1
V45	50	47	9	41	3	39	0	0	15	0	8	0	0	24	8	0	0	0	0
V46	70	27	13	22	5	22	0	0	0	20	0	0	12	0	9	0	3	0	0
V47	126	0	1	12	0	9	0	0	69	11	7	38	25	0	13	0	2	0	9
V48	1	16	38	138	42	97	0	7	0	20	0	0	5	0	0	0	0	0	0
V49	5	12	3	0	5	0	13	8	42	12	44	29	4	8	0	0	0	0	0
