Samples	ID1	ID2	ID8	ID9	ID83A	ID83B
V1	0	0	26	52	0	44
V2	110	0	0	90	63	0
V3	21	0	28	105	27	0
V4	29	0	0	0	34	9
V5	24	39	0	0	51	174
V6	0	0	0	124	257	224
V7	0	66	56	0	241	107
V8	0	62	0	0	80	100
V9	0	7	22	17	35	18
V10	0	33	0	0	57	42
V11	80	25	41	0	0	42
V12	86	172	111	0	149	0
V13	0	14	46	57	93	15
V14	58	129	0	0	0	371
V15	80	116	0	0	0	0
V16	65	70	0	37	29	114
V17	31	12	60	35	49	0
V18	82	0	0	0	157	0
V19	57	46	0	75	55	19
V20	12	59	46	0	0	47
V21	39	0	141	0	0	24
V22	0	55	96	46	0	0
V23	9	17	0	0	69	0
V24	46	80	83	0	202	162
V25	0	52	230	0	170	365
V26	10	0	131	36	0	0
V27	22	68	30	0	0	36
V28	0	34	0	0	0	202
V29	0	21	63	141	0	65
V30	0	87	108	0	118	185
V31	34	0	69	234	0	48
V32	72	0	83	0	222	91
V33	49	287	0	0	61	0
V34	41	130	56	0	77	106
V35	110	0	0	0	185	37
V36	51	0	0	279	0	126
V37	0	14	15	0	0	7
V38	21	0	0	51	51	88
V39	0	22	0	89	29	81
V40	38	105	0	250	0	0
V41	46	0	0	18	0	0
V42	0	28	17	0	0	0
V43	11	24	48	0	0	0
V44	0	0	102	52	23	54
V45	326	0	0	0	172	274
V46	0	126	0	0	136	0
V47	0	63	19	47	20	0
V48	11	13	71	87	0	0
V49	110	0	0	25	21	0
V50	31	0	0	0	299	0
V51	10	0	0	44	12	18
V52	0	0	0	224	0	139
V53	0	17	0	249	0	34
V54	0	127	83	0	0	0
V55	70	0	0	0	0	61
V56	56	0	228	0	111	0
V57	30	130	103	253	0	0
V58	0	39	0	0	0	13
V59	102	50	0	274	0	48
V60	9	9	27	31	61	35
V61	248	71	0	310	0	0
V62	0	65	0	0	335	0
V63	42	0	152	0	0	125
V64	72	101	0	338	0	0
V65	320	75	0	0	0	165
V66	61	90	0	56	0	0
V67	0	66	0	0	63	57
V68	0	0	0	0	294	0
V69	129	0	0	0	0	181
V70	0	0	281	0	0	0
V71	40	36	85	105	105	0
V72	139	0	59	0	0	46
V73	91	166	0	86	67	0
V74	63	0	0	0	0	79
V75	108	44	0	0	211	126
V76	50	25	28	0	96	0
V77	21	0	97	0	0	0
V78	0	0	99	395	0	0
V79	0	0	0	0	196	47
V80	34	0	69	54	137	74
V81	71	0	0	95	259	52
V82	125	27	0	98	170	0
V83	53	0	0	0	0	351
V84	0	0	0	464	42	0
V85	0	41	161	0	70	32
V86	0	0	0	0	170	0
V87	40	0	0	158	0	27
V88	0	0	0	60	126	33
V89	354	0	0	0	113	109
V90	0	14	73	21	26	18
V91	0	44	0	33	50	39
V92	27	91	49	0	95	66
V93	219	0	0	87	0	48
V94	175	0	115	0	132	0
V95	237	0	0	0	75	0
V96	194	0	0	0	0	220
V97	0	0	16	17	53	14
V98	63	33	90	0	188	0
V99	91	64	0	0	0	545
V100	6	0	19	8	29	0
