Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.63,0.57,NO,N/A,60.6%,74.86%,131.66%,57.94%,111.09,0.491,1.3002,0.216,0.693,0.764,0.225
3,0.79,0.72,NO,N/A,49.37%,60.24%,116.58%,50.78%,84.26,0.3586,1.0329,0.148,0.461,0.839,0.517
4,0.73,0.52,NO,N/A,39.19%,44.34%,111.73%,31.92%,77.81,0.2835,1.0125,0.086,0.372,0.906,0.601
5,0.92,0.73,NO,N/A,16.95%,25.74%,95.96%,13.95%,79.69,0.1689,0.6755,0.034,0.382,0.962,0.57
6*,1.0,1.0,YES,Most Stab Sigs,6.63%,16.12%,47.73%,8.05%,33.76,0.0917,0.398,0.006,0.058,0.994,0.935
7,0.74,-0.78,NO,N/A,6.66%,15.95%,50.43%,8.04%,34.29,0.0937,0.4104,0.005,0.057,0.994,0.937
8,0.55,-0.96,NO,N/A,6.49%,15.57%,52.2%,8.2%,33.84,0.0939,0.3524,0.005,0.054,0.994,0.94
9,0.39,-0.89,NO,N/A,6.27%,15.22%,47.69%,8.0%,33.64,0.0921,0.4084,0.005,0.056,0.995,0.937
10,0.31,-0.78,NO,N/A,6.5%,16.69%,46.97%,7.89%,33.7,0.0955,0.3794,0.005,0.058,0.994,0.935
11,0.23,-0.74,NO,N/A,5.92%,15.12%,48.6%,7.52%,31.87,0.0905,0.3448,0.004,0.047,0.995,0.949
12,0.18,-0.85,NO,N/A,6.96%,16.07%,51.48%,8.01%,32.41,0.0964,0.3444,0.005,0.045,0.995,0.951
13,0.15,-0.84,NO,N/A,6.2%,15.3%,50.14%,7.42%,32.65,0.0951,0.3505,0.004,0.049,0.996,0.947
14,0.11,-0.89,NO,N/A,6.7%,16.01%,46.07%,8.01%,32.43,0.0956,0.3484,0.004,0.05,0.995,0.944
15,0.08,-0.84,NO,N/A,5.65%,14.61%,51.96%,6.91%,32.49,0.0909,0.3233,0.004,0.044,0.996,0.953
16,0.13,-0.65,NO,N/A,6.02%,15.22%,47.97%,7.35%,31.2,0.0941,0.3178,0.003,0.044,0.997,0.952
17,0.06,-0.61,NO,N/A,7.15%,16.39%,52.09%,8.09%,31.21,0.0976,0.329,0.003,0.036,0.997,0.963
18,0.09,-0.71,NO,N/A,5.61%,14.2%,45.68%,6.9%,27.11,0.0892,0.3337,0.002,0.026,0.998,0.973
19,-0.0,-0.76,NO,N/A,5.75%,14.86%,39.92%,6.92%,26.33,0.0906,0.3437,0.003,0.031,0.997,0.967
20,0.1,-0.64,NO,N/A,5.87%,14.38%,44.75%,6.82%,26.75,0.0897,0.3122,0.002,0.025,0.997,0.974
