Samples	ID83A	ID83B	ID83C
V1	160	0	6
V2	265	59	0
V3	152	3	77
V4	127	106	136
V5	26	407	13
V6	218	0	37
V7	0	20	164
V8	244	12	3
V9	126	89	0
V10	167	49	16
V11	127	36	112
V12	195	15	47
V13	353	207	95
V14	64	7	150
V15	134	7	0
V16	72	6	23
V17	60	6	63
V18	196	3	59
V19	0	13	53
V20	0	98	142
V21	144	68	0
V22	0	655	0
V23	128	292	0
V24	27	30	0
V25	191	0	6
V26	6	493	0
V27	167	6	21
V28	12	132	132
V29	0	120	127
V30	159	33	167
V31	66	4	0
V32	331	16	137
V33	33	71	17
V34	0	1	513
V35	26	56	25
V36	107	51	92
V37	20	27	0
V38	1	38	45
V39	217	66	0
V40	94	34	97
V41	1	5	59
V42	26	14	112
V43	0	182	447
V44	485	76	0
V45	95	25	80
V46	55	15	10
V47	195	2	69
V48	30	0	208
V49	193	279	0
V50	36	75	10
V51	546	0	19
V52	455	55	0
V53	430	145	50
V54	89	56	116
V55	454	3	186
V56	4	3	90
V57	104	83	34
V58	75	116	83
V59	0	178	295
V60	0	1	139
V61	94	3	87
V62	0	230	155
V63	141	0	51
V64	99	0	22
V65	0	55	91
V66	0	122	259
V67	0	45	246
V68	12	4	33
V69	0	35	164
V70	239	0	179
V71	198	187	67
V72	0	300	65
V73	406	51	11
V74	82	2	5
V75	0	11	53
V76	468	26	0
V77	130	157	302
V78	11	448	132
V79	147	192	49
V80	0	308	416
V81	224	71	102
V82	6	252	0
V83	80	101	0
V84	102	0	58
V85	167	56	60
V86	202	188	0
V87	47	684	0
V88	28	99	43
V89	16	0	186
V90	44	324	36
V91	89	53	54
V92	215	89	154
V93	3	0	148
V94	141	0	88
V95	166	10	238
V96	47	174	0
V97	0	22	213
V98	3	61	165
V99	31	172	41
V100	26	286	344
