MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
5:Ins:R:3	0.00000005	0.00000002	0.00011007	0.00000012	0.00028875	0.00000013
5:Ins:R:4	0.00001415	0.00005288	0.00000008	0.00000010	0.00000018	0.00014633
5:Ins:R:5	0.00000000	0.00054219	0.00000010	0.00020303	0.00000004	0.00000000
2:Del:M:1	0.00055037	0.00122584	0.00254780	0.00073132	0.00511706	0.00018713
3:Del:M:1	0.00013904	0.00053004	0.00345004	0.00016152	0.01029854	0.00000001
3:Del:M:2	0.00058514	0.00008036	0.00081096	0.00217099	0.00230236	0.00459838
4:Del:M:1	0.00068279	0.00019746	0.00200724	0.00002699	0.00355437	0.00090278
4:Del:M:2	0.00040313	0.00000000	0.00132772	0.00075984	0.00047268	0.00183934
4:Del:M:3	0.00011751	0.00034160	0.00197552	0.00056365	0.00043154	0.00000000
5:Del:M:1	0.00049460	0.00248212	0.00010260	0.00025225	0.30630269	0.00023718
5:Del:M:2	0.00000012	0.00381380	0.00000058	0.00000000	0.13396150	0.00363098
5:Del:M:3	0.00039917	0.00000000	0.00244295	0.00000000	0.04934902	0.00019363
5:Del:M:4	0.00045022	0.00077978	0.00000000	0.00078462	0.01270008	0.00076539
5:Del:M:5	0.00025206	0.00028981	0.00008361	0.00093473	0.01608362	0.00399495
