Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
V1	26	23	80	143	23	4	6	0	3	7	11	7	10	2	0	0	13	3	0
V2	87	43	85	4	58	303	116	35	7	0	94	1	0	0	19	5	0	31	0
V3	15	37	4	30	1	16	86	21	10	17	14	10	0	0	0	19	0	0	2
V4	32	22	58	14	37	10	15	2	9	0	0	4	0	0	8	0	0	0	0
V5	33	17	5	37	5	44	74	22	12	11	21	45	12	19	5	6	0	0	0
V6	59	5	49	32	25	2	4	7	10	12	12	1	19	0	10	10	7	1	0
V7	378	22	21	9	14	9	11	0	104	0	18	0	0	0	0	0	0	0	1
V8	14	0	20	20	2	0	0	28	9	0	0	44	0	7	4	0	5	0	3
V9	53	7	207	134	91	3	15	16	11	20	0	0	31	0	5	0	16	0	0
V10	184	3	0	1	0	40	46	3	70	0	19	0	0	0	62	0	0	41	0
V11	13	0	63	70	35	0	0	1	9	0	0	0	11	0	0	0	0	0	14
V12	39	285	2	2	0	0	74	24	0	23	45	0	8	0	0	17	0	13	7
V13	107	19	0	0	37	4	0	43	17	27	0	17	35	1	13	0	14	1	0
V14	0	0	24	93	37	18	13	78	0	19	5	6	53	4	0	23	4	0	0
V15	477	65	0	2	0	10	4	1	12	0	0	0	0	11	14	0	0	0	3
V16	73	21	14	0	27	0	0	9	6	20	4	1	6	0	14	0	5	0	1
V17	59	11	4	6	3	1	31	2	5	4	13	1	0	0	0	0	0	0	0
V18	24	22	1	38	1	0	0	0	2	0	0	0	1	6	0	0	0	0	3
V19	2	12	16	15	13	11	10	50	2	10	17	24	16	0	0	0	0	0	0
V20	38	7	55	0	28	0	0	7	8	3	0	0	0	0	0	0	0	0	0
V21	45	6	8	7	5	28	8	2	14	0	9	0	0	0	21	0	0	35	0
V22	2	26	0	0	0	10	27	66	0	27	18	8	3	8	0	7	45	0	1
V23	0	31	139	65	46	14	2	37	10	13	13	11	4	28	0	11	0	2	0
V24	0	181	44	113	19	1	1	0	0	0	2	4	3	16	0	2	0	0	1
V25	44	1	30	9	3	0	1	0	7	0	4	0	0	0	0	0	0	0	0
V26	6	1	82	1	16	1	0	14	5	77	0	27	35	3	0	21	0	0	0
V27	190	83	10	18	19	0	3	1	79	0	0	0	0	0	48	0	0	0	5
V28	3	514	7	0	2	0	0	1	3	0	0	0	0	3	0	0	0	0	9
V29	85	14	81	40	34	0	0	30	38	29	0	14	5	0	40	0	37	0	0
V30	26	4	4	5	0	0	0	2	13	3	0	0	2	3	0	1	0	0	0
V31	0	0	87	88	46	0	1	20	0	2	0	5	35	4	0	9	0	0	0
V32	29	0	46	1	35	0	1	0	3	0	7	2	1	0	0	2	0	0	0
V33	3	0	0	18	15	0	0	31	0	1	0	6	8	2	2	10	39	0	0
V34	0	158	111	39	34	55	41	15	0	0	0	0	11	0	0	10	0	9	11
V35	2	22	9	93	9	10	24	8	0	5	8	12	10	0	0	15	10	0	5
V36	0	11	289	55	45	12	6	9	1	10	0	5	6	22	0	0	0	0	0
V37	16	3	5	2	5	10	79	1	2	0	4	0	0	0	0	0	0	17	0
V38	28	16	49	0	14	11	0	4	16	0	0	0	0	0	8	0	0	6	0
V39	59	0	20	14	32	0	3	17	27	5	0	4	3	4	0	9	0	0	0
V40	22	17	37	53	10	2	1	16	2	0	0	6	0	0	4	8	12	0	11
V41	82	1	6	4	0	28	47	70	22	57	0	0	1	0	19	0	18	6	0
V42	9	38	0	51	0	1	1	18	4	4	0	1	0	1	14	0	0	0	0
V43	290	0	0	8	0	6	24	41	25	15	4	41	4	0	0	44	0	0	0
V44	3	5	47	0	38	18	0	23	1	16	0	20	4	0	0	3	1	1	1
V45	19	0	29	38	42	0	1	0	4	0	3	0	12	0	1	0	7	0	4
V46	50	20	0	85	1	29	17	5	2	0	0	7	0	0	33	0	26	30	22
V47	106	12	2	0	4	32	8	0	33	5	0	8	4	5	13	1	0	0	0
V48	2	4	79	57	20	11	18	1	0	0	13	10	4	0	0	0	0	0	0
V49	436	68	0	4	0	1	0	10	21	15	1	11	0	0	42	0	0	24	0
V50	95	4	38	24	21	1	0	3	16	5	0	1	0	2	6	0	25	1	0
V51	4	11	28	9	12	7	9	61	2	34	0	6	0	12	1	5	0	9	6
V52	18	127	76	5	63	0	0	8	14	0	0	0	0	6	0	0	0	1	8
V53	0	3	93	53	77	167	94	38	7	0	59	34	4	14	0	0	0	0	0
V54	7	87	0	101	0	0	0	1	0	5	0	4	10	2	1	1	64	0	20
V55	46	6	36	5	28	9	0	1	4	0	3	3	2	0	5	0	0	9	0
V56	0	123	10	60	0	1	1	19	0	33	0	2	45	26	0	0	0	0	0
V57	13	54	2	63	0	1	1	12	10	0	1	2	0	0	0	7	0	0	18
V58	214	73	21	31	14	3	0	29	41	13	7	37	5	0	4	0	0	0	24
V59	0	0	71	25	55	25	22	26	1	29	33	6	11	12	0	28	0	0	0
V60	62	61	4	13	1	109	8	2	10	23	49	0	0	0	0	0	0	22	10
V61	11	0	51	163	104	3	1	2	2	0	0	0	19	0	5	0	0	10	0
V62	91	87	19	60	35	4	1	9	10	4	6	4	11	0	20	3	2	13	20
V63	14	15	17	0	25	0	0	9	0	8	2	6	9	4	1	0	0	0	3
V64	54	96	18	0	15	0	0	36	9	7	0	20	15	0	0	0	0	0	0
V65	31	412	47	3	21	31	61	14	0	2	44	0	3	18	25	31	0	0	5
V66	35	74	34	0	9	11	18	15	5	0	8	3	8	14	13	0	1	0	0
V67	4	18	22	1	22	60	44	16	2	13	62	9	0	0	9	11	0	6	0
V68	26	0	8	12	4	5	0	2	7	0	0	10	0	0	0	3	5	0	3
V69	29	21	0	0	0	13	53	28	0	19	1	1	5	0	7	0	0	10	0
V70	2	98	8	3	0	0	0	1	2	1	3	1	3	4	0	0	0	0	10
V71	0	0	1	19	0	1	1	3	0	0	3	0	1	0	2	1	13	9	0
V72	5	5	0	159	0	15	9	22	6	14	0	2	13	12	5	10	54	0	16
V73	0	0	1	75	0	0	8	63	0	20	6	22	0	2	0	11	63	0	2
V74	95	36	24	32	14	0	0	4	8	2	4	1	6	30	1	12	21	12	0
V75	34	8	94	9	26	0	7	8	3	0	5	0	3	0	0	6	0	0	0
V76	12	3	1	6	0	0	0	13	0	14	0	8	1	13	1	2	0	0	0
V77	45	0	0	5	0	72	133	34	14	6	0	5	0	1	3	18	12	0	0
V78	117	37	9	27	4	19	11	7	12	19	33	0	13	2	0	11	0	0	0
V79	5	136	0	85	0	0	0	3	2	1	0	4	13	0	0	1	0	0	12
V80	133	20	106	58	68	0	0	3	15	14	0	1	0	2	12	7	0	2	10
V81	106	1	30	12	12	50	13	2	17	0	0	0	6	0	26	5	5	0	0
V82	4	32	1	13	1	3	0	4	2	0	0	0	4	3	0	1	0	0	4
V83	67	0	0	121	0	51	7	12	37	2	24	2	10	0	13	14	0	0	7
V84	0	16	19	5	15	0	0	3	0	3	0	0	0	5	0	5	0	0	3
V85	9	7	0	90	2	0	0	4	0	2	1	0	0	0	0	0	0	0	3
V86	62	39	21	55	7	8	16	7	22	4	2	0	0	19	3	0	0	0	0
V87	3	539	25	0	27	18	18	11	2	18	0	12	7	60	4	6	0	0	26
