Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
V1	13	33	33	17	25	15	7	17	8	0	44	0	1	0
V2	68	0	31	0	127	0	0	116	0	0	0	0	0	0
V3	46	5	3	33	3	37	0	10	4	0	7	0	0	0
V4	64	19	3	0	0	39	29	13	6	0	0	33	0	0
V5	4	0	22	28	0	41	0	5	0	0	22	4	12	0
V6	55	11	0	1	66	0	0	45	0	0	8	0	0	0
V7	11	11	61	10	0	9	19	0	1	0	0	0	19	0
V8	3	9	11	0	0	39	56	0	36	0	0	20	3	0
V9	2	0	6	24	32	0	0	48	6	0	5	0	0	0
V10	15	1	69	0	7	0	0	4	0	0	11	0	3	1
V11	5	19	0	38	4	50	15	4	11	0	45	0	0	0
V12	327	74	1	13	40	0	0	37	0	0	0	0	0	0
V13	0	34	7	39	2	61	116	2	24	0	0	0	17	13
V14	0	55	0	63	6	33	11	14	21	21	21	0	0	0
V15	0	13	30	18	5	27	29	3	8	14	0	0	18	0
V16	102	1	18	0	48	0	5	20	12	0	0	0	7	22
V17	14	537	6	18	93	0	27	95	2	0	2	0	0	0
V18	8	54	25	7	29	0	0	41	0	0	0	38	0	0
V19	3	0	40	74	39	0	0	51	0	15	0	0	0	1
V20	77	20	0	13	34	0	0	35	0	8	0	0	0	0
V21	0	2	44	0	0	58	77	1	44	0	15	0	4	0
V22	2	48	4	3	57	6	0	34	0	2	0	17	3	0
V23	6	43	203	4	1	12	0	0	0	0	1	0	25	8
V24	20	87	0	5	10	0	2	18	0	0	17	13	0	0
V25	4	0	38	21	29	0	22	16	0	5	0	4	3	0
V26	2	21	28	0	51	135	91	40	0	0	2	0	15	0
V27	0	61	41	0	1	22	69	1	17	0	0	0	0	14
V28	52	1	4	0	0	0	13	0	0	0	3	0	20	2
V29	169	172	10	119	22	17	38	5	0	73	78	24	0	0
V30	178	23	63	115	0	0	84	0	4	1	47	20	27	22
V31	3	8	58	55	0	0	15	0	1	0	6	0	11	8
V32	19	38	27	40	0	4	6	1	0	3	0	14	1	0
V33	32	58	82	27	1	0	0	10	0	12	6	13	0	0
V34	55	15	0	44	17	50	0	31	0	0	30	0	24	0
V35	0	0	6	0	24	82	41	44	30	0	0	0	1	0
V36	26	89	20	7	48	0	0	39	4	17	0	0	0	0
V37	17	24	0	69	3	21	22	2	16	2	12	0	0	0
V38	103	0	0	0	9	0	0	10	27	3	5	0	18	0
V39	5	35	1	0	0	21	30	0	0	0	0	13	12	2
V40	1	85	83	0	0	0	25	19	15	0	0	123	2	0
V41	4	45	19	1	25	0	0	26	0	0	2	0	5	0
V42	0	158	0	2	0	97	0	0	9	0	0	0	28	0
V43	0	0	2	0	4	19	14	6	6	0	32	0	3	0
V44	0	4	13	35	0	0	13	0	1	15	5	0	1	5
V45	55	9	64	14	45	0	0	44	0	0	13	0	0	0
V46	75	16	27	0	24	18	0	26	4	0	0	0	13	0
V47	127	1	1	71	13	7	0	9	30	0	57	0	6	0
V48	0	68	17	2	143	0	14	108	8	0	0	0	4	0
V49	4	5	17	102	0	16	15	1	8	0	10	5	0	2
V50	11	26	14	59	5	36	43	5	0	0	0	0	10	0
V51	176	61	0	6	4	65	30	3	35	19	14	18	0	0
V52	3	15	88	2	0	0	6	13	1	0	0	68	0	0
V53	55	4	0	10	42	0	41	56	13	0	0	0	6	13
V54	42	16	0	0	11	0	0	16	4	0	2	0	0	0
V55	29	3	12	0	77	17	13	85	7	0	0	0	0	0
V56	6	111	43	0	0	53	0	0	9	0	0	49	0	0
V57	81	0	0	143	58	0	118	52	39	46	0	0	0	0
V58	34	74	3	0	0	12	9	0	13	1	2	39	8	0
V59	74	24	14	5	5	2	26	8	0	10	0	0	3	0
V60	4	17	203	60	90	0	0	58	0	37	0	0	5	0
V61	63	33	10	74	1	0	0	0	0	31	12	0	13	7
V62	170	0	2	0	0	5	0	2	0	0	0	0	0	10
V63	25	128	17	45	19	6	72	48	3	14	23	0	17	0
V64	29	52	11	3	36	4	0	9	0	8	0	0	11	0
V65	23	0	3	2	1	0	0	0	0	0	1	0	0	4
V66	147	74	165	1	0	166	75	4	99	0	0	12	38	0
V67	15	0	4	0	9	29	36	4	55	0	0	0	12	0
V68	0	92	1	88	5	9	20	0	2	61	13	0	0	3
V69	87	3	0	1	7	0	0	0	1	0	0	9	1	13
V70	266	23	0	7	0	120	54	3	10	0	10	0	0	0
V71	24	90	72	7	17	0	0	5	0	9	0	0	12	0
V72	12	46	3	0	0	134	140	3	0	0	0	28	33	0
V73	5	67	159	0	0	87	75	17	0	0	0	30	58	0
V74	93	4	140	0	5	33	8	15	0	0	0	0	28	37
V75	3	2	0	0	3	0	13	12	0	0	0	0	0	0
V76	77	0	1	2	52	0	0	51	0	0	12	0	0	0
V77	40	75	67	14	79	15	6	14	0	0	25	0	11	0
V78	1	94	310	0	5	0	0	2	15	0	4	50	10	0
V79	147	0	0	0	2	0	11	3	8	0	0	0	0	3
V80	10	3	0	170	71	0	28	62	37	89	0	0	10	0
V81	47	0	4	3	102	0	9	83	15	8	0	0	0	5
V82	14	56	0	282	2	0	91	0	1	91	71	0	26	0
V83	15	141	133	380	0	11	60	2	0	45	0	80	0	0
V84	20	1	0	11	12	9	1	7	0	20	0	0	0	0
V85	17	183	71	3	0	6	0	0	11	5	3	18	2	2
V86	0	4	0	59	10	50	0	25	10	9	40	0	0	0
V87	6	68	41	0	145	0	0	75	0	0	0	0	0	0
V88	53	246	36	71	3	0	0	6	0	0	12	14	0	29
V89	14	29	148	33	7	42	60	22	8	53	21	0	12	0
V90	4	0	52	125	14	73	38	36	10	28	0	0	3	0
V91	0	79	0	3	40	2	0	24	2	1	0	0	0	0
V92	101	12	142	0	0	62	88	0	43	0	1	0	25	0
V93	1	10	119	13	111	0	0	88	0	0	0	0	0	12
V94	112	0	141	27	18	5	0	0	10	11	0	1	0	1
V95	102	6	0	24	0	9	11	7	0	0	20	44	0	16
V96	267	1	62	55	61	0	0	68	19	0	2	0	2	5
V97	0	64	38	0	26	159	29	41	10	22	24	0	3	5
V98	50	54	4	15	13	56	0	15	11	0	2	8	9	0
V99	65	4	1	4	5	0	0	9	0	0	4	0	0	0
V100	11	7	17	167	0	0	21	3	18	25	0	1	26	15
