Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	0	0	211	29	88
V2	7	146	18	37	7
V3	114	23	3	41	84
V4	0	841	26	0	4
V5	54	311	6	19	255
V6	0	20	233	0	7
V7	50	7	67	2	112
V8	98	1	0	148	55
V9	95	33	33	35	14
V10	0	89	153	0	1
V11	194	58	59	5	10
V12	23	0	49	157	6
V13	0	263	12	0	77
V14	85	42	0	69	17
V15	32	0	6	8	5
V16	27	136	12	45	0
V17	215	10	45	78	1
V18	41	2	0	0	0
V19	1	30	79	57	4
V20	1	5	209	183	46
V21	240	0	11	85	125
V22	54	180	95	19	64
V23	13	51	337	204	0
V24	43	7	40	11	33
V25	147	14	87	153	47
V26	123	24	61	25	41
V27	0	44	3	80	119
V28	0	59	48	23	2
V29	340	1	194	67	4
V30	92	22	51	354	23
V31	0	76	7	25	13
V32	4	6	182	3	0
V33	77	160	27	54	25
V34	0	55	0	152	141
V35	179	197	2	423	41
V36	9	0	46	9	1
V37	90	3	251	37	306
V38	45	2	4	19	81
V39	0	2	191	2	0
V40	87	9	50	0	77
V41	21	260	36	90	24
V42	78	9	49	0	4
V43	77	2	27	3	7
V44	42	40	98	52	12
V45	237	97	3	22	31
V46	140	20	46	47	2
V47	115	122	87	0	0
V48	97	74	99	77	0
V49	89	89	317	14	2
V50	248	169	45	4	29
V51	89	0	49	8	168
V52	24	36	44	72	106
V53	16	186	5	2	11
V54	11	8	41	31	2
V55	0	21	5	37	433
V56	61	109	33	64	161
V57	62	15	0	95	11
V58	0	47	34	358	217
V59	0	6	112	26	10
V60	221	124	43	33	118
V61	0	3	173	217	65
V62	7	3	12	27	25
V63	108	240	8	300	27
V64	142	5	16	2	56
V65	213	211	15	99	95
V66	0	0	134	2	0
V67	409	8	17	0	9
V68	0	35	45	100	2
V69	150	14	0	207	453
V70	7	81	2	16	31
V71	52	18	1	44	11
V72	79	27	4	8	3
V73	210	50	75	41	21
V74	6	152	12	22	80
V75	9	46	40	46	77
V76	60	111	21	0	9
V77	114	169	2	28	1
V78	49	76	112	43	0
V79	138	295	3	69	10
V80	5	7	6	108	103
V81	38	3	167	268	25
V82	41	1	150	20	3
V83	79	12	14	29	2
V84	24	0	2	17	47
V85	84	369	16	0	29
V86	0	0	4	106	1
V87	0	64	2	0	132
V88	5	23	29	86	2
V89	0	5	277	82	41
V90	193	19	94	0	59
V91	96	15	191	30	6
V92	0	122	70	11	28
V93	143	40	4	55	1
V94	7	68	17	0	0
V95	198	5	0	26	1
V96	0	38	169	2	45
V97	256	35	23	16	49
V98	0	13	89	0	76
V99	39	19	158	23	138
V100	6	0	39	146	83
