Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	7.13E+00	0.00E+00	8.55E+00	1.97E+00	3.86E+00
V2	1.68E+00	2.30E+00	1.81E+00	1.31E+00	7.46E-01
V3	6.10E+00	1.52E+00	1.85E+00	4.91E+00	3.22E+00
V4	1.69E+00	2.76E+00	1.78E+00	0.00E+00	6.87E-01
V5	1.23E+01	8.35E+00	3.18E+00	1.59E+00	5.72E+00
V6	9.01E+00	1.29E+00	9.56E+00	0.00E+00	1.04E+00
V7	9.15E+00	1.06E+00	1.15E+01	4.76E-01	2.83E+00
V8	1.15E+01	3.79E-01	1.57E+00	1.03E+01	2.70E+00
V9	7.16E+00	2.13E+00	5.73E+00	3.40E+00	1.16E+00
V10	5.82E+00	1.86E+00	5.70E+00	0.00E+00	4.82E-01
V11	4.02E+01	2.23E+00	3.83E+01	5.82E-01	1.29E+00
V12	4.68E+00	0.00E+00	5.19E+00	1.54E+00	7.61E-01
V13	8.36E-01	2.28E+00	8.82E-01	2.00E-01	1.93E+00
V14	1.01E+01	2.16E+00	1.78E+00	7.97E+00	1.09E+00
V15	6.20E+00	0.00E+00	6.15E+00	9.43E-01	6.37E-01
V16	6.46E+00	2.69E+00	4.69E+00	1.25E+00	0.00E+00
V17	2.14E+01	1.48E+00	1.76E+01	4.90E+00	7.31E-01
V18	3.25E+00	3.35E-01	3.20E+00	0.00E+00	0.00E+00
V19	3.10E+00	1.69E+00	3.90E+00	1.75E+00	3.89E-01
V20	4.02E+00	8.98E-01	4.39E+00	2.95E+00	2.34E+00
V21	2.31E+01	0.00E+00	1.88E+01	4.67E+00	3.73E+00
V22	1.50E+01	4.66E+00	1.06E+01	1.10E+00	3.44E+00
V23	1.19E+01	2.00E+00	1.11E+01	3.65E+00	6.74E-01
V24	1.18E+01	7.90E-01	1.05E+01	7.60E-01	1.72E+00
V25	1.37E+01	1.13E+00	1.54E+01	6.59E+00	2.09E+00
V26	5.17E+00	1.29E+00	6.63E+00	2.08E+00	2.59E+00
V27	3.00E-01	1.95E+00	4.58E-01	1.61E+00	2.70E+00
V28	0.00E+00	2.26E+00	2.02E+00	1.82E+00	5.00E-01
V29	2.24E+01	6.16E-01	2.29E+01	2.48E+00	3.59E-01
V30	5.99E+00	8.60E-01	3.48E+00	7.41E+00	1.60E+00
V31	1.00E-01	1.73E+00	9.20E-01	1.25E+00	1.13E+00
V32	9.66E+00	7.81E-01	9.76E+00	5.26E-01	0.00E+00
