NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	46.024	17.524	10.831	10.652	0.113	0.991	70000.0
2	45.804	16.719	10.706	9.968	0.109	0.993	30000.0
3	48.252	17.733	11.429	10.408	0.106	0.993	40000.0
4	47.537	17.528	11.13	10.381	0.106	0.992	40000.0
5	51.545	19.088	12.505	11.328	0.112	0.992	40000.0
6	46.321	16.855	11.298	10.009	0.103	0.993	30000.0
7	50.604	18.723	11.875	10.877	0.113	0.992	60000.0
8	45.634	16.928	10.428	9.793	0.105	0.993	50000.0
9	46.657	17.725	10.901	10.641	0.111	0.991	30000.0
10	46.721	17.123	10.635	9.794	0.107	0.993	80000.0
