MutationType	ID83A	ID83B	ID83C
1:Del:C:0	2.55E-02	3.13E-03	2.26E-02
1:Del:C:1	2.07E-03	2.09E-03	2.82E-03
1:Del:C:2	1.50E-02	2.48E-03	1.37E-02
1:Del:C:3	5.49E-04	4.28E-04	4.71E-04
1:Del:C:4	1.25E-02	2.44E-03	1.18E-02
1:Del:C:5	7.21E-04	6.32E-04	3.00E-04
1:Del:T:0	1.78E-03	2.34E-03	2.71E-03
1:Del:T:1	8.99E-04	6.24E-04	1.23E-03
1:Del:T:2	3.11E-03	5.88E-04	2.38E-03
1:Del:T:3	2.52E-03	1.06E-03	2.82E-03
1:Del:T:4	3.00E-03	2.52E-03	2.99E-03
1:Del:T:5	4.52E-02	4.45E-02	3.39E-02
1:Ins:C:0	2.31E-04	1.70E-04	1.97E-04
1:Ins:C:1	8.56E-05	1.09E-04	2.30E-08
1:Ins:C:2	7.96E-05	7.23E-05	8.18E-05
1:Ins:C:3	8.95E-09	9.69E-05	7.73E-09
1:Ins:C:4	1.53E-04	3.13E-04	3.77E-04
1:Ins:C:5	4.83E-04	1.18E-03	3.81E-04
1:Ins:T:0	2.63E-04	3.87E-04	3.60E-04
1:Ins:T:1	2.54E-04	2.94E-04	2.72E-04
1:Ins:T:2	6.87E-04	2.38E-04	8.52E-04
1:Ins:T:3	1.09E-04	4.45E-04	1.78E-04
1:Ins:T:4	2.71E-04	9.97E-04	3.93E-04
1:Ins:T:5	4.81E-08	5.52E-02	3.48E-04
2:Del:R:0	4.50E-04	5.52E-04	4.34E-04
2:Del:R:1	7.26E-04	8.10E-04	5.65E-04
2:Del:R:2	1.11E-04	7.55E-05	1.17E-04
2:Del:R:3	5.89E-05	1.51E-04	5.77E-05
2:Del:R:4	7.24E-05	8.25E-05	8.69E-06
2:Del:R:5	2.59E-03	5.98E-04	2.07E-03
3:Del:R:0	7.36E-04	9.31E-04	7.18E-04
3:Del:R:1	3.08E-04	3.28E-04	3.92E-04
3:Del:R:2	9.21E-05	1.91E-04	1.01E-04
3:Del:R:3	1.05E-04	2.02E-05	3.93E-05
3:Del:R:4	5.03E-09	2.40E-09	6.41E-09
3:Del:R:5	4.50E-08	2.65E-05	4.67E-08
4:Del:R:0	3.45E-04	4.09E-04	3.86E-04
4:Del:R:1	2.24E-04	2.06E-04	2.80E-04
4:Del:R:2	9.57E-05	9.74E-05	3.23E-08
4:Del:R:3	9.21E-06	3.87E-08	5.42E-05
4:Del:R:4	5.35E-05	5.79E-08	3.96E-03
4:Del:R:5	5.03E-09	2.40E-09	6.41E-09
5:Del:R:0	1.99E-02	1.82E-02	1.82E-02
5:Del:R:1	1.95E-04	1.82E-04	3.16E-04
5:Del:R:2	4.53E-05	7.21E-05	2.10E-05
5:Del:R:3	3.31E-08	5.15E-08	6.36E-02
5:Del:R:4	2.80E-05	3.05E-05	1.50E-05
5:Del:R:5	1.16E-05	1.95E-05	1.37E-05
2:Ins:R:0	7.86E-05	8.40E-05	8.04E-05
2:Ins:R:1	1.16E-04	8.64E-05	1.13E-04
2:Ins:R:2	8.21E-05	8.66E-05	2.13E-04
2:Ins:R:3	1.12E-04	1.11E-04	8.63E-05
2:Ins:R:4	4.68E-05	2.78E-04	1.48E-05
2:Ins:R:5	7.48E-04	8.52E-04	5.50E-04
3:Ins:R:0	5.20E-05	3.05E-08	6.06E-06
3:Ins:R:1	1.27E-04	1.05E-04	1.63E-04
3:Ins:R:2	4.84E-05	1.91E-05	2.02E-05
3:Ins:R:3	1.25E-05	3.32E-05	4.58E-08
3:Ins:R:4	3.21E-05	2.35E-05	4.10E-05
3:Ins:R:5	9.31E-05	2.60E-04	2.88E-04
4:Ins:R:0	9.92E-05	8.16E-05	9.26E-05
4:Ins:R:1	1.00E-04	6.49E-05	1.41E-04
4:Ins:R:2	6.23E-05	2.10E-04	1.38E-03
4:Ins:R:3	5.03E-09	2.40E-09	6.41E-09
4:Ins:R:4	5.35E-05	6.21E-05	6.06E-05
4:Ins:R:5	1.40E-04	3.84E-05	2.52E-04
5:Ins:R:0	6.26E-05	7.43E-06	9.16E-05
5:Ins:R:1	6.84E-04	6.38E-04	6.34E-04
5:Ins:R:2	3.03E-05	5.18E-05	1.19E-08
5:Ins:R:3	3.28E-05	1.22E-08	1.19E-05
5:Ins:R:4	9.41E-06	2.63E-05	3.89E-05
5:Ins:R:5	2.42E-05	5.55E-05	3.03E-05
2:Del:M:1	3.18E-04	1.72E-04	4.47E-04
3:Del:M:1	5.73E-04	5.75E-04	4.09E-04
3:Del:M:2	2.91E-04	4.11E-04	2.10E-04
4:Del:M:1	2.81E-04	2.53E-04	2.90E-04
4:Del:M:2	1.66E-04	1.80E-04	1.41E-04
4:Del:M:3	1.33E-04	8.26E-05	1.19E-04
5:Del:M:1	2.01E-02	1.79E-02	1.82E-02
5:Del:M:2	9.29E-03	7.80E-03	7.41E-03
5:Del:M:3	3.15E-03	2.98E-03	2.88E-03
5:Del:M:4	8.58E-04	5.92E-04	8.98E-04
5:Del:M:5	9.45E-04	6.91E-04	6.41E-04
