Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	13	27	32	19	0	24	13	30	1	0	11	3	0	0	0	23	0	0	17	0
V2	67	0	31	135	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V3	31	4	3	8	24	2	12	9	6	0	23	1	0	18	0	1	0	0	6	0
V4	53	26	1	9	0	0	24	0	22	11	23	20	0	12	0	0	0	0	0	5
V5	2	0	21	3	24	1	16	11	27	0	2	1	0	0	0	4	0	3	23	0
V6	55	7	0	55	0	62	0	7	0	0	0	0	0	0	0	0	0	0	0	0
V7	10	10	43	0	6	0	11	1	6	21	0	0	25	0	2	2	0	0	4	0
V8	13	14	11	0	0	2	36	0	30	16	18	11	0	0	25	0	1	0	0	0
V9	3	0	0	52	11	22	2	14	0	0	0	0	8	0	6	5	0	0	0	0
V10	13	0	61	4	2	6	0	0	0	0	0	0	8	0	0	0	1	0	15	1
V11	8	17	1	4	13	5	13	43	27	0	28	0	0	0	9	18	0	1	4	0
V12	278	69	1	42	8	32	0	2	0	0	0	0	0	58	0	0	2	0	0	0
V13	4	29	11	0	15	4	107	15	38	49	0	3	0	0	28	0	12	0	0	0
V14	2	50	2	13	47	2	0	31	0	0	60	8	0	0	6	15	0	9	0	0
V15	0	10	30	3	23	4	44	1	1	26	0	6	0	0	11	0	3	3	0	0
V16	83	0	4	28	0	49	0	0	0	6	0	0	32	26	7	0	0	0	0	0
V17	11	487	3	102	2	75	0	12	17	6	16	49	0	0	4	0	7	3	0	0
V18	7	60	22	41	6	25	1	1	5	0	0	26	0	0	0	1	0	0	0	7
V19	2	0	40	53	57	27	0	19	0	2	0	0	2	0	0	17	0	4	0	0
V20	77	19	1	40	17	30	0	0	0	0	0	0	0	0	0	2	1	0	0	0
V21	8	1	40	0	0	0	82	2	0	41	34	1	0	0	17	8	0	0	11	0
V22	2	49	5	42	0	58	0	0	8	0	0	4	0	0	1	0	7	0	0	0
V23	4	39	145	0	0	0	0	0	13	1	0	0	81	0	7	3	0	3	7	0
V24	15	81	0	17	0	8	0	11	0	7	0	14	0	6	0	0	7	0	6	0
V25	4	0	38	20	6	29	0	5	12	9	0	0	0	0	1	0	17	0	1	0
V26	2	14	27	44	0	49	81	1	103	19	31	0	0	0	14	0	0	0	0	0
