MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
4:Ins:R:1	5.54E-05	1.84E-04	1.97E-04	3.01E-04	1.16E-04	1.35E-04
4:Ins:R:2	1.36E-04	0.00E+00	2.91E-04	1.17E-08	4.71E-04	4.32E-09
4:Ins:R:3	2.82E-09	3.04E-09	4.81E-09	4.98E-09	3.81E-09	3.13E-09
4:Ins:R:4	6.50E-05	1.40E-08	1.55E-04	1.40E-08	2.69E-09	4.86E-08
4:Ins:R:5	6.53E-09	1.26E-04	3.31E-04	0.00E+00	3.39E-04	6.57E-09
5:Ins:R:0	2.16E-08	1.03E-04	7.23E-05	5.13E-05	1.09E-04	1.71E-08
5:Ins:R:1	3.20E-04	5.16E-04	2.29E-04	2.35E-04	2.75E-04	2.87E-04
5:Ins:R:2	5.10E-05	6.18E-05	5.02E-09	6.89E-05	1.47E-08	1.41E-08
5:Ins:R:3	1.89E-08	8.06E-09	6.24E-09	7.44E-05	1.59E-08	5.56E-05
5:Ins:R:4	3.43E-08	7.62E-05	3.91E-08	4.81E-05	3.37E-05	3.02E-08
5:Ins:R:5	3.58E-05	3.07E-08	9.36E-05	1.09E-07	2.98E-08	3.21E-08
2:Del:M:1	2.23E-04	3.97E-04	0.00E+00	3.26E-04	3.04E-04	2.61E-05
3:Del:M:1	5.32E-05	4.12E-04	9.30E-09	5.09E-04	6.03E-05	1.37E-08
3:Del:M:2	5.15E-04	6.93E-04	5.17E-04	4.88E-04	4.12E-05	2.49E-04
4:Del:M:1	1.20E-04	3.13E-04	3.41E-04	4.28E-04	6.28E-09	3.31E-04
4:Del:M:2	8.40E-05	3.94E-04	1.07E-04	3.29E-04	3.53E-05	1.70E-04
4:Del:M:3	1.13E-04	1.47E-04	1.31E-04	3.65E-04	0.00E+00	1.48E-04
5:Del:M:1	2.94E-08	3.18E-03	2.09E-04	3.48E-07	3.48E-04	5.67E-04
5:Del:M:2	2.65E-07	2.39E-03	3.25E-08	3.56E-07	1.90E-04	4.45E-07
5:Del:M:3	2.33E-04	1.33E-03	2.45E-04	1.37E-04	0.00E+00	3.70E-04
5:Del:M:4	3.45E-08	8.28E-04	4.20E-04	1.28E-04	0.00E+00	2.74E-04
5:Del:M:5	1.08E-04	5.91E-04	3.31E-04	1.08E-04	2.91E-04	7.46E-05
