Samples	ID1	ID2	ID8	ID9	ID83A	ID83E
V1	0	13	0	0	51	32
V2	0	0	103	0	0	10
V3	202	0	0	114	32	0
V4	6	43	0	0	13	0
V5	22	0	40	168	0	23
V6	32	0	0	152	0	0
V7	0	47	78	0	14	0
V8	0	22	68	212	29	42
V9	29	18	95	25	0	23
V10	32	35	0	0	19	16
V11	0	29	0	76	0	0
V12	0	17	29	0	22	106
V13	32	102	33	69	0	0
V14	16	54	0	0	41	9
V15	19	0	22	36	37	0
V16	36	24	15	14	0	0
V17	52	0	0	101	215	31
V18	0	0	42	0	5	8
V19	0	0	0	0	328	0
V20	29	44	26	35	13	0
V21	172	92	0	0	23	95
V22	48	262	0	114	212	0
V23	200	0	0	52	0	0
V24	124	311	0	0	0	35
V25	0	0	0	341	273	0
V26	0	73	0	57	56	194
V27	55	118	0	191	43	0
V28	436	0	0	153	0	0
V29	0	42	0	0	189	0
V30	56	220	378	0	0	0
V31	229	237	0	231	0	0
V32	20	76	0	0	44	0
V33	0	36	33	0	0	94
V34	120	0	73	0	125	88
V35	0	48	0	99	0	20
V36	14	0	0	20	44	7
V37	40	0	0	0	16	0
V38	0	0	0	0	0	487
V39	126	0	0	0	560	70
V40	0	36	182	0	0	109
V41	27	0	0	0	85	0
V42	112	107	78	189	0	0
V43	0	0	0	0	125	0
V44	0	15	0	55	89	12
V45	90	0	168	0	0	189
V46	0	0	0	0	62	161
V47	57	0	0	0	63	65
V48	207	0	0	105	83	0
V49	28	53	0	66	20	20
V50	32	41	0	118	27	0
V51	28	0	35	0	0	96
V52	30	0	0	77	86	60
V53	53	0	0	67	21	35
V54	128	151	0	0	0	0
V55	0	8	0	13	10	4
V56	66	0	90	0	0	261
V57	53	0	0	0	71	0
V58	67	30	92	0	27	83
V59	62	17	0	62	0	41
V60	0	76	170	61	78	0
V61	44	41	128	0	54	51
V62	296	50	79	0	0	36
V63	20	15	0	0	10	12
V64	57	0	106	0	64	0
V65	96	44	48	0	0	0
V66	0	106	134	50	65	0
V67	38	0	69	79	0	156
V68	42	0	0	191	0	25
V69	48	55	0	64	166	0
V70	14	0	0	16	0	0
V71	0	242	0	0	278	0
V72	60	0	105	0	12	20
V73	125	22	101	45	0	43
V74	156	0	0	0	325	0
V75	167	130	0	144	88	0
V76	0	0	33	0	0	0
V77	0	66	0	109	30	0
V78	26	0	0	0	82	47
V79	135	0	0	0	0	0
V80	0	352	0	0	0	0
V81	31	42	0	0	15	119
V82	26	104	0	0	223	0
V83	0	435	141	0	85	0
V84	61	19	91	0	0	0
V85	47	12	24	0	40	27
V86	0	48	0	0	0	10
V87	0	26	0	0	10	41
V88	0	13	33	0	26	21
V89	29	42	22	36	16	0
V90	0	0	0	0	327	0
V91	63	0	0	0	134	222
V92	177	26	0	0	0	0
V93	27	18	15	31	0	12
V94	86	60	0	0	46	116
V95	69	0	22	0	9	0
V96	0	31	41	0	18	181
V97	0	40	0	0	297	0
V98	43	0	0	0	16	51
V99	330	136	0	0	31	0
V100	0	0	0	0	551	0
