NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	148.325	26.681	30.553	16.6	0.12	0.979	100000.0
2	147.637	26.284	30.523	16.417	0.114	0.981	60000.0
3	147.854	26.546	30.232	16.497	0.117	0.98	30000.0
4	144.529	26.108	29.654	16.122	0.118	0.981	40000.0
5	146.879	26.761	29.969	16.447	0.122	0.979	60000.0
6	148.623	26.711	30.628	16.752	0.117	0.979	70000.0
7	149.56	26.518	31.025	16.48	0.119	0.979	70000.0
8	146.618	26.314	29.88	16.169	0.116	0.981	60000.0
9	149.373	26.718	30.632	16.541	0.12	0.98	60000.0
10	148.22	26.731	30.782	16.67	0.122	0.978	40000.0
11	148.065	26.37	30.367	16.235	0.117	0.98	40000.0
12	148.872	26.761	30.501	16.745	0.12	0.979	90000.0
13	147.603	26.448	30.5	16.491	0.119	0.98	50000.0
14	147.064	26.422	30.163	16.419	0.12	0.979	50000.0
15	149.153	26.448	30.936	16.557	0.117	0.98	30000.0
16	149.688	26.623	30.835	16.598	0.117	0.98	50000.0
17	148.298	26.44	30.5	16.465	0.116	0.98	60000.0
18	145.888	26.343	29.547	16.116	0.117	0.981	40000.0
19	148.098	26.478	30.312	16.515	0.116	0.98	90000.0
20	149.938	26.79	31.033	16.877	0.119	0.979	40000.0
21	149.807	26.884	30.852	16.778	0.121	0.978	40000.0
22	148.828	26.714	31.097	17.028	0.117	0.979	30000.0
23	147.608	26.55	30.485	16.586	0.119	0.978	30000.0
24	146.773	26.325	30.443	16.44	0.12	0.98	60000.0
25	149.319	26.463	30.909	16.495	0.116	0.98	30000.0
