NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	74.139	29.78	18.104	19.907	0.178	0.97	30000.0
2	81.775	32.266	22.407	22.83	0.177	0.961	40000.0
3	79.109	31.25	20.546	21.835	0.177	0.963	40000.0
4	75.298	30.244	18.529	20.155	0.178	0.97	50000.0
5	84.678	33.695	23.122	24.128	0.181	0.954	30000.0
6	85.514	34.091	24.202	24.489	0.187	0.955	20000.0
7	74.276	30.097	18.682	20.725	0.176	0.966	20000.0
8	79.363	31.835	20.339	21.945	0.182	0.963	20000.0
9	79.062	31.556	20.003	21.505	0.179	0.965	40000.0
10	79.2	32.005	19.902	21.882	0.188	0.961	50000.0
