Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
V1	22	23	0	0	0	0	5	10	1	0	0	12	6
V2	0	2	4	125	13	0	34	118	1	0	20	18	0
V3	22	12	0	9	10	1	30	21	23	0	7	6	0
V4	39	4	0	8	35	14	10	0	11	0	0	0	0
V5	19	4	95	189	7	0	3	0	16	15	12	7	0
V6	0	232	55	70	16	0	0	24	4	18	7	0	12
V7	48	8	37	0	3	21	3	15	0	12	1	0	9
V8	36	1	6	1	3	22	0	0	2	0	0	0	6
V9	28	41	5	54	16	0	0	62	13	0	17	0	4
V10	143	0	0	13	17	74	13	12	0	30	17	3	0
V11	0	1	125	69	11	0	23	0	13	8	12	0	0
V12	183	7	8	32	0	107	0	16	0	0	0	3	16
V13	32	22	16	0	108	9	25	0	0	11	0	0	25
V14	27	18	130	0	4	71	5	3	0	0	0	8	14
V15	69	2	0	0	34	64	80	7	15	49	5	0	14
V16	12	47	81	0	0	0	34	24	49	44	3	8	0
V17	3	28	169	0	78	0	3	0	0	23	0	15	4
V18	96	29	56	26	0	39	0	3	0	59	0	0	0
V19	10	0	0	20	15	0	47	6	51	20	14	27	0
V20	5	128	102	13	29	0	39	3	22	34	10	9	0
V21	62	48	94	71	137	0	69	15	129	94	11	14	13
V22	3	33	0	66	0	2	0	5	1	0	5	0	6
V23	94	13	44	0	9	0	20	0	5	82	8	0	0
V24	2	10	2	173	4	0	17	91	0	6	11	10	0
V25	24	6	1	21	0	60	0	19	23	0	8	0	0
V26	2	5	71	24	20	0	1	15	0	0	2	2	0
V27	55	7	5	72	0	0	13	120	21	61	0	14	0
V28	0	22	12	24	1	0	103	27	26	0	18	42	0
V29	81	20	40	1	0	31	0	0	0	25	0	0	0
V30	168	55	56	38	0	61	0	8	6	28	8	9	14
V31	84	66	0	0	31	35	0	0	0	0	0	1	26
V32	127	351	227	0	0	60	17	0	0	0	0	10	11
V33	1	14	33	2	51	0	0	26	0	11	0	1	3
V34	335	24	0	31	0	138	0	0	0	0	7	0	28
V35	173	0	39	12	0	42	0	10	0	0	0	1	30
V36	0	112	8	0	12	0	12	1	23	8	0	15	0
V37	67	13	0	13	5	25	58	23	75	0	18	6	0
V38	38	13	2	44	65	0	0	11	6	0	0	0	17
V39	52	0	58	1	150	0	0	12	5	0	0	0	6
V40	3	42	0	7	52	0	3	22	0	32	0	5	7
V41	30	1	45	1	3	19	0	2	0	0	0	0	0
