NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	69.291	27.593	16.841	17.594	0.159	0.98	40000.0
2	74.2	28.373	18.185	18.168	0.155	0.978	40000.0
3	69.561	26.748	17.273	17.582	0.149	0.978	20000.0
4	72.271	27.577	18.065	18.131	0.154	0.979	20000.0
5	68.53	26.773	16.749	17.13	0.154	0.981	50000.0
6	73.442	28.276	18.359	18.811	0.158	0.975	30000.0
7	70.672	26.946	17.441	17.325	0.153	0.979	20000.0
8	76.206	29.491	19.994	19.849	0.158	0.973	20000.0
9	72.333	27.658	17.997	18.245	0.156	0.978	20000.0
10	78.276	30.363	19.922	20.354	0.162	0.973	50000.0
