MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
2:Ins:R:0	4.51E-04	9.03E-04	3.45E-03	7.74E-04	3.53E-04	2.46E-03	4.41E-03	4.07E-03
2:Ins:R:1	4.78E-05	1.61E-04	4.05E-04	8.27E-05	5.62E-05	9.62E-05	5.35E-04	1.03E-03
2:Ins:R:2	3.22E-05	3.51E-05	0.00E+00	2.13E-05	4.77E-09	0.00E+00	1.82E-05	4.70E-05
2:Ins:R:3	1.52E-05	1.58E-05	5.32E-06	0.00E+00	2.55E-09	5.57E-05	1.52E-05	2.96E-04
2:Ins:R:4	1.78E-05	1.89E-05	0.00E+00	1.34E-05	2.69E-09	6.09E-09	3.72E-05	1.01E-04
2:Ins:R:5	8.50E-06	3.04E-05	6.29E-05	0.00E+00	5.93E-09	6.43E-10	5.77E-05	1.08E-04
3:Ins:R:0	1.74E-04	5.77E-04	2.72E-03	3.27E-04	1.15E-04	9.75E-04	5.42E-03	2.64E-03
3:Ins:R:1	1.53E-05	4.78E-05	4.77E-05	1.67E-05	3.76E-09	1.16E-04	2.16E-04	3.21E-04
3:Ins:R:2	3.35E-06	8.70E-06	7.97E-08	0.00E+00	3.39E-09	7.42E-09	5.78E-05	2.39E-05
3:Ins:R:3	8.76E-06	2.52E-06	5.79E-08	1.79E-09	6.28E-06	6.19E-08	1.47E-08	5.12E-05
3:Ins:R:4	0.00E+00	3.44E-09	4.26E-08	1.79E-09	2.03E-10	4.11E-08	7.25E-08	2.14E-08
3:Ins:R:5	0.00E+00	3.44E-09	4.26E-08	1.79E-09	2.03E-10	4.11E-08	7.25E-08	2.14E-08
4:Ins:R:0	6.68E-05	5.26E-04	2.87E-03	2.34E-04	1.12E-04	1.38E-03	4.33E-03	2.01E-03
4:Ins:R:1	8.16E-06	2.23E-06	1.26E-04	5.13E-05	3.52E-09	4.68E-07	2.15E-04	5.18E-05
4:Ins:R:2	1.19E-09	1.50E-08	5.87E-08	1.79E-09	2.41E-09	2.03E-05	5.26E-06	7.13E-08
4:Ins:R:3	3.38E-10	4.82E-06	6.18E-08	1.79E-09	1.86E-08	8.39E-08	9.09E-06	6.12E-08
4:Ins:R:4	2.81E-10	1.41E-09	1.00E-07	1.90E-08	1.81E-09	1.32E-07	3.71E-08	5.68E-05
4:Ins:R:5	0.00E+00	3.44E-09	4.26E-08	1.79E-09	2.03E-10	4.11E-08	7.25E-08	2.14E-08
5:Ins:R:0	0.00E+00	9.90E-04	6.36E-03	7.04E-04	2.24E-04	2.94E-03	1.10E-02	4.88E-03
5:Ins:R:1	4.38E-11	0.00E+00	2.86E-05	2.11E-05	2.14E-09	1.40E-04	7.03E-05	8.92E-05
5:Ins:R:2	7.20E-10	5.85E-06	7.38E-08	0.00E+00	4.57E-09	8.04E-08	7.36E-08	6.37E-08
5:Ins:R:3	0.00E+00	3.44E-09	4.26E-08	1.79E-09	2.03E-10	4.11E-08	7.25E-08	2.14E-08
5:Ins:R:4	0.00E+00	3.44E-09	4.26E-08	1.79E-09	2.03E-10	4.11E-08	7.25E-08	2.14E-08
5:Ins:R:5	0.00E+00	3.44E-09	4.26E-08	1.79E-09	2.03E-10	4.11E-08	7.25E-08	2.14E-08
2:Del:M:1	2.77E-04	3.48E-04	3.80E-03	2.87E-04	6.05E-05	3.99E-03	1.87E-03	3.99E-03
3:Del:M:1	9.05E-06	3.80E-05	3.35E-04	4.39E-04	4.32E-05	1.35E-03	1.08E-03	1.04E-03
3:Del:M:2	1.43E-04	1.02E-04	3.20E-03	3.35E-04	6.56E-05	3.53E-03	6.92E-04	2.61E-03
4:Del:M:1	2.93E-05	4.93E-05	7.74E-04	3.70E-04	2.21E-09	1.04E-03	4.52E-04	1.02E-03
4:Del:M:2	4.39E-05	2.02E-04	1.89E-03	3.54E-04	2.05E-09	1.90E-03	1.01E-03	1.63E-03
4:Del:M:3	2.89E-05	7.42E-05	3.19E-03	2.05E-04	1.33E-04	3.79E-03	7.49E-04	2.48E-03
5:Del:M:1	1.06E-05	4.78E-04	1.76E-03	1.42E-03	7.08E-05	8.79E-03	4.81E-03	1.42E-03
5:Del:M:2	1.56E-05	6.85E-04	2.01E-03	2.84E-03	1.09E-04	2.63E-03	2.72E-03	7.10E-05
5:Del:M:3	3.12E-05	5.17E-16	5.31E-04	3.55E-03	1.08E-04	1.86E-03	1.78E-03	1.29E-03
5:Del:M:4	6.67E-06	1.87E-04	2.87E-04	2.01E-03	1.77E-09	4.26E-04	2.69E-38	8.54E-04
5:Del:M:5	6.55E-05	2.07E-04	9.97E-04	1.69E-03	9.64E-05	5.00E-04	1.65E-03	2.42E-03
