Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.89,0.88,NO,N/A,55.39%,67.55%,111.17%,57.04%,94.49,0.3861,0.8425,0.163,0.455,0.827,0.501
3,0.87,0.75,NO,N/A,39.35%,46.15%,118.16%,35.94%,98.23,10.283,1000.0,0.089,0.478,0.905,0.478
4,0.91,0.74,NO,N/A,26.98%,36.03%,91.93%,23.57%,81.46,0.2147,0.5448,0.04,0.36,0.957,0.603
5,0.88,0.49,NO,N/A,14.53%,21.88%,60.87%,11.37%,53.4,0.1333,0.3665,0.012,0.121,0.987,0.866
6*,1.0,0.99,YES,Most Stab Sigs,5.43%,14.66%,35.92%,6.07%,26.73,0.0863,0.2318,0.003,0.031,0.996,0.965
7,0.73,-0.81,NO,N/A,5.34%,14.58%,36.19%,6.01%,25.53,0.0865,0.2414,0.003,0.03,0.997,0.965
8,0.53,-0.89,NO,N/A,5.19%,14.14%,35.06%,5.72%,25.4,0.087,0.2548,0.003,0.03,0.997,0.965
9,0.42,-0.78,NO,N/A,5.11%,14.53%,33.86%,5.47%,24.97,0.0863,0.2408,0.003,0.028,0.997,0.969
10,0.4,-0.82,NO,N/A,4.78%,13.38%,33.27%,5.23%,22.08,0.0842,0.2248,0.002,0.024,0.997,0.974
11,0.26,-0.86,NO,N/A,5.32%,13.59%,38.21%,5.56%,24.21,0.0876,0.2638,0.003,0.028,0.997,0.969
12,0.18,-0.81,NO,N/A,4.9%,13.12%,35.01%,5.39%,24.4,0.0848,0.2433,0.003,0.028,0.997,0.968
13,0.15,-0.67,NO,N/A,4.85%,13.44%,32.29%,5.11%,22.3,0.0863,0.2219,0.002,0.025,0.997,0.972
14,0.12,-0.76,NO,N/A,4.66%,12.56%,37.3%,5.22%,22.27,0.084,0.2474,0.002,0.025,0.998,0.972
15,0.12,-0.76,NO,N/A,4.64%,12.43%,34.8%,4.9%,20.3,0.0831,0.2186,0.002,0.021,0.998,0.977
16,0.06,-0.84,NO,N/A,4.97%,13.43%,34.23%,5.35%,22.53,0.0866,0.2381,0.002,0.026,0.998,0.971
17,0.04,-0.8,NO,N/A,5.91%,14.13%,32.21%,5.83%,21.0,0.0891,0.2352,0.002,0.022,0.998,0.976
18,0.04,-0.84,NO,N/A,4.82%,12.86%,33.81%,5.24%,21.31,0.0833,0.2306,0.002,0.023,0.998,0.974
19,0.06,-0.79,NO,N/A,5.04%,13.5%,37.65%,5.37%,24.14,0.0835,0.2522,0.002,0.027,0.998,0.97
20,0.03,-0.69,NO,N/A,5.56%,12.82%,30.97%,4.65%,22.32,0.0843,0.1909,0.002,0.023,0.998,0.973
