NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	48.812	20.485	11.742	12.42	0.126	0.989	40000.0
2	51.006	20.923	12.939	13.556	0.12	0.986	30000.0
3	54.809	22.527	14.926	15.128	0.125	0.983	60000.0
4	48.657	20.114	11.81	12.294	0.118	0.989	50000.0
5	49.645	21.014	11.719	12.587	0.125	0.988	40000.0
6	45.691	18.856	10.625	11.021	0.113	0.991	50000.0
7	52.749	22.178	13.638	14.44	0.128	0.984	40000.0
8	51.17	21.506	12.322	13.192	0.131	0.986	50000.0
9	43.293	18.037	10.087	10.613	0.111	0.992	40000.0
10	43.01	17.953	10.033	10.605	0.116	0.992	60000.0
