Samples	ID83A	ID83B
V1	2.36E+00	2.36E+00
V2	9.56E+00	9.56E+00
V3	3.58E+00	3.58E+00
V4	2.05E+00	2.05E+00
V5	3.03E+00	3.03E+00
V6	2.45E+00	2.45E+00
V7	3.86E+00	3.86E+00
V8	1.01E+01	1.01E+01
V9	2.59E+00	2.59E+00
V10	1.23E+01	1.23E+01
V11	2.50E+00	2.50E+00
V12	2.08E+01	2.08E+01
V13	2.29E+01	2.29E+01
V14	9.44E+00	9.44E+00
V15	1.75E+00	1.75E+00
V16	1.57E+01	1.57E+01
V17	2.99E+00	2.99E+00
V18	2.21E+01	2.21E+01
V19	1.66E+01	1.66E+01
V20	5.24E+00	5.24E+00
V21	8.61E+00	8.61E+00
V22	3.40E+00	3.38E+00
V23	0.00E+00	0.00E+00
V24	1.85E+00	1.85E+00
V25	5.28E+00	5.28E+00
V26	2.23E+01	2.23E+01
V27	3.39E+00	3.39E+00
V28	3.90E+01	3.90E+01
V29	5.74E+00	5.74E+00
V30	2.88E+00	2.88E+00
V31	1.13E+01	1.13E+01
V32	2.61E+00	2.61E+00
V33	2.49E+01	2.49E+01
V34	2.11E+00	2.11E+00
V35	2.68E+00	2.68E+00
V36	2.76E+01	2.76E+01
V37	6.43E+00	6.43E+00
V38	4.86E+01	4.86E+01
V39	1.30E+01	1.30E+01
V40	2.92E+01	2.92E+01
V41	4.02E+00	4.02E+00
V42	3.47E+00	3.47E+00
V43	4.89E+00	4.89E+00
V44	3.03E+01	3.03E+01
V45	2.08E+01	2.08E+01
V46	2.31E+01	2.31E+01
V47	1.84E+01	1.84E+01
V48	4.80E+00	4.80E+00
V49	7.77E+00	7.77E+00
V50	1.25E+01	1.25E+01
V51	5.20E+00	5.20E+00
V52	2.57E+00	2.57E+00
V53	3.28E+01	3.28E+01
V54	1.10E+01	1.10E+01
V55	5.05E+00	5.05E+00
V56	3.82E+00	3.82E+00
V57	8.69E+00	8.69E+00
V58	6.21E+00	6.21E+00
V59	3.49E+00	3.49E+00
V60	4.81E+00	4.81E+00
V61	1.55E+00	1.55E+00
V62	8.56E+00	8.56E+00
V63	2.12E+00	2.12E+00
V64	8.67E+00	8.67E+00
V65	1.87E+01	1.87E+01
V66	1.96E+00	1.96E+00
V67	1.42E+01	1.42E+01
V68	2.64E+00	2.64E+00
V69	2.61E+01	2.61E+01
V70	1.18E+01	1.18E+01
V71	1.48E+01	1.48E+01
V72	2.01E+00	2.01E+00
V73	1.60E+01	1.60E+01
V74	6.89E+01	6.89E+01
V75	8.88E+00	8.88E+00
V76	5.26E+00	5.26E+00
V77	3.31E+00	3.31E+00
V78	2.66E+00	2.66E+00
V79	4.22E+00	4.22E+00
V80	2.39E+01	2.39E+01
V81	3.98E+00	3.98E+00
V82	2.75E+00	2.75E+00
V83	4.47E+00	4.47E+00
V84	3.81E+00	3.81E+00
V85	3.09E+00	3.09E+00
V86	2.47E+00	2.47E+00
V87	2.02E+00	2.02E+00
V88	1.39E+01	1.39E+01
V89	7.67E+00	7.67E+00
V90	3.41E+00	3.41E+00
V91	3.83E+00	3.83E+00
V92	1.15E+01	1.15E+01
V93	1.92E+01	1.92E+01
V94	1.83E+01	1.83E+01
V95	1.08E+01	1.08E+01
V96	8.25E+00	8.25E+00
V97	4.87E+00	4.87E+00
V98	3.42E+00	3.42E+00
V99	1.32E+01	1.32E+01
V100	1.33E+00	1.33E+00
