Samples	ID83A	ID83B
V1	2.33E+00	2.33E+00
V2	8.19E+00	8.19E+00
V3	1.82E+01	1.82E+01
V4	2.91E+01	2.91E+01
V5	3.71E+01	3.71E+01
V6	2.41E+01	2.41E+01
V7	3.21E+01	3.21E+01
V8	2.08E+01	2.08E+01
V9	4.39E+01	4.39E+01
V10	3.14E+01	3.14E+01
V11	1.88E+01	1.88E+01
V12	3.37E+01	3.37E+01
V13	1.17E+01	1.17E+01
V14	9.55E+00	9.55E+00
V15	8.83E+00	8.83E+00
V16	6.61E+00	6.61E+00
V17	1.48E+01	1.48E+01
V18	7.01E+00	7.01E+00
V19	2.38E+01	2.38E+01
V20	8.36E+00	8.36E+00
V21	6.49E+00	6.49E+00
V22	2.97E+01	2.97E+01
V23	3.81E+01	3.81E+01
V24	2.52E+01	2.52E+01
V25	2.72E+00	2.72E+00
V26	3.24E+01	3.24E+01
V27	1.14E+01	1.14E+01
V28	8.58E+00	8.58E+00
V29	2.36E+01	2.36E+01
V30	3.24E+01	3.24E+01
V31	5.45E+00	5.45E+00
V32	1.11E+01	1.11E+01
V33	2.62E+01	2.62E+01
V34	5.91E+00	5.91E+00
V35	1.54E+01	1.54E+01
V36	3.96E+01	3.96E+01
V37	5.38E+01	5.38E+01
V38	3.28E+01	3.28E+01
V39	5.68E+01	5.68E+01
V40	6.41E+00	6.41E+00
V41	5.28E+01	5.28E+01
V42	1.15E+00	1.15E+00
V43	8.06E+01	8.06E+01
V44	1.25E+01	1.25E+01
V45	1.11E+01	1.11E+01
V46	2.57E+00	2.56E+00
V47	2.96E+01	2.96E+01
V48	2.48E+01	2.48E+01
V49	2.84E+01	2.84E+01
V50	2.72E+01	2.72E+01
V51	1.20E+01	1.20E+01
V52	7.09E+00	7.09E+00
V53	1.15E+01	1.15E+01
V54	1.17E+01	1.17E+01
V55	1.95E+01	1.95E+01
V56	3.10E+01	3.10E+01
V57	1.81E+01	1.81E+01
V58	1.96E+01	1.96E+01
V59	9.36E+00	9.36E+00
V60	6.51E+00	6.51E+00
V61	4.91E+01	4.91E+01
V62	5.67E+01	5.67E+01
V63	3.57E+01	3.57E+01
V64	4.78E+00	4.78E+00
V65	3.05E+01	3.05E+01
V66	6.27E+00	6.27E+00
V67	3.64E+01	3.64E+01
V68	1.13E+01	1.13E+01
V69	4.27E+01	4.27E+01
V70	5.69E+00	5.69E+00
V71	3.29E+01	3.29E+01
V72	3.18E+00	3.18E+00
V73	5.56E+01	5.56E+01
V74	1.34E+01	1.34E+01
V75	3.15E+01	3.15E+01
V76	1.72E+01	1.72E+01
V77	1.01E+01	1.01E+01
V78	1.67E+01	1.67E+01
V79	1.10E+01	1.10E+01
V80	1.16E+01	1.16E+01
V81	2.09E+00	2.09E+00
V82	4.35E+00	4.35E+00
V83	3.87E+01	3.87E+01
V84	8.19E+00	8.19E+00
V85	1.79E+01	1.79E+01
V86	4.38E+00	4.38E+00
V87	2.65E+01	2.65E+01
V88	3.45E+01	3.45E+01
V89	1.69E+00	1.69E+00
V90	4.05E+00	4.05E+00
V91	7.07E+00	7.07E+00
V92	2.16E+01	2.16E+01
V93	3.71E+01	3.71E+01
V94	1.48E+01	1.48E+01
V95	4.32E+00	4.32E+00
V96	9.02E+00	9.02E+00
V97	4.35E+01	4.35E+01
V98	2.53E+01	2.53E+01
V99	1.03E+01	1.03E+01
V100	1.34E+00	1.34E+00
