Samples	ID83A	ID83B
V1	0	137
V2	110	36
V3	240	0
V4	393	162
V5	77	638
V6	126	55
V7	419	38
V8	170	41
V9	313	35
V10	191	29
V11	187	27
V12	247	72
V13	61	23
V14	116	1
V15	0	268
V16	26	62
V17	0	468
V18	103	8
V19	204	91
V20	157	61
V21	40	19
V22	87	321
V23	412	141
V24	277	446
V25	52	52
V26	169	177
V27	87	15
V28	0	272
V29	307	0
V30	179	75
V31	0	110
V32	198	0
V33	441	0
V34	119	33
V35	0	386
V36	658	56
V37	418	175
V38	224	62
V39	396	176
V40	66	0
V41	206	225
V42	0	472
V43	778	174
V44	233	0
V45	0	209
V46	31	7
V47	358	2
V48	95	435
V49	388	0
V50	373	0
V51	24	105
V52	108	11
V53	0	185
V54	187	26
V55	85	194
V56	119	188
V57	197	0
V58	115	57
V59	171	67
V60	0	194
V61	47	375
V62	443	29
V63	278	50
V64	0	236
V65	517	37
V66	84	0
V67	473	181
V68	97	23
V69	325	82
V70	2	155
V71	173	183
V72	0	150
V73	288	53
V74	0	474
V75	278	19
V76	319	0
V77	27	202
V78	327	52
V79	171	5
V80	109	30
V81	0	100
V82	46	41
V83	237	52
V84	0	218
V85	250	116
V86	0	83
V87	428	9
V88	207	44
V89	0	140
V90	0	250
V91	154	0
V92	125	88
V93	194	40
V94	137	28
V95	43	49
V96	5	253
V97	228	111
V98	378	0
V99	188	0
V100	0	25
