Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V1	30	3	24	2	0	4	1	5	7	0	0	0	14	6	0
V2	0	0	1	4	3	36	36	3	0	0	0	4	0	0	26
V3	30	189	7	9	55	0	4	35	0	19	0	0	0	0	0
V4	10	5	3	22	0	0	0	0	18	4	0	0	0	0	0
V5	0	17	16	1	44	9	14	54	0	74	0	15	0	0	9
V6	0	25	0	0	40	0	0	11	7	63	0	38	0	0	0
V7	1	2	0	15	5	28	20	0	27	0	0	17	14	10	0
V8	16	0	31	0	107	32	11	39	32	14	0	40	19	0	32
V9	0	28	14	17	10	16	50	0	0	4	0	25	0	0	26
V10	14	28	14	29	0	0	3	0	0	6	0	3	5	0	0
V11	0	5	2	0	11	5	2	48	26	0	0	5	0	1	0
V12	14	6	100	15	1	7	16	0	0	0	0	0	12	0	3
V13	0	31	0	38	37	18	2	13	82	11	0	0	0	0	4
V14	37	13	8	46	0	1	0	0	3	8	2	2	0	0	0
V15	34	17	0	5	14	7	5	1	0	9	0	16	0	0	6
V16	0	34	0	22	7	8	4	4	0	8	0	0	0	0	2
V17	158	44	28	0	33	0	0	31	0	8	0	16	42	39	0
V18	5	0	3	1	0	22	7	2	0	0	0	0	0	0	15
V19	176	13	18	3	0	2	8	12	0	0	0	9	72	3	12
V20	5	19	3	0	8	0	15	7	39	0	7	12	0	32	0
V21	18	128	85	67	0	0	0	0	8	23	41	0	0	12	0
V22	180	43	0	224	48	14	26	45	0	42	0	0	14	0	0
V23	4	131	4	2	12	2	0	18	0	0	69	6	4	0	0
V24	0	83	29	241	0	0	8	0	44	0	54	0	0	0	11
V25	203	0	10	5	92	0	22	104	0	78	0	75	25	0	0
V26	50	4	181	63	28	6	0	12	0	0	3	17	0	11	5
V27	19	40	0	109	107	0	0	0	0	53	26	11	42	0	0
V28	22	389	0	0	65	14	9	22	0	53	0	0	13	0	2
V29	133	9	15	28	14	0	7	0	1	7	3	0	13	1	0
V30	6	50	2	201	68	219	77	4	0	0	0	27	0	0	0
V31	21	163	0	108	66	0	0	51	121	91	53	23	0	0	0
V32	37	13	3	54	1	0	1	2	14	2	8	5	0	0	0
V33	5	0	82	8	0	9	11	1	26	9	2	0	0	10	0
V34	96	103	80	0	16	37	14	6	0	19	6	0	29	0	0
V35	4	9	12	32	37	1	4	8	0	0	0	34	0	15	11
V36	35	13	5	1	7	1	0	3	0	0	0	8	8	0	4
V37	13	34	1	0	1	1	3	1	0	0	0	0	0	0	2
V38	13	1	420	12	6	0	1	9	0	7	0	18	0	0	0
V39	419	94	52	0	0	9	15	65	0	52	0	37	8	0	5
V40	3	0	90	34	0	103	35	3	0	0	0	7	0	0	52
V41	73	23	0	1	1	4	0	1	0	0	0	5	0	0	4
V42	5	72	0	0	59	35	7	48	137	14	44	64	0	1	0
V43	96	2	2	0	3	1	1	10	0	1	0	0	9	0	0
V44	60	0	11	0	25	7	0	11	11	1	0	0	25	20	0
V45	5	79	185	0	1	43	96	10	0	0	16	6	0	6	0
V46	39	0	121	5	7	0	5	0	0	0	12	0	15	4	15
V47	52	35	55	4	1	14	3	0	0	0	21	0	0	0	0
V48	66	138	1	16	35	20	13	48	0	0	56	0	2	0	0
V49	18	0	19	44	30	5	1	8	3	0	44	14	0	1	0
V50	19	28	0	0	54	0	2	20	40	23	0	1	0	31	0
V51	0	21	77	5	15	20	0	1	0	5	3	2	0	8	2
V52	63	25	59	0	45	0	0	7	0	2	7	0	33	12	0
V53	17	35	31	6	23	0	0	6	0	17	19	17	0	5	0
V54	9	61	8	56	0	3	0	0	68	6	53	0	0	15	0
V55	8	0	3	6	4	0	1	5	0	7	1	0	0	0	0
V56	3	56	226	3	15	6	51	34	0	16	0	6	0	0	1
V57	43	32	4	0	1	1	1	0	0	0	15	0	21	6	0
V58	15	60	69	20	1	37	25	16	10	2	0	0	16	0	28
V59	10	54	40	14	41	6	0	0	0	2	8	0	0	7	0
V60	65	0	13	60	12	68	52	18	0	12	5	62	0	18	0
V61	45	37	45	0	6	64	21	10	51	0	0	34	0	5	0
V62	0	208	32	0	1	33	18	0	63	7	95	2	2	0	0
V63	7	16	10	6	0	0	0	0	6	6	3	0	0	3	0
V64	60	46	0	3	3	56	20	0	0	0	9	0	0	0	30
V65	1	95	1	41	2	29	9	9	0	1	0	0	0	0	0
V66	60	0	3	88	32	30	76	20	12	12	17	0	0	5	0
V67	0	29	147	0	34	29	19	2	0	0	13	51	0	0	18
V68	7	32	17	6	63	4	2	66	0	49	0	2	0	0	10
V69	128	38	5	24	16	9	19	36	19	0	0	14	0	25	0
V70	2	9	0	0	2	0	1	4	0	8	0	1	0	0	3
V71	203	13	12	148	15	17	17	3	33	11	10	38	0	0	0
V72	12	59	13	0	1	51	32	0	6	0	0	0	0	0	23
V73	2	99	42	21	20	28	53	30	0	0	34	7	0	0	0
V74	236	109	9	8	32	9	17	14	0	14	17	0	16	0	0
V75	80	131	1	116	56	6	0	43	0	16	38	35	2	0	5
V76	0	0	0	3	0	14	5	1	0	1	0	0	0	0	9
V77	21	11	11	30	42	0	0	0	23	50	0	0	2	11	4
V78	70	17	41	1	0	0	0	18	0	0	8	0	0	0	0
V79	4	79	0	8	0	6	5	0	0	0	24	0	0	5	4
V80	0	0	7	191	24	0	0	1	79	21	29	0	0	0	0
V81	10	27	108	29	0	0	0	0	0	9	0	0	0	24	0
V82	192	25	4	95	3	1	0	0	0	0	0	0	33	0	0
V83	81	3	0	404	0	23	78	0	0	22	0	28	0	0	22
V84	9	51	3	6	7	15	48	9	15	0	6	1	0	0	1
V85	31	26	19	7	0	0	16	2	0	0	23	1	0	10	15
V86	0	1	5	0	1	1	1	0	32	9	2	0	0	6	0
V87	0	3	26	8	0	0	3	0	0	1	0	2	4	30	0
V88	21	0	16	10	0	11	11	0	0	20	0	0	0	0	4
V89	14	29	1	37	17	2	15	0	0	26	0	2	2	0	0
V90	227	0	9	5	11	4	1	0	0	4	0	13	42	0	11
V91	108	57	203	8	0	11	3	0	0	0	0	0	21	4	4
V92	12	140	11	7	5	0	0	5	16	0	0	0	0	7	0
V93	0	20	12	17	18	4	9	2	0	6	12	3	0	0	0
V94	37	75	101	40	17	3	0	7	7	1	0	0	0	20	0
V95	8	47	3	4	3	12	3	0	0	0	20	0	0	0	0
V96	17	8	172	9	2	22	9	0	29	1	2	0	0	0	0
V97	224	0	0	17	7	19	12	7	20	0	0	3	28	0	0
V98	13	37	44	2	1	4	3	0	0	1	0	1	0	4	0
V99	23	266	0	99	0	0	0	0	13	25	46	0	0	25	0
V100	398	23	0	9	13	23	33	0	0	0	0	0	43	6	3
