NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	45.411	16.169	10.853	9.623	0.081	0.993	50000.0
2	43.539	16.32	10.064	9.669	0.089	0.992	80000.0
3	45.304	16.159	10.857	9.619	0.081	0.993	70000.0
4	47.068	17.472	11.177	10.438	0.088	0.992	40000.0
5	43.085	15.595	10.245	9.142	0.083	0.994	70000.0
6	44.669	16.176	10.576	9.532	0.08	0.993	50000.0
7	43.708	16.221	10.392	9.646	0.083	0.992	90000.0
8	42.08	15.082	10.296	9.179	0.08	0.993	30000.0
9	39.437	14.052	9.371	8.365	0.081	0.994	50000.0
10	43.646	15.792	10.505	9.454	0.084	0.993	70000.0
