Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
V1	0	85	138	18	20	0	0	3	5	0	18	0	20	0	21	0
V2	108	6	12	8	4	4	18	18	17	9	0	9	0	0	1	1
V3	13	64	0	11	36	25	4	22	13	12	10	21	15	0	0	19
V4	571	3	13	0	0	8	216	0	0	16	0	0	44	0	0	0
V5	184	216	0	11	30	0	107	3	4	5	18	13	29	25	0	0
V6	13	5	141	0	33	0	6	0	0	0	0	1	4	46	11	0
V7	3	82	32	2	41	0	0	0	0	3	28	4	1	4	13	25
V8	0	50	0	67	0	49	1	72	17	37	2	3	0	0	4	0
V9	23	13	24	20	1	55	7	3	8	17	17	9	7	5	0	1
V10	56	0	94	0	14	4	26	0	0	0	15	11	3	17	0	3
V11	31	3	12	5	83	0	0	0	0	0	2	0	102	88	0	0
V12	0	3	18	46	12	0	0	58	40	6	3	8	15	9	17	0
V13	203	73	7	0	3	1	38	0	2	5	1	0	18	1	0	0
V14	29	16	0	25	5	29	1	20	30	35	1	9	13	0	0	0
V15	0	3	0	1	19	0	0	5	3	0	8	0	6	2	4	0
V16	102	0	5	9	29	0	9	17	29	4	4	0	4	7	1	0
V17	1	1	31	40	10	100	4	15	19	72	16	12	0	16	12	0
V18	1	0	0	0	2	3	1	0	0	0	6	30	0	0	0	0
V19	24	4	55	36	3	19	3	5	11	0	0	4	0	7	0	0
V20	2	39	114	95	15	18	3	30	41	12	0	15	2	3	55	0
V21	0	121	0	50	19	144	0	32	0	49	2	0	4	7	33	0
V22	113	50	50	6	25	0	33	4	9	12	60	10	40	0	0	0
V23	35	1	226	116	0	84	17	25	51	9	1	16	0	0	24	0
V24	3	16	11	5	28	0	1	3	0	0	32	0	3	0	18	14
V25	10	42	53	72	90	29	3	44	37	2	28	32	6	0	0	0
V26	12	31	22	4	39	45	10	8	15	0	0	17	28	9	28	6
V27	20	96	0	23	0	0	24	24	32	1	0	0	26	0	0	0
V28	55	2	41	16	0	0	4	1	8	1	0	0	0	0	0	4
V29	0	0	100	29	141	133	3	24	14	4	23	37	54	0	41	3
V30	12	13	24	58	27	14	4	249	59	0	0	56	12	0	8	6
V31	60	12	1	18	0	0	14	3	1	0	0	0	0	0	12	0
V32	4	0	120	1	50	0	2	0	2	0	8	0	0	6	2	0
V33	114	23	19	2	0	44	19	13	52	21	0	12	10	14	0	0
V34	26	120	0	67	2	2	36	46	36	8	0	0	0	0	0	5
V35	124	39	9	222	14	90	72	28	142	48	17	25	0	12	0	0
V36	0	0	23	4	6	0	0	1	1	4	8	5	0	4	9	0
V37	0	240	115	14	8	39	4	0	8	45	0	34	0	31	104	45
V38	1	60	1	13	21	4	0	0	1	1	30	0	0	4	0	15
V39	1	0	135	0	6	20	0	0	2	14	0	1	0	15	1	0
V40	6	67	30	0	36	19	1	0	0	15	0	3	4	40	0	2
V41	124	20	23	45	1	5	144	18	15	28	0	8	0	0	0	0
V42	2	1	14	0	41	0	5	0	0	3	0	5	33	19	17	0
V43	0	5	7	0	3	28	0	0	0	20	3	6	22	0	22	0
V44	24	9	58	17	11	25	11	21	15	1	16	7	11	18	0	0
V45	69	25	7	10	22	134	24	1	8	21	3	51	0	0	0	15
V46	11	3	34	23	6	52	7	13	7	23	0	73	3	0	0	0
V47	61	0	46	0	20	17	50	0	0	18	17	52	9	29	5	0
V48	36	1	65	32	0	37	36	21	20	39	6	40	0	14	0	0
V49	54	0	165	1	107	0	20	6	12	2	49	0	47	23	25	0
V50	115	22	30	0	18	70	25	0	1	54	40	85	11	16	0	8
V51	0	111	23	4	19	8	1	0	3	0	49	0	0	72	0	24
V52	20	73	23	29	19	0	5	11	25	2	19	0	20	5	0	31
V53	145	10	4	1	0	9	19	0	0	10	0	9	4	6	0	3
V54	6	2	22	12	8	12	1	12	9	0	1	0	0	0	8	0
V55	9	362	2	13	0	0	10	18	7	1	23	0	25	0	0	26
V56	33	99	15	26	17	4	79	26	4	0	44	0	0	43	0	38
V57	10	11	0	57	0	43	5	21	15	6	0	13	0	0	0	2
V58	36	213	26	239	1	1	11	52	49	0	8	4	10	0	6	0
V59	5	11	84	16	16	0	2	4	8	0	0	0	5	3	0	0
V60	82	98	12	11	159	0	21	7	21	5	81	0	41	0	1	0
V61	0	47	106	125	14	0	0	41	35	0	0	0	29	17	19	25
V62	0	21	2	13	3	0	2	3	6	2	0	0	5	6	11	0
V63	152	21	1	123	82	6	58	117	57	6	53	0	7	0	0	0
V64	2	51	7	1	25	68	4	0	0	16	11	0	0	27	9	0
V65	144	84	0	62	73	35	45	9	13	47	28	43	14	17	19	0
V66	0	0	120	2	0	1	0	0	0	1	3	0	5	0	4	0
V67	0	7	5	0	51	151	4	0	0	35	15	30	61	84	0	0
V68	27	1	28	51	0	0	6	30	25	0	0	0	0	0	14	0
V69	0	347	0	108	43	36	4	49	32	18	17	45	0	0	0	125
V70	55	22	0	8	5	0	13	4	3	0	4	1	7	3	1	11
V71	12	12	3	30	4	29	8	0	6	20	0	0	2	0	0	0
V72	14	2	0	5	30	6	8	0	1	9	0	7	12	27	0	0
V73	27	12	24	27	165	0	17	2	6	8	19	0	54	9	19	8
V74	92	70	7	11	3	3	59	1	6	6	0	5	9	0	0	0
V75	24	68	23	13	5	3	24	8	27	11	3	4	0	0	5	0
V76	65	8	14	0	7	30	44	0	0	9	0	15	0	8	1	0
V77	73	0	0	8	35	13	89	6	14	18	17	10	15	16	0	0
V78	48	0	64	21	0	42	25	7	11	23	3	7	5	0	24	0
V79	240	11	1	35	66	31	21	4	32	44	0	13	0	17	0	0
V80	5	89	0	45	6	5	1	27	33	0	2	3	0	0	13	0
V81	1	21	101	136	49	7	0	22	82	2	6	0	26	46	2	0
V82	0	3	94	10	12	17	1	6	3	14	13	36	6	0	0	0
V83	8	0	0	12	37	4	0	10	4	1	29	0	5	15	11	0
V84	0	34	0	2	11	0	0	7	10	0	6	1	3	16	0	0
V85	140	19	2	1	33	0	225	0	0	19	13	4	42	0	0	0
V86	0	1	4	50	0	0	1	31	23	0	0	0	1	0	0	0
V87	50	115	0	0	0	1	4	0	0	2	0	0	0	1	6	19
V88	8	0	13	37	6	0	17	15	19	0	20	0	1	0	7	2
V89	4	38	177	39	10	37	1	38	9	6	2	3	0	2	39	0
V90	9	37	36	0	114	0	3	0	0	1	20	0	34	87	9	15
V91	9	0	110	8	74	28	4	14	10	8	15	22	0	0	27	9
V92	82	25	34	5	3	0	28	0	4	16	0	0	5	0	29	0
V93	30	2	5	44	30	38	2	0	1	49	0	30	0	12	0	0
V94	50	0	11	0	0	9	10	0	0	2	0	3	5	0	2	0
V95	0	2	1	15	10	86	1	3	4	50	0	37	18	0	3	0
V96	37	54	146	2	0	0	5	0	1	0	0	0	9	0	0	0
V97	21	38	6	6	121	24	9	1	10	9	88	16	0	29	0	1
V98	10	74	53	0	7	0	2	0	0	1	3	0	5	1	22	0
V99	15	127	106	15	19	39	4	1	3	4	33	7	0	4	0	0
V100	0	66	28	88	2	5	0	8	31	7	0	14	0	0	0	25
