NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	68.853	23.291	15.529	15.521	0.109	0.983	50000.0
2	67.17	22.451	15.536	15.285	0.105	0.984	30000.0
3	67.692	22.721	15.376	15.242	0.106	0.984	40000.0
4	70.455	23.769	16.431	16.218	0.113	0.982	50000.0
5	70.023	23.543	16.117	16.033	0.109	0.982	60000.0
6	69.666	23.588	16.236	16.18	0.113	0.98	50000.0
7	70.609	23.397	16.653	16.126	0.11	0.982	60000.0
8	70.714	24.17	16.633	17.055	0.111	0.979	60000.0
9	70.288	24.007	16.563	16.897	0.112	0.979	30000.0
10	66.766	22.59	15.439	15.514	0.105	0.983	90000.0
