MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	0.0002785053383149716	0.0022271657283852164	0.3391097605228424	0.0017904273079352607	5.6051938572992686e-46	0.012896871287375688	0.29567994847893714	0.00430618591141183
1:Del:C:1	0.00011969059667933379	0.0005503693915670738	0.1556721068918705	1.5089570553072918e-07	0.0005107763038040503	0.013417298429340007	0.003612224943935871	0.008458373133635178
1:Del:C:2	0.00040643606735102367	0.0002175107365474105	0.0011183120019268244	0.00017709376115817576	7.907638632786984e-09	0.001770658034365624	0.0034660790814086797	0.004165250819642097
1:Del:C:3	0.0005636379035422578	0.0	0.014713368192315102	0.0018896505361453819	0.001807889190968126	0.0069434662640560415	0.009152594860643149	0.004187168565113098
1:Del:C:4	0.0006487211678177119	0.0	0.0063126494875177745	0.0210093020927161	0.0099188845138997	0.04103197758086026	0.040077198296785355	0.000675495620816946
1:Del:C:5	0.004203679808415473	0.0002069902344373986	0.0005898434901610017	0.003028790431562811	0.010446328949183226	0.003301692008972168	0.0033022870105924086	0.001893897372065112
1:Del:T:0	0.0020225605636864	6.611925782635808e-05	0.07753371074795723	0.00046816241228953004	0.0029460599180310965	0.03463358259759843	0.09431017395108944	0.028503953851759432
1:Del:T:1	0.003112855460494757	0.0004158149589784443	0.060397778451442716	0.0008012400940060616	0.0	0.018616413325071336	0.011138189456642068	0.003145662194583565
1:Del:T:2	0.001832577562959159	0.05623842086642981	0.10472652986645699	0.001489464973565191	0.007529935264528831	0.05887295939028263	0.021167953300755472	0.0026576591772027314
1:Del:T:3	0.007589954743161797	0.0034477897541364657	0.07034332863986492	0.005027476511895656	0.0026631330605596305	0.03961381603730842	0.14487478211522103	0.0
1:Del:T:4	0.0	0.000524363731892663	0.07416938692331314	0.0004035040969029069	0.04266245625913143	0.041829333757050335	0.0775059174746275	2.61703949178127e-08
1:Del:T:5	2.1409183403875433e-08	6.171514250752353e-08	0.00045658388347931124	1.8830378962775284e-07	0.8429370760917664	0.0007539422944660146	1.1834091253604129e-06	3.2148188751079942e-06
1:Ins:C:0	4.811318508668821e-06	9.13870721319654e-09	3.4601489245034144e-05	4.798444663833834e-09	0.00010015483870233766	5.2460471522408625e-09	9.379777569478165e-05	0.002316329558379948
1:Ins:C:1	4.799054754442977e-05	0.00027035606326535343	7.031322013517638e-09	0.0003886182829015539	9.219045047359486e-08	0.0004815337449628032	0.0006362976884574323	0.003477811370976269
1:Ins:C:2	5.943475032488266e-05	1.6886795606296802e-08	0.0011135162436403333	1.9782322624450898e-08	2.506446108441196e-08	3.717877703479644e-08	0.0006627330476467463	0.0023269005119800567
1:Ins:C:3	2.4933264697324375e-07	0.5873393744230271	0.007026060644091103	1.811474987789585e-07	2.742032780389536e-07	0.03386846147477627	0.0028828232666626265	4.474795559872291e-07
1:Ins:C:4	0.0011538118531461805	0.000789717584848404	8.920157945624396e-10	0.00016494695155415683	0.0013199505039665383	8.407790785948902e-46	0.0007817205329232024	0.00011102997232228517
1:Ins:C:5	0.023887539096176625	0.0	0.0004831409371746531	0.0011581248545553535	0.0032503802503924817	0.006564088119193912	0.002490893019421492	8.321258064825088e-06
1:Ins:T:0	0.001686613380388735	0.0009163457609247417	0.013002113904803991	0.0	0.0021653353731380777	0.005036567710340023	0.005652972834650427	0.00408868039958179
1:Ins:T:1	0.0005623414912406588	8.347692346433178e-06	0.0038255826664681082	0.034949757345020774	0.0008841143222525716	0.059197534481063484	0.021227669270206206	0.005565286584345586
1:Ins:T:2	0.0014898305176757275	0.004998347908258438	0.002749468524416443	5.315006128512323e-05	4.1043496457859875e-05	0.0022426993236877024	0.0018466645386070013	0.0
