Samples	ID83A	ID83B
V1	6.25E+00	6.25E+00
V2	3.33E+01	3.33E+01
V3	1.09E+01	1.09E+01
V4	7.43E+00	7.43E+00
V5	1.15E+01	1.15E+01
V6	1.04E+01	1.04E+01
V7	7.47E+00	7.47E+00
V8	1.12E+01	1.12E+01
V9	3.72E+00	3.72E+00
V10	1.02E+01	1.02E+01
V11	2.13E+01	2.13E+01
V12	1.33E+01	1.33E+01
V13	2.45E+01	2.45E+01
V14	1.92E+01	1.92E+01
V15	8.38E+00	8.38E+00
V16	7.68E+00	7.68E+00
V17	7.77E+01	7.77E+01
V18	1.79E+01	1.79E+01
V19	6.04E+00	6.04E+00
V20	4.59E+00	4.59E+00
V21	1.85E+01	1.85E+01
V22	1.77E+01	1.77E+01
V23	3.49E+01	3.49E+01
V24	1.13E+01	1.13E+01
V25	4.87E+00	4.87E+00
V26	2.04E+01	2.04E+01
V27	8.77E+00	8.77E+00
V28	3.67E+00	3.67E+00
V29	3.95E+01	3.95E+01
V30	3.33E+01	3.33E+01
V31	1.04E+01	1.04E+01
V32	7.42E+00	7.42E+00
V33	1.50E+01	1.50E+01
V34	1.57E+01	1.57E+01
V35	1.24E+01	1.24E+01
V36	1.90E+01	1.90E+01
V37	1.73E+01	1.73E+01
V38	4.39E+00	4.39E+00
V39	4.70E+00	4.70E+00
V40	3.04E+01	3.04E+01
V41	1.27E+01	1.27E+01
V42	9.93E+00	9.93E+00
V43	8.33E+00	8.33E+00
V44	8.88E+00	8.88E+00
V45	1.37E+01	1.37E+01
V46	7.31E+00	7.31E+00
V47	2.31E+01	2.31E+01
V48	4.09E+01	4.09E+01
V49	2.19E+01	2.19E+01
V50	1.55E+01	1.55E+01
V51	1.74E+01	1.74E+01
V52	1.97E+01	1.97E+01
V53	4.12E+00	4.12E+00
V54	4.01E+00	4.01E+00
V55	1.96E+01	1.96E+01
V56	2.22E+01	2.22E+01
V57	4.66E+01	4.66E+01
V58	9.67E+00	9.67E+00
V59	5.78E+00	5.78E+00
V60	2.79E+01	2.79E+01
V61	1.66E+01	1.66E+01
V62	1.31E+00	1.31E+00
V63	1.26E+01	1.26E+01
V64	1.18E+01	1.18E+01
V65	6.29E-01	6.29E-01
V66	3.00E+01	3.00E+01
V67	1.17E+01	1.17E+01
V68	2.36E+01	2.36E+01
V69	2.10E+00	2.10E+00
V70	2.36E+01	2.36E+01
V71	2.03E+01	2.03E+01
V72	2.90E+01	2.90E+01
V73	2.45E+01	2.45E+01
V74	2.01E+01	2.01E+01
V75	1.52E+00	1.52E+00
V76	6.99E+00	6.99E+00
V77	2.03E+01	2.03E+01
V78	6.13E+01	6.13E+01
V79	1.38E+00	1.38E+00
V80	4.46E+01	4.46E+01
V81	1.91E+01	1.91E+01
V82	8.12E+01	8.12E+01
V83	6.81E+01	6.81E+01
V84	4.82E+00	4.82E+00
V85	3.68E+01	3.68E+01
V86	2.38E+01	2.38E+01
V87	4.08E+01	4.08E+01
V88	3.00E+01	3.00E+01
V89	2.16E+01	2.16E+01
V90	2.96E+01	2.96E+01
V91	1.50E+01	1.50E+01
V92	2.03E+01	2.02E+01
V93	3.91E+01	3.91E+01
V94	1.57E+01	1.57E+01
V95	9.89E+00	9.89E+00
V96	7.92E+00	7.92E+00
V97	1.76E+01	1.76E+01
V98	7.22E+00	7.22E+00
V99	1.64E+00	1.64E+00
V100	3.66E+01	3.66E+01
