Samples	ID1	ID2	ID8	ID9	ID83B	ID83C
V1	30	0	31	0	56	0
V2	0	55	0	0	201	0
V3	126	81	78	0	97	133
V4	52	17	0	67	49	0
V5	12	15	0	29	27	51
V6	0	0	0	51	0	0
V7	0	0	0	0	0	427
V8	18	0	72	174	53	0
V9	0	149	0	96	0	0
V10	0	0	318	231	0	0
V11	47	33	24	0	0	0
V12	0	0	0	0	148	348
V13	0	122	0	0	103	0
V14	71	0	416	85	43	115
V15	84	24	0	0	0	63
V16	27	0	0	25	0	101
V17	0	0	0	111	177	0
V18	0	0	90	0	142	232
V19	40	127	0	0	0	19
V20	241	0	300	0	106	0
V21	0	51	0	144	20	0
V22	43	61	202	0	212	64
V23	0	109	0	326	0	0
V24	0	25	88	0	0	0
V25	0	59	80	58	19	0
V26	0	132	155	0	251	44
V27	117	0	306	0	94	0
V28	0	0	0	469	0	118
V29	0	0	70	21	24	0
V30	32	160	0	0	222	0
V31	32	0	0	0	188	0
V32	45	144	0	307	72	0
V33	13	0	54	0	19	40
V34	16	71	0	0	0	52
V35	0	0	0	0	48	277
V36	46	178	211	0	0	0
V37	0	19	0	39	14	7
V38	0	164	0	0	201	27
V39	22	26	246	58	26	41
V40	213	211	0	0	0	54
V41	17	0	37	175	64	0
V42	87	37	0	0	69	92
V43	58	0	19	34	15	0
V44	45	167	136	0	50	0
V45	47	50	0	50	20	0
V46	30	0	0	20	0	0
V47	30	0	76	0	88	49
V48	61	47	0	120	0	93
V49	0	0	70	273	134	0
V50	160	0	77	69	0	67
V51	87	73	0	149	28	108
V52	328	230	0	0	0	0
V53	0	39	0	463	0	42
V54	24	24	55	190	19	0
V55	44	125	0	0	0	0
V56	35	20	0	43	0	0
V57	71	0	183	0	85	142
V58	68	68	0	135	15	0
V59	173	67	0	0	145	0
V60	0	0	90	0	0	427
V61	12	122	0	0	0	24
V62	0	102	123	0	58	55
V63	22	19	226	0	28	49
V64	44	15	0	0	0	18
V65	69	53	0	0	31	188
V66	0	57	0	92	193	0
V67	36	18	55	0	0	0
V68	225	90	0	246	75	0
V69	69	0	0	80	0	43
V70	21	185	0	0	0	108
V71	0	10	0	0	34	0
V72	86	0	0	37	26	0
V73	41	24	156	130	84	68
V74	28	17	0	0	121	23
V75	53	76	62	0	116	0
V76	0	72	0	559	0	169
V77	0	0	105	0	0	0
V78	5	0	17	0	18	17
V79	34	8	0	26	27	0
V80	44	47	55	0	120	59
V81	401	0	0	0	0	171
V82	118	0	182	0	174	110
V83	20	10	0	0	29	35
V84	90	0	86	0	0	120
V85	210	0	0	0	38	0
V86	29	0	0	241	0	21
V87	37	0	220	0	34	0
V88	12	0	65	0	0	123
V89	0	0	149	0	0	54
V90	0	0	0	163	0	173
V91	100	0	51	0	0	32
V92	0	0	0	0	453	0
V93	40	224	0	0	51	0
V94	35	0	43	41	114	0
V95	198	46	0	222	0	0
V96	0	18	56	127	0	28
V97	0	58	0	0	0	104
V98	0	9	0	0	46	13
V99	0	10	63	0	10	0
V100	11	22	0	0	10	70
