Samples	ID83A	ID83B	ID83C	ID83D	ID83E
X39d38c06.3779.4ca4.b103.1d096f93dae8..Panc.AdenoCA..DO51532	89	208	134	20	35
X3b526846.72d6.4e10.b7cd.8cdb45a92a1c..Panc.AdenoCA..DO34736	134	438	172	595	36
X3bfbc33d.804b.4bb3.97ac.97563d77b13d..Panc.AdenoCA..DO33376	99	308	124	16	27
X3c86ba21.7b11.4ec7.9d20.a2325197c676..Panc.AdenoCA..DO33042	74	100	175	22	21
X3e4d0e50.8cf4.4eb0.a00a.ccf0484ecc2f..Panc.AdenoCA..DO33984	56	179	81	45	12
X3ed783cf.2248.44a1.a2a2.d6b6519b91ef..Panc.AdenoCA..DO51495	55	105	200	203	13
X3fb8f017.576f.4901.b8bf.3a58e5d43de3..Panc.AdenoCA..DO35138	9	47	63	5	9
X3fba4880.cb7b.4ac5.ab5f.728614faa1ea..Panc.AdenoCA..DO49466	107	477	143	18	50
X40378b7a.a65d.4510.aaba.a34c4058fac7..Panc.AdenoCA..DO49424	161	321	179	44	34
X42f00950.09c9.461a.8423.d5b04a96af10..Panc.AdenoCA..DO51472	67	185	172	10	11
X441d2f21.b448.4fc8.8c54.9b85aca56237..Panc.AdenoCA..DO35126	208	205	113	17	61
X4652ae03.b096.42d0.bdfa.3f6281d4f023..Panc.AdenoCA..DO35236	179	275	289	25	28
X46e166fe.3b20.49ad.98db.42c854c61c93..Panc.AdenoCA..DO51470	159	135	130	11	18
X4a4e0397.8702.46ef.aaa8.3980f03a40bf..Panc.AdenoCA..DO51521	0	0	14	4	0
X4a88981e.e409.440f.9bf0.71ca1bab8b4e..Panc.AdenoCA..DO51534	72	325	152	5	38
X4aa7eabc.0419.4897.b7af.5dcccfd6ac2f..Panc.AdenoCA..DO51476	230	14	245	637	56
X4c027164.12de.456f.b933.6bc91f70b46f..Panc.AdenoCA..DO49478	85	188	190	18	21
X4c4aa1b1.fda3.4c5b.b588.68aa727500ad..Panc.AdenoCA..DO51543	132	299	206	22	50
X4cbe411b.b05e.46bd.bea8.126289a0866c..Panc.AdenoCA..DO49090	188	231	161	20	54
X4db9e471.0068.4ec6.9bcb.33ef5fdec33e..Panc.AdenoCA..DO32976	45	243	153	21	24
X51458c86.0fdd.470e.b059.1ffbffc92a7f..Panc.AdenoCA..DO34288	120	106	146	20	13
X5187e77d.f412.4303.8049.11d1aa1a0235..Panc.AdenoCA..DO49419	205	477	39	1154	21
X5255d645.d3d2.422e.8449.046cd21f4935..Panc.AdenoCA..DO34809	125	73	217	43	33
X52f43b72.15ea.40a0.a3b4.4bf22bc0bf25..Panc.AdenoCA..DO49427	72	159	135	14	6
X53534b3c.cd15.4d68.a9b1.6902bb234c45..Panc.AdenoCA..DO33552	352	655	4	995	114
X536dedba.46c4.4a21.b112.13c030b13069..Panc.AdenoCA..DO35442	6997	54	282	14	404
X53e6a756.bdcc.4217.afe7.27d776159544..Panc.AdenoCA..DO35360	24	90	324	136	25
X54195db3.94a9.4538.8bb8.9953d936acd4..Panc.AdenoCA..DO221544	53	261	248	899	73
X541f91bd.7e9d.4348.9e78.45b948d8967e..Panc.AdenoCA..DO34961	41	371	240	68	22
X5650dc4e.8bce.4716.9199.cd5750d7a888..Panc.AdenoCA..DO35496	43	124	143	40	27
X569ff1b4.de87.4309.8484.80549aaf9485..Panc.AdenoCA..DO35200	10	23	54	5	2
X5b41e033.6df8.411e.a13b.59eeb8afbf9b..Panc.AdenoCA..DO33000	221	372	185	39	23
X5d9ff58c.5702.48fc.a66a.d1276327fd49..Panc.AdenoCA..DO51520	138	439	371	89	85
X5f94cb62.4019.47ff.bf6a.eeda8e9e033c..Panc.AdenoCA..DO49129	117	198	144	30	38
X60aff7a0.4960.4ed1.922b.3233ccbfdba1..Panc.AdenoCA..DO34336	52	193	131	12	38
X60c33e32.7e19.4e71.b075.a63fcf27e660..Panc.AdenoCA..DO49454	41	241	141	24	19
X60e78c80.41a5.456a.9a81.9007d18fd72c..Panc.AdenoCA..DO49137	91	285	185	39	37
X6297aa77.37a0.4f46.987b.32bd8653c0c2..Panc.AdenoCA..DO51490	83	231	123	39	54
X631ab9d0.5400.400c.b0bc.c3e576bcfe06..Panc.AdenoCA..DO49433	66	180	124	11	20
X644c669b.937b.4adc.81b9.6a1811cba9da..Panc.AdenoCA..DO49484	104	198	131	13	33
X654dba9f.cfe5.4121.97c7.868613cdef53..Panc.AdenoCA..DO33077	23	142	225	23	7
X65d2dbc3.a163.4696.b246.47a430e66572..Panc.AdenoCA..DO51514	410	260	172	31	49
X66290cc6.1f1f.4a0b.83d1.423952da4840..Panc.AdenoCA..DO49481	48	85	102	11	12
X6867811f.ac89.47da.b5dc.1270033c36e7..Panc.AdenoCA..DO49454	59	256	142	26	20
X68ba1105.569a.4209.9b45.0e2d64931806..Panc.AdenoCA..DO33152	211	302	131	23	46
X6ad44218.d34e.4126.bf56.1be2140cd3fb..Panc.AdenoCA..DO51484	47	254	113	26	66
X6b20f942.7b89.497c.8a2e.ccce74d20ca9..Panc.AdenoCA..DO49421	89	303	156	32	28
X6bdf00f6.670f.466e.87fb.e853e41f000e..Panc.AdenoCA..DO34504	29	45	203	98	4
X6fc0cb07.9713.4355.8543.f85d1c5505c2..Panc.AdenoCA..DO51529	389	754	236	33	54
X70dd8453.11d3.4105.a8d0.6a755c52495d..Panc.AdenoCA..DO51540	109	182	151	12	41
X71ef8379.03a0.4b81.92c9.1ba666fe4d7a..Panc.AdenoCA..DO49127	80	179	122	13	39
X7266ec7b.4824.4b88.910e.e9bfb848d55f..Panc.AdenoCA..DO35290	277	119	193	14	31
X72a5e569.99d4.47bc.be1b.6296a5025080..Panc.AdenoCA..DO33264	218	400	149	17	66
X72f82fbd.9838.4082.b605.bc3d80226f16..Panc.AdenoCA..DO35116	312	449	479	70	124
X73058c80.607e.4b55.b112.8f8f6775d014..Panc.AdenoCA..DO51479	38	108	145	15	16
X7410c00d.ed0b.48dc.a4bf.eb76ac613980..Panc.AdenoCA..DO33400	124	263	223	62	72
X748d3ff3.8699.4519.8e0f.26b6a0581bff..Panc.AdenoCA..DO32833	49	135	84	21	19
X754d26af.f184.497c.856a.cd1ea7a5115c..Panc.AdenoCA..DO51546	27	61	144	33	33
X75cd90ef.e884.4812.bbf3.5a524d95147e..Panc.AdenoCA..DO51481	66	166	136	23	21
X75fac59c.3346.4c5a.bb9f.fb67fec8d13b..Panc.AdenoCA..DO34264	29	229	154	10	58
X78100212.65aa.4365.8b64.4b33f77732d5..Panc.AdenoCA..DO49113	157	401	181	27	56
X78103d9b.0b8a.431e.bb58.5c99fbea12e4..Panc.AdenoCA..DO51474	8255	9555	0	1354	2870
X7981bbf3.dceb.4d89.900c.555967e97921..Panc.AdenoCA..DO35118	0	161	0	0	5308
X7b318282.5df4.42bc.b1e0.0e4a66ba9204..Panc.AdenoCA..DO34720	42	130	88	19	32
X7c43c006.d917.4915.b304.65995b6c0d46..Panc.AdenoCA..DO51522	151	99	175	36	14
X7cb71498.6ada.43c6.912b.bad4f93cf580..Panc.AdenoCA..DO34905	938	261	0	1257	42
X7ccb9a4d.6f48.41c2.a630.27fde8c67d60..Panc.AdenoCA..DO34696	75	259	163	44	28
X7ccee959.1e87.4a39.b6b3.840ddcb94995..Panc.AdenoCA..DO51510	84	271	144	885	41
X7d04f401.3505.410c.8def.0348ecd8aae2..Panc.AdenoCA..DO51542	169	158	152	15	21
X7d7fff91.3f69.4123.b514.140ed3d9cd66..Panc.AdenoCA..DO51488	6	25	83	11	4
X7ef9fd9b.d349.4ec3.ab4d.1a1d11c0204b..Panc.AdenoCA..DO35098	29	122	91	19	34
X7f42e118.aab6.438a.9e84.e7451fe12d7e..Panc.AdenoCA..DO33168	208	177	173	21	45
X7f5fd36f.6e30.45ca.92a5.d8a8a8ee1bc2..Panc.AdenoCA..DO51468	69	249	132	38	50
X7fcd8af9.4d73.4c97.95cc.b30b09f21bb2..Panc.AdenoCA..DO32893	50	77	128	10	1
X81bc7f0c.865d.4801.a935.2ab04170df53..Panc.AdenoCA..DO35350	144	273	35	1266	50
X8282283d.247a.431d.9421.0fcc52f0a897..Panc.AdenoCA..DO221541	180	98	322	1310	9
X8454fe53.869d.41c8.b0c8.a7929d00eec3..Panc.AdenoCA..DO32900	238	245	430	141	39
X84a6ea88.eeb8.4060.a90c.e4abac013ad4..Panc.AdenoCA..DO32980	61	0	18	370	216
X88bc38ba.ad1d.431e.a67e.0a5a23678386..Panc.AdenoCA..DO49181	77	142	124	28	19
X88d5a8b2.daba.45ce.90bf.480fac85bf1d..Panc.AdenoCA..DO49168	111	221	111	65	31
X89195d56.1ef2.41df.b200.9f18e38f574a..Panc.AdenoCA..DO51507	61	145	139	26	34
X8be6b14d.286a.471b.a282.ab98bc6050c3..Panc.AdenoCA..DO51506	82	445	139	19	32
X8c233a11.3b2e.4273.bbe1.b5a5f5a351d5..Panc.AdenoCA..DO51477	56	163	120	18	31
X8d67c121.37d0.4fc0.a349.2c9452589d65..Panc.AdenoCA..DO34793	162	225	119	25	31
X9011cf17.0783.4f9d.b355.4f0fc1a2e78b..Panc.AdenoCA..DO51501	71	199	140	20	20
X9078333d.73d3.496a.9fc3.a94353b7e107..Panc.AdenoCA..DO51499	80	181	121	17	36
X90b3c237.29a4.48b3.90b3.9f2c0ccb5928..Panc.AdenoCA..DO49193	115	167	178	23	15
X91b6fd6b.547a.47e4.8ecb.a6f1826ccfd3..Panc.AdenoCA..DO35216	18	17	67	10	21
X92dc0e0c.842f.40de.9c39.486b491ea80a..Panc.AdenoCA..DO33600	141	306	156	30	38
X94652d14.2e4d.4f4a.a4f7.8df77df788c0..Panc.AdenoCA..DO51498	105	263	127	19	11
X95cc9620.7686.4805.a96c.cf8e659847c3..Panc.AdenoCA..DO51515	45	256	199	45	42
X96ba50eb.3c12.41ad.ac7b.d23b2001fe44..Panc.AdenoCA..DO51469	292	147	294	81	14
X96cca60e.17dc.44c3.90f7.1b57b0e08e5f..Panc.AdenoCA..DO35228	80	135	139	27	15
X97c46ede.b280.4344.8dbb.e860c6472239..Panc.AdenoCA..DO51504	26	152	142	24	13
X9c399826.087f.44b9.98c0.bd881646b0f4..Panc.AdenoCA..DO33472	98	193	127	17	31
X9c857452.c81d.4b9e.87a8.5b41f4394f7c..Panc.AdenoCA..DO34608	35	68	136	18	8
X9df57388.7de1.4c90.910e.ef63a246dff1..Panc.AdenoCA..DO49172	140	225	134	25	25
X9ebac79d.8b38.4469.837e.b834725fe6d5..Panc.AdenoCA..DO34640	149	213	185	49	65
X9ffe694e.b488.489e.bdbe.0800e505eec4..Panc.AdenoCA..DO49460	254	403	139	28	64
a2238b5f.0513.487a.9b1b.7bef85ebf336..Panc.AdenoCA..DO32878	145	148	121	27	28
a3210fd0.344c.468e.8ff2.2d0869a2fb75..Panc.AdenoCA..DO51497	87	212	174	24	59
a3edc9cc.f54a.4459.a5d0.097879c811e5..Panc.AdenoCA..DO49135	130	238	168	34	31
a492a32b.bf2f.4f8c.b06e.794a4baa2fe7..Panc.AdenoCA..DO49074	71	138	129	30	20
a5346247.3f30.470a.b4ab.732180786291..Panc.AdenoCA..DO33960	174	284	95	16	45
