NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	47.095	18.998	11.213	11.992	0.104	0.989	40000.0
2	47.81	19.202	11.412	11.879	0.097	0.991	60000.0
3	50.596	20.72	12.134	12.938	0.108	0.988	40000.0
4	48.602	19.573	11.527	12.323	0.104	0.989	40000.0
5	48.66	19.944	11.607	12.478	0.101	0.989	50000.0
6	52.462	21.177	12.367	12.946	0.104	0.989	40000.0
7	48.339	19.665	11.706	12.616	0.103	0.989	40000.0
8	53.161	21.718	12.968	13.815	0.108	0.987	90000.0
9	47.547	19.513	10.968	11.747	0.101	0.99	40000.0
10	51.033	20.655	12.354	13.009	0.105	0.988	60000.0
