MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
2:Ins:R:5	2.31E-05	1.25E-05	3.78E-05	0.00E+00	1.25E-05	2.29E-09	5.39E-05	9.23E-09	6.60E-05
3:Ins:R:0	1.68E-04	4.25E-04	2.87E-03	2.96E-04	5.71E-04	7.35E-05	3.83E-03	1.06E-03	1.44E-03
3:Ins:R:1	1.13E-05	3.45E-05	7.58E-05	8.09E-06	3.12E-05	1.52E-09	1.29E-04	1.17E-04	2.08E-04
3:Ins:R:2	1.68E-06	5.40E-06	6.25E-06	2.21E-10	2.58E-06	1.78E-07	4.13E-05	1.19E-08	4.31E-05
3:Ins:R:3	5.01E-06	1.02E-06	4.24E-08	0.00E+00	9.42E-06	7.87E-06	4.05E-08	3.06E-08	3.44E-05
3:Ins:R:4	4.51E-10	6.79E-09	3.99E-08	0.00E+00	4.48E-08	2.19E-10	2.37E-08	2.47E-08	1.73E-08
3:Ins:R:5	4.51E-10	6.79E-09	3.99E-08	0.00E+00	4.48E-08	2.19E-10	2.37E-08	2.47E-08	1.73E-08
4:Ins:R:0	5.50E-05	4.41E-04	2.69E-03	2.82E-04	7.03E-04	6.91E-05	3.82E-03	1.27E-03	1.81E-03
4:Ins:R:1	1.51E-05	5.00E-06	1.17E-04	3.87E-05	9.38E-05	1.65E-09	1.79E-04	7.32E-05	3.64E-05
4:Ins:R:2	1.94E-08	4.24E-06	2.38E-06	0.00E+00	3.69E-08	1.28E-09	9.98E-06	1.67E-05	3.97E-08
4:Ins:R:3	4.51E-10	3.51E-06	1.05E-06	0.00E+00	2.69E-08	8.83E-09	5.32E-08	3.40E-08	5.16E-05
4:Ins:R:4	3.71E-10	6.64E-09	2.94E-06	8.42E-09	7.77E-08	1.04E-09	5.04E-08	4.50E-08	7.37E-05
4:Ins:R:5	4.51E-10	6.79E-09	3.99E-08	0.00E+00	4.48E-08	2.19E-10	2.37E-08	2.47E-08	1.73E-08
5:Ins:R:0	7.69E-06	8.17E-04	5.21E-03	5.53E-04	1.34E-03	9.94E-05	8.70E-03	2.44E-03	2.82E-03
5:Ins:R:1	4.56E-10	8.93E-10	2.04E-05	2.19E-05	1.85E-08	1.81E-09	6.22E-05	8.78E-05	6.05E-05
5:Ins:R:2	3.91E-10	3.14E-06	2.07E-06	9.49E-11	3.11E-08	3.08E-09	1.09E-07	3.95E-08	3.76E-08
5:Ins:R:3	4.51E-10	6.79E-09	3.99E-08	0.00E+00	4.48E-08	2.19E-10	2.37E-08	2.47E-08	1.73E-08
5:Ins:R:4	4.51E-10	6.79E-09	3.99E-08	0.00E+00	4.48E-08	2.19E-10	2.37E-08	2.47E-08	1.73E-08
5:Ins:R:5	4.51E-10	6.79E-09	3.99E-08	0.00E+00	4.48E-08	2.19E-10	2.37E-08	2.47E-08	1.73E-08
2:Del:M:1	2.68E-04	4.75E-04	3.31E-03	0.00E+00	3.78E-03	4.93E-05	2.06E-03	1.39E-03	1.54E-03
3:Del:M:1	1.73E-05	3.79E-05	3.44E-04	2.49E-04	3.18E-04	4.00E-05	6.22E-04	9.47E-04	6.23E-04
3:Del:M:2	1.98E-04	2.71E-04	2.44E-03	2.97E-04	3.24E-03	5.99E-05	1.30E-03	1.22E-03	1.12E-03
4:Del:M:1	2.29E-05	1.14E-05	7.09E-04	2.32E-04	8.45E-04	1.56E-09	4.78E-04	9.37E-04	2.13E-04
4:Del:M:2	5.32E-05	1.08E-04	1.30E-03	1.97E-04	1.70E-03	1.07E-09	1.04E-03	7.67E-04	1.20E-03
4:Del:M:3	1.53E-04	1.07E-04	2.62E-03	2.79E-04	2.75E-03	7.98E-05	1.49E-03	8.36E-04	1.55E-03
5:Del:M:1	2.41E-05	5.04E-04	1.11E-03	1.84E-03	5.26E-04	4.47E-05	1.76E-03	7.26E-03	1.46E-03
5:Del:M:2	9.22E-06	5.08E-04	9.86E-04	2.40E-03	1.02E-04	7.40E-05	1.53E-03	4.07E-03	1.43E-03
5:Del:M:3	4.16E-05	2.13E-05	4.93E-04	2.16E-03	5.39E-04	7.66E-05	1.72E-03	2.63E-03	9.15E-04
5:Del:M:4	1.48E-05	1.96E-04	4.27E-04	9.99E-04	4.34E-04	7.76E-10	5.37E-04	1.25E-03	3.89E-04
5:Del:M:5	4.43E-05	2.30E-04	9.16E-04	1.39E-03	8.07E-04	5.50E-05	1.05E-03	9.66E-04	1.38E-03
