NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	78.533	27.867	19.89	18.271	0.169	0.973	30000.0
2	81.108	27.999	20.553	18.358	0.167	0.974	20000.0
3	81.315	28.178	20.417	18.417	0.169	0.975	20000.0
4	80.836	28.454	20.391	18.594	0.173	0.973	20000.0
5	79.143	27.617	20.207	18.333	0.164	0.974	30000.0
6	80.632	28.033	20.668	18.391	0.171	0.974	30000.0
7	79.689	27.507	20.188	17.82	0.163	0.976	20000.0
8	79.952	28.435	20.313	18.639	0.173	0.972	20000.0
9	82.976	29.145	21.548	19.33	0.175	0.972	30000.0
10	80.254	28.063	20.544	18.518	0.167	0.974	20000.0
