Samples	ID83A	ID83B	ID83C	ID83D
V1	1.86E+01	7.73E+00	1.70E+01	2.93E+01
V2	7.58E+00	1.19E+01	3.21E+00	1.42E+01
V3	2.13E+01	1.94E+00	4.95E+00	2.39E+01
V4	4.83E+01	3.97E+00	1.53E+01	5.17E+01
V5	3.81E+00	1.59E+01	6.69E+00	1.49E+01
V6	5.29E+00	7.49E+00	7.92E+00	1.06E+01
V7	2.73E+01	9.21E+00	1.97E+01	1.67E+01
V8	2.46E+01	2.23E+01	3.91E+01	2.81E+01
V9	1.14E+01	1.52E+01	1.93E+01	1.37E+01
V10	6.51E-01	1.00E+00	4.00E-01	1.11E+00
V11	2.90E+01	8.74E+00	2.92E+00	2.87E+01
V12	6.71E+00	1.66E+01	5.97E+00	1.48E+01
V13	6.65E+00	1.19E+01	1.25E+01	1.04E+01
V14	1.31E+01	2.12E+00	3.13E+00	1.38E+01
V15	5.58E+00	3.37E+00	5.83E+00	6.02E+00
V16	3.99E+00	7.41E+00	1.14E+01	8.38E+00
V17	1.12E+01	2.84E+01	8.86E+00	2.10E+01
V18	6.78E+00	7.33E+00	6.78E+00	1.22E+01
V19	1.04E+01	3.89E+00	9.48E+00	1.08E+01
V20	1.41E+01	5.44E+00	1.34E+01	1.43E+01
V21	1.58E+00	9.21E+00	1.94E+00	9.11E+00
V22	4.45E+00	8.18E+00	1.15E+01	6.38E+00
V23	3.92E+00	2.94E+00	3.13E+00	4.52E+00
V24	2.15E+01	5.01E+00	2.21E+00	2.14E+01
V25	1.71E+01	4.80E+00	1.85E+01	4.17E+00
V26	5.42E+00	3.33E+00	1.36E+01	1.70E+01
V27	1.85E+01	2.44E+01	2.65E+01	2.14E+01
V28	3.68E+00	7.01E+00	6.34E+00	1.15E+01
V29	8.20E+00	6.22E+00	2.03E+01	2.00E+01
V30	6.32E+01	3.48E+00	1.12E+01	5.68E+01
V31	3.87E+01	1.94E+00	1.32E+01	3.54E+01
V32	7.31E+00	6.02E+00	1.18E+01	8.77E+00
V33	3.68E+00	3.06E+00	1.54E+01	1.66E+01
V34	1.21E+01	1.41E+01	7.73E+00	1.47E+01
V35	1.32E+01	4.16E+00	2.27E+01	2.49E+01
V36	1.25E+00	1.74E+00	3.35E+00	2.47E+00
V37	1.08E+01	7.55E+00	9.23E+00	7.92E+00
V38	2.18E+00	6.79E+00	2.41E+01	2.32E+01
V39	3.50E+00	1.36E+00	3.80E+00	2.00E-01
V40	6.87E+00	1.46E+01	2.21E+01	1.73E+01
V41	8.69E+00	1.85E+01	2.58E+01	2.11E+01
V42	3.76E+01	3.99E+01	5.81E+01	4.21E+01
V43	6.44E+00	1.34E+01	1.00E+01	2.05E+01
V44	3.73E+00	7.33E+00	1.63E+01	1.11E+01
V45	7.17E+00	3.78E+00	7.77E+00	1.72E+00
V46	2.62E+00	4.85E+01	7.77E-01	4.97E+01
V47	3.82E+01	3.89E+01	6.37E+01	4.99E+01
V48	1.64E+01	1.36E+01	1.89E+01	8.27E+00
V49	1.85E+01	2.72E+00	6.10E+00	1.48E+01
V50	5.61E+00	1.38E+00	6.50E+00	4.07E+00
V51	2.20E+01	4.51E+00	1.18E+01	1.90E+01
V52	2.84E+01	5.22E+00	1.14E+01	2.53E+01
V53	1.19E+01	3.97E+00	5.81E+00	1.37E+01
V54	2.99E+00	3.76E+00	6.64E+00	6.58E+00
V55	3.27E+00	5.92E+00	3.84E+00	8.28E+00
V56	6.70E-01	3.03E+00	1.04E+00	3.70E+00
V57	5.42E+01	1.95E+00	1.08E+01	5.11E+01
V58	1.20E+01	2.60E+00	1.79E+01	1.03E+01
V59	4.03E+00	2.96E+00	6.82E+00	5.41E+00
V60	4.83E+00	1.15E+01	1.61E+01	1.25E+01
V61	1.04E+01	1.00E+01	1.93E+01	1.70E+01
V62	3.40E+00	1.51E+01	3.75E+01	2.42E+01
V63	4.59E+01	5.10E+01	7.17E+01	5.32E+01
V64	2.75E+00	6.17E+00	3.59E+00	8.23E+00
V65	4.45E+00	2.39E+01	6.65E+00	2.62E+01
V66	7.26E+00	5.88E+00	8.75E+00	6.49E+00
V67	1.02E+01	9.60E+00	6.19E+00	1.34E+01
V68	2.00E+01	1.02E+01	1.24E+01	1.83E+01
V69	8.72E+00	1.49E+00	5.02E+00	5.09E+00
V70	1.19E+00	3.58E+00	1.10E+01	1.14E+01
V71	7.34E+00	1.20E+01	1.26E+00	1.22E+01
V72	4.47E+01	0.00E+00	1.59E+01	4.96E+01
V73	4.87E+00	3.32E+00	1.75E+01	1.81E+01
V74	9.00E+00	1.46E+01	9.15E+00	1.37E+01
V75	3.34E+01	7.33E+00	3.35E+01	5.61E+00
V76	6.15E+00	3.70E+00	5.53E+00	3.09E+00
V77	5.17E-01	1.20E+00	3.38E+00	2.90E+00
V78	1.88E+01	2.49E+00	1.86E+01	2.56E+00
V79	1.81E+01	0.00E+00	1.86E+01	9.07E+00
V80	8.74E+01	1.81E+00	8.78E+01	3.33E+00
V81	1.17E+01	1.09E+00	5.17E+00	1.34E+01
V82	2.13E+00	3.69E+00	4.01E+00	5.33E+00
V83	2.45E+00	2.26E+00	3.66E+00	5.07E+00
V84	1.44E+00	1.06E+01	0.00E+00	1.05E+01
V85	1.17E+00	5.20E+00	3.79E-01	4.26E+00
V86	8.06E+00	2.09E+00	8.24E+00	5.97E-01
V87	1.54E+00	1.55E+00	2.92E+00	3.11E+00
V88	9.31E+00	2.14E+01	3.44E+00	2.26E+01
V89	4.80E+00	4.04E+00	7.29E+00	4.48E+00
V90	3.68E+00	4.78E+01	2.91E+00	4.85E+01
V91	2.55E+00	5.17E+00	9.59E+00	1.15E+01
V92	3.00E-01	2.20E+01	1.32E+00	2.13E+01
V93	4.19E+00	1.36E+01	6.20E+00	1.36E+01
V94	5.40E+00	6.70E+00	8.70E+00	9.30E+00
V95	7.37E+00	4.23E+00	4.27E+01	4.26E+01
V96	1.48E+00	1.28E+00	3.88E+00	4.29E+00
V97	1.69E+00	2.58E+00	3.56E+01	3.56E+01
V98	4.52E+00	6.73E+00	8.29E+00	5.15E+00
V99	5.08E+00	5.33E+00	4.27E+00	8.13E+00
V100	7.23E+00	2.91E+00	7.06E+00	3.89E+00
