Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
V1	140	82	0	5	0	60	63	70	5	48	0	38	48	0	0	5	3	0	1
V2	6	205	0	15	0	99	0	15	0	0	0	0	19	14	0	0	0	0	0
V3	27	48	0	124	2	14	1	47	3	0	7	0	53	0	7	0	2	10	4
V4	75	0	20	77	4	0	35	1	0	20	6	15	17	0	4	0	10	0	6
V5	12	93	78	0	39	37	0	0	5	0	49	4	0	0	15	22	7	0	0
V6	2	0	8	0	6	11	15	17	15	2	11	12	6	0	0	0	0	0	0
V7	4	168	204	4	35	90	0	32	11	0	30	16	6	22	10	0	0	0	3
V8	99	5	1	0	0	0	0	0	2	8	15	6	0	11	1	0	0	0	11
V9	5	23	3	0	1	19	0	0	13	0	5	0	0	0	2	0	0	1	0
V10	0	0	137	4	28	0	1	0	0	4	19	10	6	2	0	76	0	2	0
V11	12	0	55	33	67	2	21	0	0	25	81	11	8	0	42	0	0	0	0
V12	20	15	0	61	0	16	9	0	0	0	0	0	13	5	0	0	3	0	0
V13	1	36	11	9	0	11	10	0	6	0	3	4	0	0	0	0	0	2	0
V14	51	0	206	0	1	1	0	0	2	0	0	18	1	45	0	125	0	35	3
V15	6	7	11	7	0	5	10	50	18	3	0	2	0	0	5	0	0	2	0
V16	76	26	49	37	0	11	0	15	8	5	0	0	46	53	0	6	0	0	9
V17	0	37	13	16	3	9	0	0	20	11	4	11	4	0	0	0	0	0	1
V18	0	27	40	14	11	2	11	15	16	6	3	9	1	0	2	0	0	0	3
V19	0	0	131	0	0	0	40	12	0	17	1	14	0	22	0	19	0	1	0
V20	188	12	5	67	1	17	0	46	0	0	0	10	30	9	2	0	10	42	20
V21	27	19	0	0	4	14	195	12	144	97	0	44	0	0	8	0	0	0	0
V22	56	3	0	0	23	3	60	44	47	0	6	14	0	0	5	0	40	0	0
V23	25	44	5	0	0	25	19	36	0	9	0	8	0	0	0	25	0	0	0
V24	35	120	0	10	74	88	0	0	0	0	30	0	0	0	22	0	0	0	0
V25	7	51	70	0	0	34	41	32	40	40	1	22	0	0	0	0	0	0	0
V26	8	1	3	27	7	0	0	0	0	0	18	0	4	0	24	0	0	0	0
V27	19	34	43	0	4	17	0	0	36	10	14	9	3	0	2	0	0	0	0
V28	32	62	0	0	0	42	0	0	0	15	1	2	0	0	1	0	0	0	0
V29	5	0	195	0	0	0	7	0	6	0	0	12	1	7	3	5	0	0	1
V30	52	0	25	171	3	0	6	38	33	0	1	0	75	0	0	0	14	23	16
V31	42	12	47	30	2	10	0	4	3	0	0	3	0	5	0	21	0	0	0
V32	47	45	38	11	7	7	0	0	0	21	17	15	13	14	10	0	5	0	0
V33	35	0	103	111	3	0	56	0	5	0	0	1	34	0	0	0	1	23	0
V34	31	12	39	89	13	30	31	40	0	0	3	0	14	0	1	46	0	1	0
