MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	3.08E-04	4.19E-03	6.89E-04	6.82E-04	1.04E-03	2.00E-03	1.27E-02
1:Del:C:1	5.42E-04	3.12E-03	2.67E-05	1.56E-03	0.00E+00	2.65E-03	1.31E-02
1:Del:C:2	1.53E-04	4.70E-04	0.00E+00	1.40E-46	2.05E-04	7.31E-04	4.69E-04
1:Del:C:3	3.51E-04	7.04E-04	6.00E-04	4.21E-04	5.25E-04	5.75E-04	7.71E-04
1:Del:C:4	1.47E-04	5.57E-04	6.00E-04	4.68E-04	2.06E-04	4.95E-04	0.00E+00
1:Del:C:5	0.00E+00	2.27E-04	6.34E-04	4.59E-04	4.29E-05	4.54E-04	1.80E-03
1:Del:T:0	4.52E-04	1.71E-03	7.05E-04	1.13E-03	4.96E-04	3.63E-03	1.20E-02
1:Del:T:1	1.48E-04	9.92E-04	2.39E-04	2.99E-08	7.17E-08	8.71E-04	1.05E-03
1:Del:T:2	3.82E-04	1.19E-03	9.76E-04	9.56E-04	3.98E-04	9.27E-04	4.33E-03
1:Del:T:3	3.55E-04	2.61E-03	9.88E-04	2.73E-04	3.27E-04	1.17E-03	1.07E-02
1:Del:T:4	1.87E-03	2.19E-03	7.51E-04	4.37E-04	1.56E-04	0.00E+00	5.03E-03
1:Del:T:5	1.25E-04	6.79E-08	3.75E-03	5.84E-08	2.94E-03	2.34E-07	3.55E-07
1:Ins:C:0	1.49E-04	1.30E-08	6.02E-09	3.71E-08	1.15E-07	4.07E-04	1.02E-03
1:Ins:C:1	1.36E-08	3.58E-04	7.72E-05	8.58E-05	1.31E-04	3.65E-04	5.31E-04
1:Ins:C:2	8.76E-05	9.36E-05	3.71E-05	2.06E-04	1.12E-08	2.95E-04	1.57E-04
1:Ins:C:3	2.95E-04	1.38E-04	0.00E+00	2.03E-04	1.23E-04	0.00E+00	1.63E-03
1:Ins:C:4	2.14E-04	2.79E-04	4.17E-04	2.15E-04	1.09E-03	7.11E-04	1.46E-03
1:Ins:C:5	2.00E-04	1.89E-04	4.78E-04	8.86E-04	1.40E-04	1.32E-04	1.13E-03
1:Ins:T:0	1.55E-04	8.90E-04	2.74E-04	6.64E-04	1.79E-04	7.81E-04	2.00E-03
1:Ins:T:1	5.79E-06	6.97E-04	8.38E-05	1.17E-04	3.24E-04	6.40E-04	2.05E-03
1:Ins:T:2	2.36E-04	3.63E-04	1.78E-04	3.63E-05	1.71E-05	1.50E-04	1.69E-03
1:Ins:T:3	1.39E-04	5.60E-05	6.52E-05	4.10E-04	3.38E-05	6.15E-09	2.80E-04
1:Ins:T:4	1.67E-04	2.55E-04	3.78E-04	9.39E-04	0.00E+00	2.99E-04	3.49E-04
1:Ins:T:5	2.01E-04	1.45E-06	6.60E-08	3.42E-03	3.19E-07	2.64E-07	2.46E-02
2:Del:R:0	1.83E-05	7.85E-04	5.36E-05	3.51E-04	2.45E-05	9.64E-04	2.93E-03
2:Del:R:1	2.21E-04	4.56E-04	4.69E-04	6.72E-04	2.65E-04	9.68E-04	3.81E-04
2:Del:R:2	3.55E-09	1.69E-04	2.49E-04	1.79E-04	2.13E-04	1.36E-04	7.84E-04
2:Del:R:3	1.87E-08	3.59E-08	8.41E-08	8.16E-08	3.16E-02	7.43E-08	7.63E-02
2:Del:R:4	1.02E-08	1.46E-08	8.83E-05	9.77E-08	6.40E-05	1.52E-08	3.43E-04
2:Del:R:5	1.55E-07	8.47E-05	2.51E-08	4.50E-08	2.76E-08	1.09E-04	1.02E-04
3:Del:R:0	1.05E-04	1.46E-04	6.22E-05	3.76E-04	6.04E-09	1.47E-03	2.45E-03
3:Del:R:1	8.50E-05	7.08E-04	4.95E-04	6.59E-04	2.21E-04	3.17E-04	5.13E-03
3:Del:R:2	1.06E-04	1.92E-04	2.50E-04	1.43E-04	0.00E+00	2.26E-04	1.65E-08
3:Del:R:3	1.40E-08	1.06E-04	2.42E-04	2.96E-09	4.61E-05	1.14E-04	2.32E-04
3:Del:R:4	5.53E-09	5.72E-09	3.61E-09	6.05E-09	1.04E-08	3.10E-08	5.71E-08
3:Del:R:5	5.53E-09	5.72E-09	3.61E-09	6.05E-09	1.04E-08	3.10E-08	5.71E-08
