NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	42.713	18.146	10.543	11.075	0.106	0.991	40000.0
2	36.854	15.118	8.593	9.047	0.09	0.994	30000.0
3	42.883	17.997	10.244	10.784	0.102	0.992	50000.0
4	38.316	15.565	8.947	9.154	0.091	0.994	40000.0
5	46.761	19.516	11.756	12.161	0.105	0.989	30000.0
6	36.792	15.099	8.514	8.754	0.089	0.995	30000.0
7	42.231	17.828	10.075	10.952	0.105	0.991	80000.0
8	42.526	17.922	10.074	10.89	0.107	0.99	30000.0
9	36.679	15.249	8.63	9.141	0.092	0.994	90000.0
10	38.88	16.098	9.111	9.608	0.096	0.993	70000.0
