NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	39.985	16.295	8.982	9.557	0.092	0.994	60000.0
2	42.481	17.255	9.973	10.643	0.095	0.992	50000.0
3	39.813	16.475	9.018	9.844	0.097	0.994	60000.0
4	44.22	18.848	10.632	11.925	0.107	0.99	40000.0
5	42.168	17.452	9.8	10.755	0.098	0.992	40000.0
6	41.613	17.297	9.46	10.407	0.098	0.992	40000.0
7	42.941	17.96	10.339	11.592	0.101	0.99	30000.0
8	39.82	16.41	9.132	9.804	0.093	0.994	40000.0
9	40.94	16.82	9.494	10.13	0.098	0.993	40000.0
10	43.553	18.069	10.157	11.113	0.102	0.991	40000.0
