Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.73,0.64,NO,N/A,58.02%,74.25%,125.39%,56.97%,87.88,0.4916,1.4048,0.194,0.488,0.785,0.47
3,0.66,0.4,NO,N/A,46.97%,53.79%,129.8%,46.89%,91.74,0.3544,1.1322,0.138,0.495,0.847,0.419
4,0.82,0.53,NO,N/A,33.09%,40.4%,122.33%,30.23%,91.07,0.2674,1.0073,0.074,0.457,0.917,0.472
5,1.0,1.0,YES,1.93e-08,17.33%,26.42%,100.71%,16.32%,79.9,0.1609,0.8701,0.025,0.34,0.971,0.609
6*,1.0,1.0,YES,Most Stab Sigs,9.13%,19.04%,48.36%,10.93%,33.44,0.1037,0.4072,0.008,0.044,0.991,0.951
7,0.77,-0.6,NO,N/A,9.1%,19.07%,54.0%,10.66%,31.94,0.1029,0.3891,0.008,0.042,0.991,0.953
8,0.56,-0.77,NO,N/A,8.76%,19.06%,55.56%,10.44%,32.63,0.1047,0.4268,0.008,0.048,0.992,0.946
9,0.45,-0.91,NO,N/A,8.61%,18.19%,52.87%,10.46%,30.73,0.1022,0.4159,0.007,0.047,0.992,0.947
10,0.4,-0.8,NO,N/A,8.89%,18.18%,53.21%,10.44%,27.04,0.1025,0.3803,0.007,0.032,0.992,0.965
11,0.28,-0.72,NO,N/A,8.02%,17.94%,56.7%,9.72%,28.19,0.1027,0.4275,0.006,0.033,0.993,0.965
12,0.19,-0.65,NO,N/A,8.77%,18.57%,50.64%,10.22%,26.52,0.108,0.3818,0.007,0.035,0.993,0.963
13,0.15,-0.89,NO,N/A,8.32%,17.71%,48.19%,9.41%,25.31,0.1027,0.3492,0.006,0.03,0.993,0.966
14,0.15,-0.7,NO,N/A,8.35%,18.42%,54.22%,9.79%,28.48,0.1048,0.4149,0.006,0.041,0.993,0.956
15,0.1,-0.78,NO,N/A,9.49%,19.39%,52.47%,10.46%,27.08,0.1088,0.4062,0.006,0.032,0.994,0.966
16,0.11,-0.83,NO,N/A,8.38%,17.96%,58.0%,9.66%,28.96,0.1048,0.4209,0.005,0.031,0.995,0.968
17,0.11,-0.56,NO,N/A,8.4%,17.74%,50.94%,10.07%,26.84,0.1044,0.3847,0.005,0.029,0.994,0.97
18,0.09,-0.65,NO,N/A,7.86%,16.64%,59.26%,8.59%,29.89,0.1036,0.4226,0.004,0.03,0.995,0.969
19,0.07,-0.89,NO,N/A,6.74%,15.2%,52.17%,8.08%,26.41,0.0975,0.3547,0.004,0.025,0.996,0.974
20,0.09,-0.8,NO,N/A,6.78%,15.6%,44.79%,7.95%,23.65,0.0966,0.3416,0.004,0.027,0.996,0.972
