NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	225.489	75.789	80.437	60.433	0.528	0.768	20000.0
2	237.157	77.964	90.579	63.419	0.51	0.761	30000.0
3	237.413	79.282	89.947	63.923	0.525	0.755	20000.0
4	230.242	76.233	84.016	60.949	0.514	0.77	20000.0
5	221.527	74.81	78.604	59.716	0.518	0.77	20000.0
6	236.595	77.914	91.202	63.382	0.511	0.761	20000.0
7	237.31	78.773	90.141	63.694	0.525	0.758	20000.0
8	238.793	79.502	90.014	63.8	0.523	0.757	50000.0
9	238.776	79.129	90.881	64.04	0.52	0.756	30000.0
10	232.448	76.864	84.17	60.952	0.519	0.768	30000.0
