MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
1:Del:C:0	6.91E-04	8.60E-03	3.23E-04	4.56E-07	3.44E-02	9.30E-04	8.80E-04	1.03E-02	1.03E-07	3.91E-02	3.25E-07	3.35E-02	1.06E-26	2.29E-02	8.34E-03	4.69E-02	1.69E-02	7.68E-03
1:Del:C:1	0.00E+00	2.48E-03	0.00E+00	0.00E+00	1.20E-02	1.55E-03	2.28E-03	0.00E+00	8.95E-05	2.38E-02	0.00E+00	2.18E-02	3.43E-02	4.55E-02	8.28E-03	3.05E-02	2.85E-02	2.13E-04
1:Del:C:2	1.57E-04	6.24E-10	0.00E+00	2.04E-07	1.00E-03	2.47E-03	0.00E+00	2.13E-03	2.99E-08	1.46E-03	1.43E-04	7.83E-04	3.34E-03	9.66E-04	4.51E-04	2.64E-03	1.95E-03	2.80E-03
1:Del:C:3	3.61E-04	5.33E-04	7.72E-04	3.83E-04	1.85E-03	4.39E-03	3.21E-04	1.40E-46	9.22E-04	1.41E-03	1.68E-03	5.78E-03	5.70E-03	1.48E-02	2.81E-03	4.63E-03	5.60E-03	3.63E-04
1:Del:C:4	5.46E-05	5.30E-04	2.32E-04	2.39E-03	2.53E-03	2.99E-03	0.00E+00	0.00E+00	0.00E+00	9.68E-03	1.55E-03	4.81E-03	2.58E-03	3.83E-04	1.68E-03	1.20E-02	4.76E-03	3.94E-03
1:Del:C:5	2.87E-08	2.12E-07	1.76E-03	0.00E+00	2.07E-07	1.35E-03	2.19E-08	0.00E+00	1.23E-07	1.58E-03	0.00E+00	1.36E-07	4.14E-04	2.61E-02	2.09E-02	1.48E-03	9.55E-08	2.57E-03
1:Del:T:0	4.12E-04	7.52E-04	1.00E-03	1.16E-07	1.16E-02	1.81E-02	0.00E+00	7.21E-03	1.40E-46	3.23E-02	2.23E-03	5.78E-02	1.88E-02	1.97E-02	9.11E-03	1.31E-02	3.08E-03	1.63E-02
1:Del:T:1	5.97E-08	1.40E-46	2.30E-04	6.88E-08	9.12E-03	6.24E-03	3.68E-06	3.58E-03	1.21E-04	9.94E-03	5.71E-07	2.35E-02	6.31E-03	4.02E-04	2.20E-03	2.55E-03	8.08E-04	5.17E-03
1:Del:T:2	4.47E-04	1.53E-03	5.57E-04	1.40E-46	9.55E-03	3.47E-03	0.00E+00	8.15E-03	6.77E-04	1.75E-02	0.00E+00	1.94E-02	7.64E-03	3.19E-02	4.14E-03	5.26E-02	2.25E-03	3.53E-03
1:Del:T:3	0.00E+00	0.00E+00	2.88E-03	1.87E-46	2.21E-02	9.21E-03	2.02E-03	4.10E-03	2.78E-06	5.11E-02	1.87E-46	3.84E-03	7.60E-03	3.62E-02	1.02E-02	5.50E-03	1.17E-02	2.79E-03
1:Del:T:4	4.19E-03	1.87E-46	7.42E-03	0.00E+00	8.67E-03	1.57E-03	9.68E-03	2.27E-07	1.83E-03	3.05E-02	2.83E-02	8.18E-02	1.06E-03	7.83E-03	0.00E+00	8.26E-02	3.55E-03	3.75E-02
1:Del:T:5	9.09E-08	4.36E-08	7.34E-03	3.93E-06	1.84E-07	8.41E-04	5.33E-08	3.63E-07	6.88E-07	4.85E-08	4.18E-07	1.32E-07	3.39E-07	6.99E-02	9.88E-02	5.17E-03	4.12E-07	3.31E-07
1:Ins:C:0	2.35E-04	3.48E-08	1.21E-08	6.68E-04	7.38E-09	9.78E-04	4.01E-08	1.76E-03	1.82E-08	7.49E-08	7.58E-08	0.00E+00	1.95E-03	2.15E-03	4.68E-04	2.98E-05	1.45E-06	1.70E-04
1:Ins:C:1	4.44E-08	8.13E-08	5.19E-08	1.47E-06	2.78E-04	3.29E-04	1.55E-07	4.97E-04	2.90E-06	2.54E-05	2.79E-04	6.02E-04	1.42E-03	1.53E-03	1.29E-03	1.90E-03	2.08E-03	8.18E-04
1:Ins:C:2	5.57E-08	2.81E-08	1.00E-07	2.35E-08	8.61E-05	8.66E-04	5.48E-07	6.57E-04	2.17E-06	1.08E-03	0.00E+00	5.49E-05	1.70E-03	3.68E-04	4.53E-04	4.73E-05	4.55E-03	4.41E-04
1:Ins:C:3	9.95E-04	2.63E-04	0.00E+00	0.00E+00	6.12E-04	0.00E+00	2.09E-03	7.60E-04	1.18E-03	0.00E+00	0.00E+00	4.34E-04	1.67E-03	2.07E-04	2.77E-03	0.00E+00	1.32E-03	8.77E-03
1:Ins:C:4	5.07E-08	9.71E-08	2.84E-04	4.71E-04	3.10E-07	5.45E-04	1.59E-07	5.07E-03	3.35E-03	8.94E-04	7.96E-03	0.00E+00	1.40E-46	4.21E-03	2.05E-02	4.39E-03	3.35E-03	9.33E-04
1:Ins:C:5	2.77E-05	4.95E-03	1.80E-04	1.77E-04	8.56E-08	2.87E-03	2.33E-08	8.68E-04	4.22E-04	2.18E-02	0.00E+00	2.01E-08	1.36E-07	1.08E-02	6.14E-03	2.88E-07	4.73E-02	1.27E-02
1:Ins:T:0	0.00E+00	7.58E-04	1.45E-04	8.20E-04	1.36E-03	5.05E-03	2.18E-04	0.00E+00	2.16E-04	3.58E-03	2.26E-03	5.36E-03	7.66E-03	5.33E-03	2.34E-03	1.48E-02	4.99E-03	1.20E-04
1:Ins:T:1	6.66E-08	5.89E-05	1.54E-08	3.38E-04	6.17E-04	1.75E-03	5.37E-08	5.57E-04	9.75E-05	3.59E-03	1.07E-04	9.32E-03	3.93E-03	5.41E-03	1.80E-03	1.92E-03	2.16E-06	9.11E-03
1:Ins:T:2	1.34E-08	8.43E-08	1.55E-04	0.00E+00	0.00E+00	1.84E-04	7.69E-04	0.00E+00	4.36E-08	1.37E-03	4.36E-08	1.67E-03	1.21E-03	3.78E-04	3.55E-04	5.76E-04	1.32E-04	1.05E-03
1:Ins:T:3	1.25E-04	1.12E-03	4.69E-08	5.53E-09	3.15E-08	2.52E-08	0.00E+00	2.32E-08	0.00E+00	2.16E-08	3.32E-07	3.12E-08	8.47E-04	1.27E-03	2.02E-04	2.48E-04	1.25E-02	2.15E-03
1:Ins:T:4	8.87E-08	2.44E-03	3.66E-04	1.06E-07	2.60E-06	1.97E-03	1.40E-46	4.51E-08	7.01E-04	6.31E-03	1.35E-03	4.34E-07	1.10E-03	5.06E-04	3.31E-03	1.06E-04	4.42E-02	1.33E-02
