NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	97.37	38.715	27.246	26.63	0.253	0.947	30000.0
2	97.633	38.441	27.288	26.491	0.242	0.948	20000.0
3	99.775	39.86	28.263	27.993	0.254	0.94	30000.0
4	99.469	39.323	27.263	26.467	0.248	0.947	30000.0
5	123.458	45.038	42.608	35.185	0.28	0.913	40000.0
6	99.0	38.791	27.837	26.633	0.247	0.945	30000.0
7	101.021	40.217	27.946	27.589	0.256	0.943	30000.0
8	101.119	39.921	28.389	27.675	0.257	0.944	30000.0
9	98.439	39.019	27.674	26.967	0.247	0.946	30000.0
10	97.86	38.561	27.405	26.491	0.246	0.949	20000.0
