Samples	ID83A	ID83B	ID83C	ID83D	ID83E
V1	3.84E+00	1.55E+00	1.55E+00	2.44E+00	1.05E+00
V2	7.03E-01	1.20E+00	8.46E-01	8.06E-01	5.21E-01
V3	1.93E+00	2.80E+00	1.45E+00	2.42E+00	1.75E+00
V4	5.73E-01	6.82E+00	8.99E+00	5.65E+00	5.58E+00
V5	4.99E-01	2.00E+00	1.98E+01	0.00E+00	2.07E+01
V6	8.16E-01	9.91E-01	1.42E+01	7.02E-01	1.40E+01
V7	3.09E+00	2.65E+00	3.65E+00	3.01E+00	4.14E+00
V8	2.35E+00	2.98E+00	3.95E+00	9.17E-01	8.94E-01
V9	1.13E+00	2.08E+00	3.39E+00	2.00E-01	2.68E+00
V10	3.46E+00	2.62E+00	1.56E+01	0.00E+00	1.46E+01
V11	3.85E+00	4.96E-01	9.18E+00	1.71E+00	9.56E+00
V12	3.11E+00	7.35E+00	8.84E+00	4.59E+00	8.11E+00
V13	3.48E+00	4.16E+00	8.89E+00	2.78E+00	9.82E+00
V14	6.40E-01	1.23E+00	7.95E+00	1.47E+00	7.73E+00
V15	1.04E+00	9.64E-01	1.95E+01	1.38E+01	1.70E+01
V16	2.98E+00	6.90E-01	1.64E+01	2.95E+00	1.73E+01
V17	3.17E+00	3.40E-01	1.65E+01	7.11E+00	1.46E+01
V18	5.79E+00	1.31E+00	1.39E+01	1.52E+00	1.23E+01
V19	1.37E+00	2.52E+00	8.59E+00	3.41E+00	8.11E+00
V20	3.96E+00	2.40E+00	5.05E+01	3.50E+00	5.13E+01
V21	1.84E+00	0.00E+00	5.79E+00	3.87E+00	5.07E+00
V22	9.89E-01	2.44E+00	1.88E+00	1.36E+00	1.82E+00
V23	2.81E+00	1.67E+00	7.36E+00	2.60E+00	9.02E+00
V24	5.18E+00	2.96E+00	1.07E+01	8.62E-01	1.06E+01
V25	1.55E+00	2.77E+00	1.08E+01	8.12E+00	7.97E+00
V26	1.74E+00	9.04E-01	1.93E+00	1.23E+00	3.16E+00
V27	1.39E+00	2.39E+00	6.38E+00	1.94E+00	6.21E+00
V28	2.65E+00	2.11E-01	3.33E+01	2.03E+01	2.83E+01
V29	2.73E+00	3.89E-01	1.14E+01	2.17E+00	1.16E+01
V30	1.18E+00	2.85E+00	1.13E+00	4.85E+00	2.22E+00
V31	4.71E+00	2.26E+00	7.75E+00	1.19E+00	6.18E+00
V32	9.55E-01	6.46E-01	2.61E+00	1.21E+00	2.49E+00
V33	3.07E-01	0.00E+00	8.14E+00	5.44E+00	7.20E+00
V34	1.33E+00	1.74E+00	3.50E+00	2.95E+00	5.34E+00
