NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	152.736	26.876	31.353	16.63	0.12	0.98	40000.0
2	152.38	27.243	31.313	16.785	0.124	0.979	30000.0
3	152.902	27.109	31.502	16.915	0.119	0.979	40000.0
4	154.295	27.442	31.816	17.109	0.122	0.979	60000.0
5	151.466	27.029	31.145	16.593	0.122	0.98	40000.0
6	151.694	27.458	31.044	17.137	0.125	0.978	60000.0
7	152.706	27.411	31.12	16.829	0.124	0.979	40000.0
8	153.6	27.391	31.566	17.164	0.124	0.978	50000.0
9	153.353	27.338	31.278	16.94	0.125	0.979	30000.0
10	153.886	27.493	31.83	17.017	0.124	0.978	60000.0
