NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	44.06	18.495	9.704	11.372	0.118	0.99	50000.0
2	49.503	20.673	11.547	13.222	0.121	0.987	30000.0
3	47.419	19.673	10.918	12.452	0.113	0.988	60000.0
4	48.221	20.315	10.904	12.454	0.115	0.989	50000.0
5	46.26	19.106	10.228	11.72	0.113	0.99	30000.0
6	42.398	17.715	9.547	11.018	0.112	0.991	40000.0
7	44.858	18.344	9.988	11.198	0.108	0.991	30000.0
8	48.178	20.995	11.046	13.157	0.126	0.987	90000.0
9	47.048	19.245	10.749	12.161	0.112	0.99	50000.0
10	43.705	18.292	9.938	11.494	0.113	0.99	80000.0
