Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V1	39	3	7	24	0	6	1	5	4	7	0
V2	0	2	3	8	0	45	50	5	0	0	0
V3	31	190	5	7	65	0	6	29	15	0	0
V4	11	5	31	3	0	1	0	0	11	0	0
V5	0	20	0	20	52	8	20	114	19	0	0
V6	0	19	0	0	45	0	0	62	32	7	19
V7	5	3	29	0	5	34	25	0	17	21	0
V8	15	0	20	37	130	50	15	47	2	53	4
V9	0	28	17	22	17	14	70	10	0	7	5
V10	17	29	28	14	0	0	3	5	4	2	0
V11	0	6	17	1	15	12	3	39	0	8	4
V12	21	6	15	103	0	5	20	0	0	4	0
V13	0	33	81	0	37	33	3	9	36	4	0
V14	37	15	43	8	0	2	0	0	11	4	0
V15	35	18	5	0	18	11	7	16	0	4	0
V16	0	36	19	1	6	10	5	4	8	0	0
V17	180	46	4	25	45	0	0	27	21	51	0
V18	5	0	0	7	0	32	11	0	0	0	0
V19	210	13	4	20	3	0	8	13	0	57	0
V20	0	19	27	0	12	0	16	0	18	41	14
V21	20	150	61	86	0	0	2	0	48	2	13
V22	196	46	219	0	56	8	36	59	16	0	0
V23	6	164	0	1	16	5	1	19	0	0	40
V24	0	102	271	30	0	1	15	0	0	4	47
V25	211	1	2	7	125	0	24	166	20	58	0
V26	46	5	65	183	38	8	0	3	0	30	2
V27	39	53	88	0	122	0	0	12	69	14	10
V28	29	391	0	0	73	17	12	52	15	0	0
V29	145	10	25	15	15	0	7	0	13	0	1
V30	6	59	185	0	42	265	97	0	0	0	0
V31	17	194	150	0	75	7	0	91	122	29	12
V32	39	12	60	2	1	2	1	5	0	2	16
V33	7	2	20	82	0	10	15	0	27	0	0
V34	114	109	0	78	12	47	18	18	10	0	0
V35	0	6	35	13	50	4	5	6	0	36	12
V36	38	13	1	5	11	1	0	3	0	13	0
V37	14	34	0	2	1	1	4	0	0	0	0
V38	10	1	13	420	12	0	1	17	0	13	0
V39	434	93	1	53	0	13	17	127	0	4	14
V40	3	5	31	103	0	132	53	0	0	0	0
V41	75	23	1	0	1	7	0	4	0	1	0
V42	0	103	75	0	79	64	9	66	44	46	0
V43	105	2	0	2	3	2	1	10	0	0	0
V44	76	0	8	10	29	9	0	5	14	20	0
V45	5	87	0	185	0	31	121	0	2	4	12
V46	50	2	5	130	6	0	8	1	4	0	17
V47	54	46	4	54	0	17	4	0	0	0	6
V48	70	167	15	0	41	24	19	37	0	0	22
V49	16	15	46	15	35	6	3	5	0	11	35
V50	21	27	21	0	57	1	2	20	44	16	9
V51	0	24	3	78	13	28	0	0	12	1	0
V52	83	31	0	61	56	0	0	1	12	9	0
V53	16	36	4	28	26	0	0	19	7	10	30
V54	9	94	92	6	0	8	0	0	45	17	8
V55	8	1	3	3	4	0	1	5	10	0	0
V56	3	56	4	226	17	0	62	44	0	0	5
V57	56	39	0	3	2	1	1	0	4	6	12
V58	23	65	26	75	0	48	36	15	2	9	0
V59	12	58	14	39	45	8	0	0	2	0	4
V60	55	0	60	5	15	78	62	33	0	57	20
V61	43	36	31	39	0	89	26	21	0	18	15
V62	0	256	28	28	0	44	26	0	36	6	37
V63	8	17	7	10	0	0	0	0	15	0	0
V64	63	57	1	0	0	77	29	0	0	0	0
V65	1	95	39	0	0	36	12	5	0	0	0
V66	63	12	88	2	37	19	99	6	29	0	0
V67	0	39	0	156	48	42	25	20	0	12	0
V68	7	36	3	21	73	5	4	92	17	0	0
V69	127	39	41	2	24	8	21	22	2	47	0
V70	2	10	0	1	2	0	2	13	0	0	0
V71	203	13	166	9	18	24	21	24	0	20	22
V72	12	62	2	17	0	61	43	0	0	0	0
V73	1	123	20	41	26	24	70	19	0	1	11
V74	253	120	7	9	37	7	21	21	6	0	0
V75	75	156	115	0	77	11	0	47	0	35	13
V76	0	0	3	0	0	22	8	0	0	0	0
V77	24	12	26	12	42	0	0	14	75	0	0
V78	72	23	1	42	2	0	0	15	0	0	0
V79	4	93	8	0	0	7	8	0	0	5	10
V80	0	0	229	3	18	1	0	0	48	0	53
V81	13	29	29	111	0	0	0	0	23	2	0
V82	216	26	95	4	5	1	0	0	0	6	0
V83	72	4	402	0	1	11	103	8	10	50	0
V84	7	50	16	1	8	8	61	0	0	8	12
V85	31	34	9	22	0	0	19	0	0	15	20
V86	1	3	14	5	0	2	1	0	27	5	0
V87	1	3	13	27	0	0	3	0	10	20	0
V88	22	0	2	17	0	9	15	2	26	0	0
V89	16	28	28	1	18	0	18	7	29	0	0
V90	258	0	5	11	16	6	1	10	0	20	0
V91	120	57	9	206	0	12	4	0	0	11	0
V92	13	143	19	11	7	0	0	4	2	4	0
V93	0	28	17	12	23	2	12	6	3	0	0
V94	42	72	48	103	17	5	0	4	3	0	14
V95	8	54	3	1	0	16	4	0	0	0	14
V96	17	10	24	171	0	27	12	0	10	0	0
V97	248	0	29	0	5	26	14	7	2	6	0
V98	14	38	2	45	0	5	3	0	3	0	0
V99	26	291	98	0	0	0	0	6	49	10	17
V100	437	24	9	0	12	24	39	0	3	3	0
