NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	51.572	20.93	12.701	13.213	0.121	0.987	20000.0
2	53.645	21.819	13.464	13.933	0.124	0.986	30000.0
3	53.88	22.133	13.231	13.675	0.123	0.987	70000.0
4	51.221	21.162	12.29	12.974	0.124	0.989	50000.0
5	52.435	21.27	12.686	13.062	0.121	0.988	40000.0
6	49.882	20.354	11.869	12.483	0.121	0.989	40000.0
7	52.567	21.741	12.837	13.789	0.128	0.986	40000.0
8	50.735	20.605	12.583	12.882	0.121	0.988	60000.0
9	51.448	21.381	12.428	13.268	0.123	0.987	30000.0
10	50.742	20.905	12.34	13.06	0.12	0.988	40000.0
